AREA;Regione;prov;2015_CodCom;NTN 2015 fino a 50 mq;NTN 2015 50 -| 85 mq;NTN 2015  85 -| 115 mq;NTN 2015 115 -| 145 mq;NTN 2015  oltre 145 mq;NTN 2015_TOTALE
Nord Est;Friuli- Venezia Giulia;PN;B215;1;4;8;12;26,56;51,56
Nord Ovest;Piemonte;TO;B216;1;6,75;15,72;14,5;24,05;62,02
Nord Ovest;Lombardia;BG;B217;3;0,61;0;0;1;4,61
Nord Ovest;Lombardia;CO;B218;4,02;1,01;2;2;1,5;10,53
Nord Ovest;Lombardia;VA;B219;0;2,5;0;3;2;7,5
Nord Ovest;Piemonte;AT;B221;0;1;2,33;1;3;7,33
Nord Ovest;Lombardia;BG;B223;0,04;14,5;21,09;13;4,05;52,68
Nord Ovest;Piemonte;TO;B225;0;0;0;1;3,5;4,5
Sud;Campania;NA;B227;3;11;18,25;21,17;8,5;61,92
Nord Ovest;Lombardia;VA;B228;1;7,5;8;3,5;3;23
Nord Ovest;Piemonte;BI;B229;0;0;1;1;3,88;5,88
Nord Ovest;Valle d'Aosta;AO;B230;14;15,75;1;2,5;1;34,25
Nord Ovest;Piemonte;TO;B232;0,5;3,95;0,5;2;1;7,95
Sud;Calabria;RC;B234;1;2;2;1;1;7
Nord Ovest;Lombardia;MI;B235;0;10,18;3;5;2,05;20,23
Nord Ovest;Piemonte;AT;B236;0;0;1;1;7;9
Isole;Sicilia;SR;B237;1;4;3,34;4,84;1,06;14,24
Sud;Abruzzo ;CH;B238;0;2;2;0;11;15
Sud;Campania;BN;B239;1;2;0,2;1;1,5;5,7
Nord Ovest;Lombardia;MI;B240;11;96,85;94,67;33,11;21,11;256,74
Sud;Campania;SA;B242;1,22;4,44;3,44;0;3;12,1
Centro;Toscana;AR;B243;4;10,73;27,21;13,08;20,01;75,03
Isole;Sardegna;SS;B246;2;2;1;2;1,75;8,75
Nord Est;Friuli- Venezia Giulia;PN;B247;0;1;4;7;9,21;21,21
Isole;Sardegna;NU;B248;11,16;77,77;27;9;2;126,93
Nord Est;Emilia-Romagna;BO;B249;8;45;39,17;22,83;40,96;155,96
