AREA;Regione;prov;2015_CodCom;NTN 2015 fino a 50 mq;NTN 2015 50 -| 85 mq;NTN 2015  85 -| 115 mq;NTN 2015 115 -| 145 mq;NTN 2015  oltre 145 mq;NTN 2015_TOTALE
Nord Est;Emilia-Romagna;MO;F930;0;41,78;37,75;27,5;28,33;135,36
Nord Ovest;Piemonte;TO;F931;1;15;19,92;13;15;63,92
Nord Ovest;Piemonte;VB;F932;1;3;0;0;1;5
Isole;Sardegna;NU;F933;0;0;0,33;0;0;0,33
Isole;Sardegna;OR;F934;1;0;0,8;1;4;6,8
Centro;Umbria;PG;F935;3;6,56;13;3,75;7,34;33,65
Centro;Lazio;LT;F937;3,8;6;2,33;1;2;15,13
Nord Ovest;Lombardia;MI;F939;0;0;0;0;0,5;0,5
Nord Ovest;Lombardia;BG;F941;0;2;7,17;5;2;16,17
Sud;Abruzzo ;TE;F942;2;7,5;5;7,42;11;32,92
Isole;Sicilia;SR;F943;28,67;83,79;54,13;38,79;20,25;225,63
Nord Ovest;Lombardia;MI;F944;12,01;74,97;79,17;18,16;7,5;191,81
Nord Ovest;Piemonte;TO;F948;0;1;0;2;2;5
Isole;Sicilia;ME;F951;0;1;0;1;1;3
Nord Ovest;Piemonte;NO;F952;56,86;233,09;247,62;157,58;132,7;827,85
Nord Ovest;Lombardia;MI;F955;9,5;55,61;42,5;25,11;8,61;141,33
Nord Ovest;Lombardia;SO;F956;7;1,83;1,8;2;2,5;15,13
Nord Est;Veneto;VI;F957;1;3;3;1;8,75;16,75
Nord Ovest;Lombardia;CO;F958;1;8;9;1;1;20
Nord Est;Emilia-Romagna;RE;F960;1,2;12,17;29,47;12,7;17,16;72,7
Nord Ovest;Piemonte;CN;F961;0;1;0;1;2;4
Nord Est;Veneto;PD;F962;2;33,83;38;27,5;32,75;134,08
Nord Est;Veneto;VE;F963;0;13;14,17;7;13;47,17
Nord Est;Veneto;VI;F964;1,88;17;14;16,5;21,22;70,6
Nord Ovest;Piemonte;AL;F965;9;55,39;77,33;31;28;200,72
Nord Est;Emilia-Romagna;MO;F966;1;11,77;9,67;16,5;19,13;58,07
Sud;Campania;SA;F967;1;1,4;2;1,4;3;8,8
Nord Ovest;Lombardia;MI;F968;1;13;14,5;10;10,5;49
Sud;Puglia;LE;F970;3;2,86;4,35;5,67;7,83;23,71
Nord Ovest;Piemonte;CN;F972;0;1;1;1;2;5
Isole;Sardegna;OR;F974;0;0;0;1;1;2
Isole;Sardegna;SS;F975;0;2,11;0;0;1,11;3,22
Isole;Sardegna;SS;F976;0;0;0,5;1;0;1,5
Isole;Sardegna;SS;F977;1;1;1,83;0;1;4,83
Centro;Marche;AN;F978;20,25;53,42;13,78;11;7,29;105,74
Isole;Sardegna;NU;F979;9;29,63;59,12;31,36;30,08;159,19
Isole;Sardegna;OR;F980;0;1;1;1;0;3
Isole;Sardegna;NU;F981;0;0;0;0;1;1
Isole;Sardegna;NU;F982;0;0;0;0;2;2
Isole;Sardegna;CA;F983;0;1;4;0;3,89;8,89
Isole;Sardegna;OR;F985;0;0;1,67;0;1;2,67
Isole;Sardegna;NU;F986;0;0;3,58;2;2,89;8,47
Nord Ovest;Valle d'Aosta;AO;F987;2;8;7;6;3;26
Sud;Campania;AV;F988;1;1,25;1,17;4;6,11;13,53
Nord Ovest;Lombardia;BS;F989;1;2;4;10;2,5;19,5
Nord Ovest;Lombardia;BS;F990;0;10,5;9;3,5;12;35
Isole;Sardegna;CA;F991;1;0;1;0;0;2
Nord Ovest;Piemonte;BI;F992;1;5;9,5;3;9,83;28,33
Nord Ovest;Piemonte;BI;F993;1;2;3,33;3,33;8,5;18,16
Nord Est;Veneto;RO;F994;2;39;45,06;32,78;23,89;142,73
Nord Ovest;Piemonte;AL;F995;0;0;1;2;2;5
Sud;Abruzzo ;AQ;F996;1;1;1;0;0,16;3,16
Nord Ovest;Piemonte;AL;F997;0;0;0;2;4,83;6,83
Nord Ovest;Piemonte;AL;F998;0;0;0;0;1;1
Nord Est;Veneto;TV;F999;4;31,92;49,25;35;35,17;155,34
Nord Ovest;Lombardia;BS;G001;0;1;1;3;1;6
Sud;Abruzzo ;AQ;G002;0;0;0;1;0;1
Centro;Marche;AN;G003;0;2;8,67;6;3;19,67
Nord Ovest;Lombardia;CR;G004;2;7;15,17;8,75;9,36;42,28
Centro;Marche;AP;G005;0;4,75;4,83;5,67;12,6;27,85
Nord Ovest;Lombardia;BS;G006;0;2;4,5;4,5;10,67;21,67
Nord Ovest;Piemonte;VB;G007;7,84;11;3,5;6,75;5,83;34,92
Nord Ovest;Lombardia;VA;G008;1,67;8;12;2;10;33,67
Nord Ovest;Lombardia;LC;G009;3;22,5;24,5;11;11,5;72,5
Nord Ovest;Piemonte;TO;G010;0;2;1,5;4;5;12,5
Sud;Campania;SA;G011;1;2;1;2,78;5;11,78
Nord Ovest;Valle d'Aosta;AO;G012;1;0;0;0;0;1
Isole;Sardegna;SS;G015;98,09;246,99;103,32;50,13;36,62;535,15
Nord Ovest;Piemonte;VC;G016;0;0;2;2;0;4
Nord Ovest;Piemonte;VC;G018;0;0;0;0;0;0
Nord Ovest;Piemonte;NO;G019;2;27,9;26;20,07;37,1;113,07
Nord Ovest;Piemonte;NO;G020;0;1;6;2;7;16
Nord Ovest;Lombardia;PV;G021;0;2;0;0;1;3
Centro;Lazio;RM;G022;6;17,67;10;4;4;41,67
Sud;Campania;SA;G023;2;5;4;5;6,5;22,5
Nord Ovest;Lombardia;CO;G025;2,16;26,16;32,28;14;17,08;91,68
Nord Ovest;Lombardia;LC;G026;0;12;20,5;4,15;8,33;44,98
Nord Ovest;Lombardia;VA;G028;3,8;15;23;19;22;82,8
Nord Ovest;Lombardia;LC;G030;0;5,26;16;5;7,04;33,3
Isole;Sardegna;NU;G031;0;1;4;1;4;10
Nord Ovest;Lombardia;PV;G032;0;0;1;0;1;2
Sud;Calabria;CZ;G034;0;1;0;0;1;2
Isole;Sicilia;ME;G036;7,25;7,68;7,5;3;0;25,43
Sud;Basilicata;MT;G037;0;0;0;0;0;0
Sud;Campania;SA;G039;2;5;2;1;0;10
Nord Ovest;Lombardia;LC;G040;2;8;3,17;0,5;6,44;20,11
Nord Ovest;Liguria;IM;G041;1;1;1;0,5;1;4,5
Nord Ovest;Piemonte;AL;G042;0;0;0;0;2;2
Isole;Sardegna;OR;G043;0;0;0;0,47;1;1,47
Isole;Sardegna;NU;G044;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;G045;1;2;0;1;0;4
Isole;Sardegna;SS;G046;0;13;5;4,8;2;24,8
Nord Ovest;Lombardia;CR;G047;1;0;0;0;2;3
Nord Ovest;Piemonte;AT;G048;0;0;0;0;1;1
Nord Ovest;Lombardia;BG;G049;0;1;0,34;1,23;0,13;2,7
Nord Ovest;Lombardia;BG;G050;10,31;15,35;3,67;1;2;32,33
Nord Ovest;Lombardia;BG;G054;0;0;1;3,5;0;4,5
Nord Ovest;Lombardia;CO;G056;0;5;10,5;3;1;19,5
Isole;Sardegna;NU;G058;0;0;0;0;2;2
Nord Ovest;Lombardia;BS;G061;4;7;5,67;3;8,5;28,17
Nord Ovest;Piemonte;VB;G062;10;31,95;25,41;17,5;13;97,86
Sud;Campania;SA;G063;0;2;5;1;0;8
Isole;Sardegna;NU;G064;0;0;0;0;0;0
Centro;Lazio;VT;G065;2;3;1,33;0;0;6,33
Nord Ovest;Piemonte;CN;G066;5;4;3;0,22;2;14,22
Nord Ovest;Lombardia;BG;G068;3;2;0;1;1,17;7,17
Isole;Sardegna;NU;G070;0;0;0,5;1;0;1,5
Isole;Sardegna;NU;G071;0;1;0;1;0;2
Nord Ovest;Lombardia;BS;G074;0;0;0;0;1,5;1,5
Nord Ovest;Lombardia;BG;G075;5;11;4;0,4;3;23,4
Nord Ovest;Liguria;SV;G076;0;0;0;0;1;1
Nord Ovest;Lombardia;MI;G078;11,2;38,5;60,3;24,5;16;150,5
Sud;Abruzzo ;AQ;G079;1;3;3;3;1,5;11,5
Nord Est;Veneto;VR;G080;0,5;19,5;22,9;17;10,36;70,26
Sud;Basilicata;PZ;G081;0;6;0,8;0;3;9,8
Sud;Calabria;RC;G082;1;2;2;0;1;6
Isole;Sardegna;NU;G084;0;0;1;0;0;1
Sud;Molise;CB;G086;2,72;2,36;2;0;0;7,08
Nord Ovest;Piemonte;TO;G087;3,5;86,94;62;27;19,6;199,04
Centro;Toscana;GR;G088;28,78;47,97;41,5;28,61;8,83;155,69
Centro;Marche;PS;G089;1;1;4;2;2,17;10,17
Centro;Toscana;PI;G090;0,5;0;0;3;1;4,5
Nord Ovest;Liguria;GE;G093;0;1;0;0;2;3
Nord Est;Veneto;VI;G095;1;1;0;0;6,5;8,5
Nord Ovest;Lombardia;LO;G096;0;4,5;7;1;1,75;14,25
Isole;Sardegna;NU;G097;0;0;0;0;0,82;0,82
Sud;Puglia;BR;G098;5,67;15,5;18,5;12;7,15;58,82
Sud;Abruzzo ;AQ;G102;0;1;1;1;2;5
Nord Ovest;Lombardia;VA;G103;6;30;19;6;8,5;69,5
Nord Ovest;Lombardia;VA;G105;0;0;2;1;1;4
Nord Ovest;Lombardia;LO;G107;0;1;3,05;1,83;1,5;7,38
Nord Ovest;Lombardia;BG;G108;0;4;4;1;1;10
Nord Ovest;Piemonte;TO;G109;0;0;2;0;2;4
Sud;Calabria;CS;G110;1;8;0;0;1;10
Centro;Lazio;VT;G111;6,88;9;6,9;4,58;8;35,36
Isole;Sardegna;OR;G113;11;55;57,26;37,5;36,84;197,6
Nord Ovest;Piemonte;CN;G114;6;18,21;5,5;3,33;4;37,04
Nord Est;Veneto;TV;G115;0;4;5;1,5;8,6;19,1
Nord Ovest;Lombardia;MI;G116;2;40,5;12,5;11,5;10;76,5
Nord Ovest;Piemonte;VB;G117;1;8;7;14;5,75;35,75
Nord Ovest;Lombardia;BG;G118;1,32;3;0;1;0;5,32
Isole;Sardegna;NU;G119;2;11,5;9,5;2,5;5,25;30,75
Isole;Sardegna;NU;G120;0;0;0;0;0;0
Sud;Campania;SA;G121;0;0;1;0;1;2
Isole;Sardegna;NU;G122;1;1;5;1;1;9
Nord Est;Veneto;TV;G123;0;1,5;2;5;5;13,5
Nord Ovest;Piemonte;AL;G124;0;0;0;0;3;3
Sud;Puglia;FG;G125;1;3;3;0;1;8
Nord Ovest;Lombardia;CO;G126;0;3;7,9;3;3;16,9
Sud;Abruzzo ;CH;G128;1;2;5,17;2;5,5;15,67
Sud;Calabria;CS;G129;0,86;2;1,86;1;0;5,72
Sud;Campania;CE;G130;6;15,02;35,33;14,5;8,34;79,19
Sud;Puglia;FG;G131;12;13,84;36;24,1;7,25;93,19
Isole;Sardegna;CA;G133;0;0;0;1;0;1
Nord Ovest;Piemonte;NO;G134;1;3;3;0;0,04;7,04
Centro;Lazio;VT;G135;1,5;20,5;23,72;14;9;68,72
Sud;Puglia;LE;G136;4;5;6;0;2;17
Centro;Marche;AP;G137;0;0;0;1;0;1
Centro;Toscana;AR;G139;0;1;0;1;1,83;3,83
Sud;Abruzzo ;CH;G141;10;40,22;41,66;29,67;26,89;148,44
Sud;Abruzzo ;AQ;G142;1;1,5;2;3,67;5;13,17
Nord Ovest;Liguria;SP;G143;4,83;14,05;13,75;10,06;10,75;53,44
Nord Ovest;Liguria;SV;G144;0;6;1;0,5;0,5;8
Sud;Abruzzo ;AQ;G145;1;2,67;2;1;0;6,67
Isole;Sardegna;NU;G146;0;1;0;1;0;2
Isole;Sardegna;NU;G147;0;0;1;0;5;6
Centro;Umbria;TR;G148;6,17;32;39,78;20;26,5;124,45
Nord Ovest;Lombardia;BS;G149;2;17,16;13,72;10;19,5;62,38
Nord Ovest;Lombardia;BS;G150;0,8;1;0;3,22;7;12,02
Nord Ovest;Piemonte;TO;G151;0;1;5;0;3;9
Nord Ovest;Piemonte;TO;G152;0;0;1;0;2;3
Isole;Sardegna;SS;G153;0;2;2;3,28;1,6;8,88
Isole;Sardegna;NU;G154;0;0;0;0;1;1
Nord Ovest;Liguria;SV;G155;1;1;0,5;2;1;5,5
Isole;Sardegna;SS;G156;2;2;1;2;6;13
Centro;Marche;AN;G157;5,07;46,95;71,11;49,86;36,43;209,42
Isole;Sardegna;NU;G158;0;1;5,28;2,93;1;10,21
Nord Ovest;Lombardia;BG;G159;5;15,5;12;8,61;12;53,11
Nord Ovest;Lombardia;BG;G160;6;27;32,83;18,41;26,97;111,21
Nord Ovest;Lombardia;LC;G161;1;9;9,5;7,16;3;29,66
Nord Est;Friuli- Venezia Giulia;UD;G163;0;0;2,33;2;4;8,33
Nord Ovest;Liguria;IM;G164;20,09;20,75;15;3;6,44;65,28
Sud;Campania;AV;G165;0;1,17;4,5;6;0;11,67
Nord Ovest;Lombardia;LO;G166;4;3;3;0;2,5;12,5
Nord Est;Veneto;PD;G167;0;7,92;7,25;10,59;10,5;36,26
Nord Est;Veneto;BL;G169;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;G170;3;35;47,5;18;22,5;126
Nord Ovest;Lombardia;LO;G171;0;0;2;2;3;7
Isole;Sardegna;SS;G178;1;2,8;8,17;2,08;4,22;18,27
Nord Ovest;Lombardia;BS;G179;0;1;1;0;0;2
Nord Ovest;Lombardia;MI;G181;0;8,5;8;11;3;30,5
Nord Ovest;Piemonte;CN;G183;2;2;1;1;0;6
Nord Est;Emilia-Romagna;FE;G184;2,5;8,4;5,5;4;3;23,4
Nord Ovest;Lombardia;CR;G185;0;1;1;4,5;10,17;16,67
Nord Ovest;Lombardia;MN;G186;1,5;11;7,84;3,17;8,5;32,01
Sud;Puglia;BR;G187;75,46;115,55;91,36;63,9;35,8;382,07
Sud;Puglia;LE;G188;12,12;19,84;14,17;3,53;1;50,66
Centro;Umbria;TR;G189;3;0;5;1;1,17;10,17
Sud;Campania;NA;G190;6,82;12,71;13,74;27,57;16;76,84
Isole;Sardegna;NU;G191;0;0;0;1;0;1
Sud;Campania;SA;G192;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;G193;0;1;0;2;5;8
Nord Ovest;Lombardia;PV;G194;0;1;1;0;4,33;6,33
Nord Est;Emilia-Romagna;PC;G195;2;1,84;2,67;2,33;0;8,84
Nord Ovest;Piemonte;TO;G196;29,83;53;15,51;4;4,13;106,47
Nord Ovest;Piemonte;AL;G197;7;17,94;26,5;19;21,75;92,19
Nord Est;Friuli- Venezia Giulia;UD;G198;1;3,77;1,5;4,5;2;12,77
Nord Ovest;Piemonte;AL;G199;0;1;3;2,66;4,17;10,83
Sud;Abruzzo ;AQ;G200;13;20;7;4;3;47
Isole;Sardegna;NU;G201;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;G202;0;0;2,5;2;3;7,5
Isole;Sardegna;SS;G203;1,33;6,5;8,51;5,17;10,83;32,34
Nord Ovest;Piemonte;AL;G204;0;0;1;0;6;7
Nord Est;Emilia-Romagna;BO;G205;8;57,5;51;29;14,5;160
Nord Ovest;Lombardia;MI;G206;2;2;6;1;0,5;11,5
Isole;Sardegna;CA;G207;1,5;0;1,5;0;2,37;5,37
Isole;Sicilia;TP;G208;5;4;15,66;9,86;10,27;44,79
Isole;Sicilia;ME;G209;1;7;7;8;7;30
Sud;Abruzzo ;AQ;G210;2,33;2,33;1;0;1,15;6,81
Isole;Sicilia;SR;G211;17,08;42,3;31,08;21,97;21,33;133,76
Centro;Umbria;PG;G212;0;1;2,17;0,5;2;5,67
Nord Ovest;Lombardia;BS;G213;4;25,52;16;13,5;18,25;77,27
Nord Ovest;Piemonte;AL;G215;0;0;1;0;0;1
Nord Ovest;Lombardia;BS;G217;0;5;4;2;3,28;14,28
Nord Ovest;Lombardia;LC;G218;2;5,5;15;5;3;30,5
Nord Ovest;Lombardia;MI;G220;22,63;126,07;113,88;41,25;41;344,83
Nord Est;Veneto;TV;G221;0;2;1;1;2;6
Nord Ovest;Lombardia;CR;G222;0;1;1,67;0,5;3,2;6,37
Nord Ovest;Lombardia;LC;G223;0;5,5;17;11,17;16,5;50,17
Nord Est;Veneto;PD;G224;209,06;406,19;636,31;427,33;412,26;2091,15
Isole;Sardegna;SS;G225;0;0;3,07;3,75;1;7,82
Sud;Campania;SA;G226;2;9,83;6,83;0,5;3,5;22,66
Sud;Campania;BN;G227;2;1;2;4;7;16
Nord Ovest;Piemonte;CN;G228;2;17,67;9,5;3;3,83;36
Nord Est;Veneto;TV;G229;0;27;41,5;18,33;37,03;123,86
Sud;Campania;SA;G230;16,46;16,73;53,29;44,54;35,91;166,93
Centro;Lazio;RI;G232;1,25;2;1,25;0;0;4,5
Nord Ovest;Lombardia;BG;G233;1;2,9;6,5;0,25;2,88;13,53
Isole;Sicilia;ME;G234;1;2;2;2;0;7
Sud;Abruzzo ;CH;G237;0,66;6,66;3,08;1,11;0;11,51
Nord Est;Friuli- Venezia Giulia;UD;G238;1;5;5;4;13,94;28,94
Nord Ovest;Piemonte;CN;G240;0;0;1;2;2;5
Nord Ovest;Lombardia;LC;G241;1;1;0;0;0;2
Sud;Campania;AV;G242;0;0;0;3;1;4
Sud;Campania;BN;G243;0,17;3;1,09;0;1,25;5,51
Nord Ovest;Lombardia;BS;G247;0;1;1;0;0;2
Nord Ovest;Lombardia;BS;G248;1;2;2,66;1;3;9,66
Nord Ovest;Lombardia;BG;G249;2;4,5;8;3,08;4,2;21,78
Nord Est;Emilia-Romagna;MO;G250;0;2;2,44;2,83;3,26;10,53
Sud;Puglia;TA;G251;7,5;7;11,17;12,5;8;46,17
Sud;Puglia;TA;G252;4;18,67;15;8,75;10,83;57,25
Isole;Sicilia;CT;G253;5,03;13,58;6;5;8,72;38,33
Centro;Toscana;PI;G254;4,14;3,5;10;6;12,22;35,86
Nord Est;Emilia-Romagna;PR;G255;0;3;2;3;1;9
Sud;Molise;CB;G257;0;3;1;0;1;5
Isole;Sardegna;SS;G258;16,17;41,33;16,5;8,89;10,15;93,04
Nord Ovest;Lombardia;BG;G259;2;11,5;11;2;7;33,5
Nord Ovest;Lombardia;CR;G260;0;4;2,88;5,5;2,5;14,88
Sud;Basilicata;PZ;G261;17,07;2,83;6,31;10,63;3;39,84
Nord Ovest;Piemonte;TO;G262;0;0;1;0;2,5;3,5
Isole;Sicilia;PA;G263;5,92;3,42;3,25;1;3,85;17,44
Nord Ovest;Lombardia;BS;G264;6;21,42;30;34,31;30,24;121,97
Nord Ovest;Piemonte;VC;G266;0;0;1;3,17;4;8,17
Isole;Sicilia;SR;G267;10,05;16,58;11,52;10,52;6,38;55,05
Nord Est;Friuli- Venezia Giulia;UD;G268;0;2;2,56;4,48;6;15,04
Centro;Toscana;FI;G270;0;6;5;3;2,25;16,25
Sud;Abruzzo ;CH;G271;1,5;4;2,5;1;0;9
Sud;Calabria;CZ;G272;0;1;0;1;0;2
Isole;Sicilia;PA;G273;439,11;989,05;1174,71;1036,46;692,06;4331,39
Centro;Lazio;RM;G274;11;35,54;41,31;12,4;18;118,25
Nord Ovest;Lombardia;PV;G275;0;3;1,5;0;2;6,5
Centro;Lazio;FR;G276;7;10;10,53;10,5;9;47,03
Sud;Calabria;RC;G277;2;0,83;1;1;1;5,83
Sud;Calabria;KR;G278;1;0;0;1;0;2
Nord Ovest;Piemonte;VB;G280;0;1;0;1;2;4
Nord Ovest;Liguria;SV;G281;0;1,5;0,83;0,33;2;4,66
Isole;Sicilia;AG;G282;13,47;23,8;19,3;24,02;17,02;97,61
Sud;Campania;NA;G283;7;6,12;17,65;16,61;14,39;61,77
Nord Est;Friuli- Venezia Giulia;UD;G284;2;6;9,5;11,5;13;42
Sud;Puglia;LE;G285;3;2;0;3;2;10
Isole;Sardegna;OR;G286;0,78;0;2,88;2;0,78;6,44
Isole;Sardegna;CA;G287;0;0,67;3;7;4,17;14,84
Sud;Calabria;RC;G288;8,19;9,53;16,73;19,83;16,03;70,31
Centro;Marche;AP;G289;0;0;0;0;0;0
Sud;Abruzzo ;CH;G290;0;2,5;5;2;1;10,5
Sud;Puglia;BA;G291;25,79;36,33;42;26,47;23;153,59
Sud;Campania;SA;G292;0,22;0;1,22;1;1;3,44
Centro;Lazio;RM;G293;7;33,5;24,95;14,72;16,5;96,67
Sud;Abruzzo ;CH;G294;1;0;3;2;7;13
Nord Ovest;Lombardia;BG;G295;1;1;4,5;7,93;6,19;20,62
Nord Est;Veneto;VR;G297;0;1,5;3;1,5;1,5;7,5
Sud;Calabria;CS;G298;0;3;1;2;0;6
Nord Est;Friuli- Venezia Giulia;UD;G300;0;0;0;1;7,89;8,89
Nord Ovest;Piemonte;CN;G302;6,5;1;1;0;0,67;9,17
Nord Ovest;Piemonte;TO;G303;0;3;1;1;1,5;6,5
Nord Ovest;Lombardia;PV;G304;0;0;1;0;1;2
Nord Ovest;Lombardia;CR;G306;3;17;21,23;12,5;7,84;61,57
Sud;Calabria;CS;G307;0;0;0;0;2;2
Centro;Umbria;PG;G308;1;3;7;7;4;22
Sud;Campania;NA;G309;1;27;59,24;28,45;19,62;135,31
Sud;Campania;BN;G311;3;6,4;3;1,67;3,94;18,01
Sud;Puglia;FG;G312;0;2,5;1;0;0;3,5
Isole;Sicilia;TP;G315;16,5;12,83;13,83;12;6,5;61,66
Nord Ovest;Lombardia;MI;G316;1;23,75;14,4;5;4,5;48,65
Sud;Calabria;CS;G317;4;17,5;15,1;17,08;8;61,68
Sud;Campania;BN;G318;0;2,96;0;0;7;9,96
Isole;Sicilia;TP;G319;2,11;7;15,23;9,5;10,5;44,34
Sud;Calabria;CS;G320;0;2;0;0;0;2
Nord Est;Veneto;RO;G323;0;1;7;4;3;15
Nord Ovest;Lombardia;MI;G324;12,83;80,27;82,4;31,51;36,25;243,26
Sud;Puglia;LE;G325;15;17,56;7,16;9;12,5;61,22
Nord Ovest;Lombardia;BS;G327;3;19,5;8,5;14;9;54
Nord Ovest;Piemonte;TO;G330;0;0;1;0;2;3
Sud;Calabria;CS;G331;0;1;1,83;2;0;4,83
Sud;Campania;CE;G333;2,42;2;7,5;9,5;8,42;29,84
Nord Ovest;Piemonte;AL;G334;1;0;0;0,89;1;2,89
Sud;Calabria;VV;G335;1,5;14,5;1;1;0;18
Nord Ovest;Lombardia;LC;G336;0;2;0;0;0;2
Nord Est;Emilia-Romagna;PR;G337;154,74;650,45;658,15;312,77;223,27;1999,38
Nord Ovest;Piemonte;AL;G338;1;2;0;1;1,55;5,55
Nord Ovest;Piemonte;CN;G339;0;0;0;0;1;1
Sud;Campania;AV;G340;0;0;3;1;1;5
Nord Ovest;Lombardia;PV;G342;0;1,5;1;2;3;7,5
Centro;Umbria;TR;G344;0;0;0;0,75;1,5;2,25
Nord Ovest;Lombardia;BG;G346;3,21;3,25;6,08;3,73;3,5;19,77
Isole;Sicilia;TP;G347;1;8,17;7;7,93;12,77;36,87
Isole;Sicilia;PA;G348;15;22;19,75;32;27,5;116,25
Nord Ovest;Piemonte;NO;G349;1;2;7;3;4;17
Nord Ovest;Lombardia;BG;G350;3;5;1;0;0;9
Nord Est;Friuli- Venezia Giulia;UD;G352;2;15;35;13;17,61;82,61
Nord Est;Friuli- Venezia Giulia;PN;G353;1;2;5,6;7,11;12,67;28,38
Nord Ovest;Lombardia;BS;G354;0;1;1;0;0;2
Nord Ovest;Piemonte;AT;G358;0;0;1;0;0;1
Centro;Umbria;PG;G359;1,5;17;15;12;10,5;56
Nord Ovest;Lombardia;BS;G361;2;20;9,15;9;17,5;57,65
Centro;Lazio;FR;G362;0;0;0;0;2;2
Sud;Campania;CE;G364;1,5;1;2;1;3,5;9
Nord Est;Veneto;VR;G365;0;5,83;5,5;3;10;24,33
Nord Ovest;Piemonte;AL;G367;0;3;0;2;2;7
Nord Ovest;Lombardia;LC;G368;0;5;3;4,97;0,83;13,8
Sud;Campania;AV;G370;1;2;1;1;2;7
Isole;Sicilia;CT;G371;25,52;39,38;34,51;49,97;25,57;174,95
Sud;Calabria;CS;G372;1;1;4;0;2;8
Centro;Lazio;FR;G374;3;4,5;2;5,17;4,67;19,34
Isole;Sardegna;SS;G376;1;0,8;4,06;1,2;3,43;10,49
Isole;Sicilia;ME;G377;7,5;29;27,5;21;15,89;100,89
Sud;Puglia;LE;G378;8;1;2;1;2;14
Isole;Sardegna;OR;G379;0;0;0;0;0;0
Nord Est;Friuli- Venezia Giulia;UD;G381;0;3;1;1,5;2,67;8,17
Isole;Sardegna;CA;G382;0;0;0;0;0,29;0,29
Isole;Sardegna;CA;G383;0;0;0;0,83;0;0,83
Isole;Sardegna;OR;G384;2;2;2;0,83;2,86;9,69
Nord Ovest;Lombardia;MI;G385;8,65;43,84;45,91;10,22;5,77;114,39
Sud;Campania;BN;G386;0;0;1;0;2;3
Nord Ovest;Piemonte;TO;G387;0;1;3,5;2,5;6;13
Nord Ovest;Lombardia;PV;G388;120,69;343,23;188,29;103,34;74,05;829,6
Nord Est;Friuli- Venezia Giulia;UD;G389;0;5,92;2;5,42;15,21;28,55
Nord Ovest;Lombardia;BS;G391;0;0;5,33;1;2,33;8,66
Nord Ovest;Piemonte;TO;G392;0;3;1,98;8,05;5;18,03
Nord Est;Emilia-Romagna;MO;G393;5,45;26,59;40,97;20,41;14,4;107,82
Sud;Calabria;RC;G394;0;1;2;0;1,56;4,56
Centro;Toscana;PI;G395;2,8;8,86;3;7;11;32,66
Nord Ovest;Piemonte;TO;G396;0;0;0;0;1;1
Nord Ovest;Piemonte;AL;G397;0,5;0;0;0;3,83;4,33
Nord Ovest;Piemonte;TO;G398;1;5;3;5;8;22
Nord Est;Emilia-Romagna;PC;G399;1;4;1;1;0;7
Sud;Calabria;CS;G400;0;0;1;1;3;5
Isole;Sicilia;CT;G402;4,75;21;31,92;22;29,42;109,09
Centro;Marche;AP;G403;2;12;7,5;2;1;24,5
Nord Est;Veneto;BL;G404;0;5,17;9,17;5;13,67;33,01
Nord Ovest;Lombardia;BS;G407;0;2,5;10,5;16;3,67;32,67
Nord Est;Veneto;TV;G408;0,17;11;8;9,18;15,99;44,34
Nord Ovest;Lombardia;SO;G410;0;0;0;0;0,5;0,5
Sud;Calabria;CS;G411;0;1;0;2;0;3
Nord Ovest;Lombardia;BG;G412;0;23;18,5;13;15;69,5
Nord Ovest;Lombardia;CO;G415;1;0;1;0;0;2
Centro;Marche;PS;G416;1,81;0;0;0;0;1,81
Nord Ovest;Lombardia;MN;G417;0;1,5;9,5;7,4;12,5;30,9
Nord Ovest;Lombardia;BG;G418;0;0;2;1;3;6
Centro;Toscana;FI;G420;4;6,55;21,83;11;12;55,38
Nord Ovest;Piemonte;NO;G421;0;3;3,5;0;3,5;10
Nord Est;Emilia-Romagna;PR;G424;1;2;1;0;1;5
Sud;Campania;SA;G426;2;12,5;29;15;11,25;69,75
Nord Ovest;Lombardia;CO;G427;0;0;2;3;3;8
Nord Ovest;Piemonte;AT;G430;0;1;0;1;3;5
Nord Ovest;Lombardia;SO;G431;1;5,5;1,5;0;3,46;11,46
Centro;Umbria;TR;G432;0;0;1;1;2;4
Centro;Marche;PS;G433;3;2;4,91;1;4;14,91
Sud;Abruzzo ;CH;G434;0;3,75;2;0;0;5,75
Sud;Abruzzo ;CH;G435;0;1;0;0;1;2
Centro;Marche;MC;G436;0;2;1;2;2,17;7,17
Sud;Abruzzo ;TE;G437;0;5;6;6;0,5;17,5
Sud;Abruzzo ;PE;G438;1,67;17,5;15,5;10;12,84;57,51
Sud;Calabria;CZ;G439;0,86;1;0;0;0;1,86
Sud;Abruzzo ;CH;G441;0;0;4;0;2;6
Nord Est;Veneto;BL;G442;1,06;4,34;3;1;3;12,4
Centro;Lazio;RM;G444;0;0;0;0;0;0
Isole;Sardegna;NU;G445;0;0;0;0;0;0
Isole;Sardegna;CA;G446;1;0;0;0;2;3
Sud;Campania;SA;G447;0;0;1;2;1;4
