AREA;REGIONE;PROVINCIA;2021_CodCom;NTN_2021_Depositi_Pert;NTN_2021_Box
Nord Est;Veneto;RO;L026;2;67,15
Nord Ovest;Piemonte;AL;L027;10,32;8
Nord Est;Veneto;BL;L030;5,5;11
Nord Ovest;Lombardia;VA;L032;4;37,44
Nord Est;Emilia-Romagna;RN;L034;0;2
Nord Ovest;Lombardia;SO;L035;14;7
Isole;Sardegna;NU;L036;1;0
Nord Ovest;Lombardia;BG;L037;4;14,63
Centro;Toscana;AR;L038;2,67;2
Nord Est;Friuli- Venezia Giulia;UD;L039;8;24
Nord Est;Veneto;BL;L040;9,98;11,66
Isole;Sicilia;ME;L042;21;35,75
Centro;Lazio;RI;L046;1;4
Sud;Abruzzo;CH;L047;2;0
Nord Ovest;Piemonte;CN;L048;7;18,5
Sud;Puglia;TA;L049;189,65;447,65
Nord Est;Friuli- Venezia Giulia;UD;L050;23,28;82,98
Sud;Calabria;CS;L055;0;0
Nord Ovest;Lombardia;SO;L056;1;1
Nord Est;Veneto;TV;L058;7;34
Nord Ovest;Piemonte;AL;L059;5;7
Sud;Campania;AV;L061;2;1
Sud;Campania;AV;L062;6;5
Sud;Calabria;RC;L063;8,13;13,75
Sud;Puglia;LE;L064;8,66;10,81
Nord Est;Friuli- Venezia Giulia;UD;L065;51;185,47
Nord Ovest;Piemonte;TO;L066;2;1
Sud;Molise;CB;L069;0;1
Sud;Calabria;CZ;L070;8;1
Nord Ovest;Lombardia;CO;L071;7;50,5
Nord Ovest;Lombardia;BG;L073;2;16,5
Sud;Puglia;LE;L074;7,87;12,67
Nord Ovest;Piemonte;BI;L075;1;7,5
Centro;Marche;PS;L078;0;3
Centro;Marche;PS;L081;4;76,47
Sud;Basilicata;PZ;L082;0;0
Sud;Campania;CE;L083;11;18,25
Nord Ovest;Lombardia;SO;L084;29,72;26,12
Nord Est;Veneto;VE;L085;4;9
Sud;Campania;BN;L086;5;19
Nord Ovest;Lombardia;BG;L087;12,49;63,83
Isole;Sardegna;SS;L088;1;1
Isole;Sardegna;SS;L093;8,09;21,66
Nord Ovest;Lombardia;BS;L094;19;121,24
Nord Est;Veneto;PD;L100;6;89,15
Sud;Campania;AV;L102;5;4
Sud;Abruzzo;TE;L103;144,4;229,02
Nord Ovest;Piemonte;NO;L104;0;4,83
Centro;Lazio;FR;L105;0,25;0
Sud;Puglia;BA;L109;64,83;74,83
Isole;Sicilia;PA;L112;31,06;20,88
Sud;Molise;CB;L113;52,75;338,59
Nord Ovest;Lombardia;VA;L115;5,17;17,68
Nord Ovest;Piemonte;BI;L116;2;2
