AREA;Regione;prov;2014_CodFitt;NTN 2014 fino a 50 mq;NTN 2014 50 -| 85 mq;NTN 2014 85 -| 115 mq;NTN 2014 115 -| 145 mq;NTN 2014 oltre 145;NTN 2014
Nord Ovest;Lombardia;CO;C220;0;5;2;0;1,28;8,28
Nord Ovest;Lombardia;CO;C299;2,42;1,5;2,42;1;3,5;10,84
Nord Ovest;Lombardia;CO;C374;0;2,5;7;10,5;8;28
Nord Ovest;Lombardia;CO;C381;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;C482;0;0;0;2;1;3
Nord Ovest;Lombardia;CO;C516;3;12,39;25,5;7;10,43;58,32
Nord Ovest;Lombardia;CO;C520;4,02;13;20,33;13,25;13,5;64,1
Nord Ovest;Lombardia;CO;C724;0;4,33;4;9;4;21,33
Nord Ovest;Lombardia;CO;C787;0;4;2;0;3;9
Nord Ovest;Lombardia;CO;C902;2;5;2;2;2;13
Nord Ovest;Lombardia;CO;C933;66,41;232,03;169,49;117,69;96,05;681,67
Nord Ovest;Lombardia;CO;C936;2;13;5;8;4,5;32,5
Nord Ovest;Lombardia;CO;D041;0;0;2;3;1;6
Nord Ovest;Lombardia;CO;D147;2;3;0,5;0;1;6,5
Nord Ovest;Lombardia;CO;D196;0;4;2;3;4,5;13,5
Nord Ovest;Lombardia;CO;D232;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;D310;0;3;1;0;2,5;6,5
Nord Ovest;Lombardia;CO;D329;1,14;7,01;2;1;1,75;12,9
Nord Ovest;Lombardia;CO;D341;4,75;9;6,75;0;3,67;24,17
Nord Ovest;Lombardia;CO;D355;0;1;0;0;0;1
Nord Ovest;Lombardia;CO;D416;8,5;30,67;24;21;16;100,17
Nord Ovest;Lombardia;CO;D445;3;2,5;4;5;1;15,5
Nord Ovest;Lombardia;CO;D462;0,5;2;2;1;7;12,5
Nord Ovest;Lombardia;CO;D482;1;6;13,04;11,83;11;42,87
Nord Ovest;Lombardia;CO;D531;0;3;6;3;8;20
Nord Ovest;Lombardia;CO;D579;2;7,25;5,25;2;5;21,5
Nord Ovest;Lombardia;CO;D605;1,5;33,5;24,58;19,6;13,5;92,68
Nord Ovest;Lombardia;CO;D930;0;2,5;1;0;0;3,5
Nord Ovest;Lombardia;CO;D974;0;8;2;3;2;15
Nord Ovest;Lombardia;CO;E139;0,5;5,17;7,88;4;5;22,55
Nord Ovest;Lombardia;CO;E141;0;2;0;1,5;2;5,5
Nord Ovest;Lombardia;CO;E172;2;7;1;0;1,8;11,8
Nord Ovest;Lombardia;CO;E235;2;16,5;11,42;5;7,33;42,25
Nord Ovest;Lombardia;CO;E309;3;19,5;11,25;12,75;7,33;53,83
Nord Ovest;Lombardia;CO;E405;0;5;0;3;5,17;13,17
Nord Ovest;Lombardia;CO;E416;0;0;0;1;0;1
Nord Ovest;Lombardia;CO;E428;0;7;9;4;2;22
Nord Ovest;Lombardia;CO;E444;9;13,5;12;2;1;37,5
Nord Ovest;Lombardia;CO;E462;0;2;1;0,5;0;3,5
Nord Ovest;Lombardia;CO;E569;1;2,14;3;2;5;13,14
Nord Ovest;Lombardia;CO;E593;1;18,45;8,86;1;4;33,31
Nord Ovest;Lombardia;CO;E607;3,67;12,5;10;9,67;5,92;41,76
Nord Ovest;Lombardia;CO;E623;0;0,5;0;0;0;0,5
Nord Ovest;Lombardia;CO;E638;2;6;6;6;6,83;26,83
Nord Ovest;Lombardia;CO;E659;2,5;30,75;33,11;15,63;13,29;95,28
Nord Ovest;Lombardia;CO;E679;0;4,5;5;3;3;15,5
