Area;Regione;Provincia;2025_CodCom;NTN_2025_Depositi_Pert;NTN_2025_Box
Nord Ovest;Piemonte;BI;A876;7;9
Nord Ovest;Valle d'Aosta;AO;A877;1;1
Nord Ovest;Lombardia;BS;A878;3;8
Isole;Sardegna;NU;A880;0;0
Sud;Campania;AV;A881;4;11
Isole;Sicilia;PA;A882;6,03;4,84
Sud;Puglia;BA;A883;268,37;325,72
Sud;Abruzzo;AQ;A884;1,5;1
Sud;Abruzzo;TE;A885;7;11
Sud;Calabria;CS;A887;5;2,36
Nord Ovest;Piemonte;AL;A889;1,5;13,68
Nord Ovest;Lombardia;VA;A891;8,5;29,5
Sud;Puglia;BA;A892;27;70,92
Sud;Puglia;BA;A893;95,73;266,89
Sud;Puglia;BA;A894;25;77,83
Isole;Sardegna;NU;A895;1;1,01
Isole;Sicilia;AG;A896;6,5;4
Sud;Calabria;RC;A897;2;0
Nord Ovest;Lombardia;CO;A898;12;48
Nord Ovest;Lombardia;BG;A903;0;0,5
Nord Ovest;Lombardia;CO;A904;1;5
Nord Ovest;Lombardia;CO;A905;6;18
Nord Est;Veneto;PD;A906;2,7;23,5
Nord Est;Emilia-Romagna;PC;A909;14,12;33,5
Nord Ovest;Piemonte;TO;A910;1;3
Nord Ovest;Piemonte;NO;A911;1;7,5
Sud;Calabria;CS;A912;1,25;0,25
Nord Ovest;Piemonte;VC;A914;3,66;3
Nord Ovest;Lombardia;VA;A918;4;19,5
Nord Ovest;Lombardia;LO;A919;0;27,5
Nord Ovest;Lombardia;MI;A920;11,5;37,58
Nord Ovest;Liguria;GE;A922;25,83;39
Nord Ovest;Piemonte;VB;A925;10;2,67
Nord Ovest;Piemonte;NO;A929;2;19
Sud;Molise;CB;A930;16,5;14
Nord Ovest;Liguria;SV;A931;10;39,84
Nord Ovest;Liguria;SP;A932;24;20
Nord Ovest;Lombardia;BG;A937;21;63,6
Nord Ovest;Lombardia;MI;A940;327,24;528,41
Nord Ovest;Piemonte;TO;A941;2;16,33
Sud;Basilicata;MT;A942;10;27
Nord Est;Emilia-Romagna;BO;A944;2583,49;3924,03
Sud;Abruzzo;PE;A945;4;2
Isole;Sicilia;PA;A946;4;0
Centro;Marche;MC;A947;1;1
Isole;Sardegna;NU;A948;5;5
Centro;Lazio;VT;A949;16;22,5
Nord Ovest;Lombardia;BG;A950;13;105,94
Nord Ovest;Piemonte;NO;A953;1;8
Nord Est;Veneto;VI;A954;18,48;84,5
Centro;Lazio;VT;A955;12;11
Sud;Abruzzo;CH;A956;5;1
Isole;Sicilia;CL;A957;0;1
Isole;Sicilia;PA;A958;5;0
Nord Est;Emilia-Romagna;MO;A959;16,81;221,97
Isole;Sardegna;OR;A960;0;1
Nord Ovest;Liguria;SP;A961;10,52;11
Nord Ovest;Lombardia;BG;A962;17,92;72,5
Nord Ovest;Lombardia;BG;A963;11,72;123,76
Nord Est;Veneto;VR;A964;2;22,84
Nord Est;Emilia-Romagna;FE;A965;16,48;150,19
Sud;Campania;BN;A970;0;2
Sud;Molise;CB;A971;7;3
Nord Ovest;Lombardia;CR;A972;1;7
Sud;Calabria;CS;A973;5;5,5
Sud;Campania;AV;A975;0,33;1
Isole;Sardegna;SS;A976;1;6,94
Isole;Sardegna;SS;A977;3,5;5
Isole;Sardegna;SS;A978;7;4,67
Nord Ovest;Piemonte;CN;A979;1;0
Centro;Lazio;RI;A981;1,5;1
Nord Est;Veneto;BL;A982;12,36;28,5
Nord Est;Friuli- Venezia Giulia;UD;A983;0,67;4
Nord Ovest;Liguria;IM;A984;84,68;202,79
Nord Ovest;Lombardia;CR;A986;1;1
Nord Est;Emilia-Romagna;PR;A987;3;11,33
Nord Est;Emilia-Romagna;RE;A988;8,17;65,24
Nord Ovest;Lombardia;PV;A989;13;65,88
Nord Ovest;Piemonte;TO;A990;38;111
Isole;Sicilia;PA;A991;3;2,5
Nord Ovest;Liguria;SP;A992;4;2
Nord Ovest;Liguria;IM;A993;2;1
Nord Ovest;Lombardia;LO;A995;6,34;43,67
Centro;Lazio;RI;A996;0;2
Nord Ovest;Piemonte;AL;A998;5;10,5
Nord Ovest;Liguria;SV;A999;65,88;179,9
Nord Est;Emilia-Romagna;FO;B001;7;40,39
Sud;Calabria;CZ;B002;17,5;1,5
Nord Ovest;Piemonte;TO;B003;2;5,5
Nord Ovest;Liguria;SV;B005;20,16;50,25
Centro;Toscana;LU;B007;14,33;19
Centro;Lazio;RI;B008;6;13
Nord Ovest;Piemonte;VC;B009;10;26
Nord Ovest;Lombardia;BG;B010;1;13,5
Nord Ovest;Lombardia;MN;B012;2;29
Nord Ovest;Lombardia;PV;B014;2;4
Nord Ovest;Piemonte;TO;B015;10,51;22,5
Nord Ovest;Piemonte;NO;B016;3;27,75
Nord Ovest;Lombardia;LO;B017;8;35
Nord Ovest;Piemonte;CN;B018;2;1
Nord Ovest;Piemonte;NO;B019;59,23;213,89
Nord Ovest;Liguria;IM;B020;16;0
Nord Ovest;Piemonte;TO;B021;2;8
Nord Ovest;Piemonte;TO;B024;14;29,5
Nord Est;Emilia-Romagna;PC;B025;17;84,51
Centro;Marche;PS;B026;7;0
Nord Ovest;Lombardia;PV;B028;4;8,5
Nord Ovest;Piemonte;AL;B029;2;8
Nord Ovest;Lombardia;PV;B030;1;1
Nord Est;Veneto;PD;B031;8,3;81,92
Nord Ovest;Piemonte;CN;B033;79,77;163,32
Nord Est;Emilia-Romagna;PR;B034;106,25;309,93
Nord Ovest;Lombardia;BS;B035;3;45,98
Centro;Toscana;FI;B036;39,41;129,86
Nord Ovest;Piemonte;AL;B037;1;9
Nord Ovest;Lombardia;PV;B038;2;1
Nord Ovest;Lombardia;BS;B040;23,5;98,45
Nord Ovest;Piemonte;VC;B041;59,34;110,01
Nord Est;Emilia-Romagna;PR;B042;31,21;44,33
Nord Ovest;Piemonte;NO;B043;11;54,5
Nord Est;Emilia-Romagna;BO;B044;10;50
