Area;Regione;Provincia;2025_CodCom;NTN 2025 fino a 50 mq;NTN 2025 50 -| 85 mq;NTN 2025 85 -| 115 mq;NTN 2025 115 -| 145 mq;NTN 2025 oltre 145 mq;NTN_2025
Sud;Puglia;LE;B086;0;2;5;4;9,49;20,49
Nord Ovest;Lombardia;BG;B088;8;24;20;10,5;8;70,5
Nord Ovest;Lombardia;BS;B091;5;36;38,5;38,8;40,38;158,68
Isole;Sardegna;SS;B094;0;0;0;0;1;1
Sud;Calabria;RC;B097;3;2;5;0,5;1;11,5
Sud;Calabria;RC;B098;3;11;16,29;13,5;6,61;50,4
Sud;Calabria;RC;B099;6,63;13;10;9,5;4;43,13
Nord Ovest;Lombardia;BS;B100;5;5,67;10,22;7;5;32,89
Nord Ovest;Piemonte;CN;B101;7,33;21,95;26,83;17,13;18,98;92,22
Nord Ovest;Lombardia;BS;B102;5;29;24;15;15;88
Sud;Puglia;FG;B104;7,85;9,47;10,67;4;2;33,99
Nord Ovest;Lombardia;MI;B105;24;116,49;84,67;42,33;26,89;294,38
Nord Est;Veneto;PD;B106;1,16;16,5;6,33;7,5;24,83;56,32
Nord Est;Veneto;VR;B107;6,67;35,67;51,19;39,66;77,83;211,02
Nord Ovest;Piemonte;AL;B109;0;0;1;1;4;6
Nord Ovest;Lombardia;MN;B110;0;4;12;3;23,22;42,22
Nord Ovest;Piemonte;CN;B111;22,61;99;157,3;56,87;75,44;411,22
Nord Ovest;Lombardia;BG;B112;0;5,5;3;0;7;15,5
Centro;Lazio;RM;B114;23;83,05;58,32;48,5;33,83;246,7
Sud;Campania;SA;B115;5;8;5;7,33;6;31,33
Nord Ovest;Lombardia;PV;B117;1;12,5;5,44;1;4;23,94
Sud;Calabria;RC;B118;8;10,22;12,89;4;7,89;43
Nord Ovest;Lombardia;BS;B120;1;6;4;3;2;16
Nord Ovest;Piemonte;TO;B121;5;49,92;31;14;13,17;113,09
Nord Ovest;Lombardia;BG;B123;10,08;7;2,5;1;1;21,58
Nord Ovest;Lombardia;BS;B124;1;2;2;0,65;0,1;5,75
Nord Ovest;Lombardia;VA;B126;0;14,67;13;8,5;13;49,17
Nord Est;Veneto;TV;B128;2;23,67;16;12,68;28,5;82,85
Nord Ovest;Lombardia;CR;B129;1;14;22,5;13;26;76,5
Nord Est;Veneto;VI;B132;2;14;15,83;11,5;26,08;69,41
Nord Ovest;Lombardia;CO;B134;4,13;19,33;24;17,25;21,17;85,88
Nord Ovest;Lombardia;BG;B137;5;33,61;35;15,92;15,91;105,44
Nord Ovest;Lombardia;BG;B138;6;22,5;44;24,95;24,12;121,57
Nord Ovest;Lombardia;LO;B141;1;14;6,01;7;4,34;32,35
Nord Ovest;Lombardia;PV;B142;0;3;4;2;7;16
Nord Est;Veneto;VI;B143;2;9;11,75;10;11;43,75
Nord Ovest;Lombardia;CO;B144;1;7;6;1;4;19
Nord Ovest;Lombardia;BS;B149;4;6,83;9;11,25;9,75;40,83
Nord Ovest;Lombardia;VA;B150;0;5;4;1;4;14
Nord Est;Veneto;VR;B152;5;3;4;7;8;27
Nord Est;Veneto;VR;B154;15,14;18,5;14,71;7,61;8;63,96
Nord Est;Emilia-Romagna;RE;B156;0;21;29,33;12,06;24,81;87,2
Nord Ovest;Lombardia;BS;B157;281,51;1029,08;928,59;506,77;453,11;3199,06
Nord Ovest;Lombardia;PV;B159;0;27;23;5;7;62
Nord Est;Veneto;VI;B161;1;5;7;5;11,19;29,19
Nord Ovest;Lombardia;MI;B162;51;193,08;92,51;37,33;14;387,92
Nord Ovest;Lombardia;VA;B166;12;24,5;5;2,5;14,5;58,5
Nord Ovest;Piemonte;CN;B167;0;0;0;1;1;2
Sud;Calabria;VV;B169;14,56;30,56;10;6;5,28;66,4
Nord Ovest;Piemonte;TO;B171;5,5;18,5;15,83;5,39;21,55;66,77
Nord Ovest;Lombardia;CO;B172;0;4;3;2;2;11
Sud;Basilicata;PZ;B173;1;4;6,17;6,5;1,5;19,17
Nord Ovest;Piemonte;CN;B175;1,5;3,5;1,5;1;1;8,5
Nord Ovest;Piemonte;NO;B176;3;16;10;9;12,5;50,5
Nord Ovest;Lombardia;BG;B178;3,5;31,5;35;17;17,5;104,5
Nord Ovest;Piemonte;AL;B179;0;0;0;0;3,83;3,83
Sud;Puglia;BR;B180;41,92;183,21;298,07;249,22;140,09;912,51
Sud;Basilicata;PZ;B181;2;2;0;1;0;5
Nord Ovest;Lombardia;VA;B182;0,5;4,33;3;3;2;12,83
Nord Ovest;Piemonte;NO;B183;0;5,56;6;1;2,56;15,12
Nord Ovest;Lombardia;BS;B184;1;6;3,83;2,5;2;15,33
Nord Ovest;Lombardia;MI;B187;5,9;25,39;33;15,53;18,47;98,29
Nord Est;Emilia-Romagna;RA;B188;2;25;17,83;17,83;26,67;89,33
Nord Ovest;Lombardia;VA;B191;1;2,22;5;5,61;6;19,83
Nord Ovest;Valle d'Aosta;AO;B192;2;5;4;0;0,5;11,5
Sud;Abruzzo;PE;B193;2,33;2;2,5;1,5;0;8,33
Nord Ovest;Lombardia;LC;B194;4;16;14,67;5,78;11,42;51,87
Centro;Lazio;FR;B195;0;0;3;3;6,75;12,75
Nord Est;Veneto;VI;B196;0;11;6;8,67;7,75;33,42
Sud;Calabria;VV;B197;0;0;1;0;1;2
Isole;Sicilia;ME;B198;3;10,65;15,97;9;9;47,62
Nord Ovest;Piemonte;CN;B200;1;1;4;3;0,5;9,5
Nord Ovest;Lombardia;PV;B201;12;37,54;56,5;25,5;29;160,54
Isole;Sicilia;CT;B202;12,04;27,61;22,95;34;32,77;129,37
Nord Ovest;Piemonte;CN;B204;1;6;3,67;3;5,5;19,17
Nord Ovest;Piemonte;TO;B205;2;4;0;2;0;8
Nord Ovest;Piemonte;VB;B207;4;7;5,17;5;2,09;23,26
Nord Ovest;Piemonte;TO;B209;0;2;4;1;5,01;12,01
Nord Ovest;Lombardia;MI;B212;39,5;195,61;165,15;46;42;488,26
Nord Est;Veneto;PD;B213;1;11,91;19;9,83;23,56;65,3
Nord Ovest;Liguria;SP;B214;1;0;3,29;4,89;1,33;10,51
Nord Est;Friuli- Venezia Giulia;PN;B215;3;10;13;18;31,12;75,12
Nord Ovest;Piemonte;TO;B216;3;24;41,4;14,5;30,23;113,13
Nord Ovest;Lombardia;BG;B217;2;0;1,5;1;0;4,5
Nord Ovest;Lombardia;CO;B218;7;8,17;3;8,67;7;33,84
Nord Ovest;Lombardia;VA;B219;1;0;3;4;2,17;10,17
Nord Ovest;Piemonte;AT;B221;0;0;0;1;1,5;2,5
Nord Ovest;Lombardia;BG;B223;4;12;19,4;15;16;66,4
Nord Ovest;Piemonte;TO;B225;2;2;9;5;16;34
Sud;Campania;NA;B227;18;21,16;45,5;25,57;26;136,23
Nord Ovest;Lombardia;VA;B228;1;15,03;7,5;1,5;3;28,03
Nord Ovest;Piemonte;BI;B229;1;7;6;0;10;24
Nord Ovest;Valle d'Aosta;AO;B230;12,8;26;10;1;5;54,8
Nord Ovest;Piemonte;TO;B232;1;2;7;8;11;29
Sud;Calabria;RC;B234;0;2;3;1;2;8
Nord Ovest;Lombardia;MI;B235;1;20;11,5;11,81;7,1;51,41
