AREA;Regione;prov;2013_CodCom;NTN 2013 fino a 50 mq;NTN 2013 50 -| 85 mq;NTN 2013 85 -| 115 mq;NTN 2013 115 -| 145 mq;NTN 2013 oltre 145 mq;NTN 2013
Centro;Marche;AP;F614;1;1;5;3;3,6;13,6
Centro;Lazio;LT;F616;3;3;0;2;1;9
Sud;Campania;SA;F618;1;3;1;0;1;6
Centro;Lazio;RI;F619;0;1;4;1;0;6
Centro;Lazio;FR;F620;3,13;7,8;3,08;3,75;4,66;22,42
Centro;Marche;MC;F621;0;3,17;9,33;5,5;2;20
Centro;Marche;MC;F622;0;0;0;0;0;0
Sud;Puglia;LE;F623;0;1;2;0;2;5
Sud;Campania;SA;F625;0;7;2;0,22;4;13,22
Centro;Marche;AP;F626;0;0;3;3;4,5;10,5
Nord Est;Emilia-Romagna;BO;F627;3,14;16;15,34;8,1;17,66;60,24
Centro;Toscana;AR;F628;5;6,67;3,2;4,21;17,83;36,91
Centro;Umbria;PG;F629;0;1;0;0;2;3
Sud;Puglia;FG;F631;22,57;22,71;33,81;21;7,83;107,92
Centro;Marche;MC;F632;8;34,95;31,1;9,22;12,49;95,76
Centro;Marche;AN;F634;0,5;6;10;13,17;7,17;36,84
Sud;Campania;BN;F636;9;8,63;9;11;16,59;54,22
Sud;Basilicata;MT;F637;6;14,67;12,75;9;4;46,42
Nord Ovest;Lombardia;PV;F638;0;2;0;1;1;4
Nord Ovest;Piemonte;VB;F639;2;2;1;0;1;6
Centro;Toscana;PI;F640;0;12,75;3;3;1;19,75
Nord Est;Emilia-Romagna;RN;F641;1;7;11,17;0;3;22,17
Nord Est;Emilia-Romagna;MO;F642;5;4;10,17;0;7,33;26,5
Nord Ovest;Lombardia;PV;F644;0;0;0;2;2;4
Sud;Abruzzo ;PE;F646;42,33;164,88;100,96;58,42;48,75;415,34
Centro;Toscana;FI;F648;5;24;18,92;12,67;19;79,59
Nord Ovest;Piemonte;TO;F651;0;0;2;3;1;6
Centro;Marche;AP;F653;0;1;8;5,69;2;16,69
Nord Ovest;Piemonte;CN;F654;2;3;2;1,08;5;13,08
Isole;Sicilia;AG;F655;0;2;0,99;1;6,93;10,92
Centro;Toscana;AR;F656;6,83;42,98;30,92;32,34;24,5;137,57
Nord Ovest;Lombardia;LC;F657;0;5;4;6;11;26
Nord Est;Emilia-Romagna;BO;F659;1;6,5;16,5;8;9,95;41,95
Sud;Campania;AV;F660;2;1;2;1;0;6
Centro;Toscana;PI;F661;0;13,75;7,75;1;2,75;25,25
Nord Est;Veneto;VI;F662;0;3,75;2;6,5;8,5;20,75
Centro;Marche;AP;F664;0;0;0;0;0;0
Centro;Marche;AP;F665;0;0;0;0;1,06;1,06
Nord Ovest;Piemonte;CN;F666;0;1;3;0;1;5
Isole;Sardegna;SS;F667;0;0,5;3;2;1,26;6,76
Nord Est;Emilia-Romagna;FO;F668;0;0;0;0;4,11;4,11
Nord Ovest;Piemonte;CN;F669;1;0;1;2;4;8
Nord Ovest;Lombardia;PV;F670;0;0;0;0;1;1
Nord Est;Emilia-Romagna;PC;F671;1;0;6,18;4,5;9,01;20,69
Nord Ovest;Lombardia;BS;F672;1;4;13;10,34;16,5;44,84
Nord Ovest;Lombardia;LC;F674;1;6;3;3;6,06;19,06
Nord Est;Veneto;VI;F675;0;10;11;6;14;41
Centro;Toscana;SI;F676;0,67;1;3,67;1;0;6,34
Centro;Toscana;GR;F677;0;0,89;1,33;2,08;3,33;7,63
Centro;Toscana;MS;F679;7;26,83;20,28;10,67;14,25;79,03
Nord Ovest;Lombardia;BS;F680;2;8;8,22;5;11,67;34,89
Nord Ovest;Lombardia;CR;F681;0;10;5;4,78;8,2;27,98
Nord Ovest;Liguria;GE;F682;3;3;4,5;4,5;3;18
Centro;Umbria;PG;F685;0;1;3;1,5;1;6,5
Centro;Toscana;PI;F686;3;16,92;11,55;6,58;13;51,05
Centro;Lazio;RI;F687;0;7,17;6;4;5;22,17
Nord Ovest;Lombardia;CO;F688;0;1,83;3,5;2,5;3,4;11,23
Sud;Molise;CB;F689;0;0;0;1;0;1
Sud;Abruzzo ;TE;F690;2;5,63;9;10;8;34,63
Centro;Lazio;RM;F692;1;1;0;1;1;4
Sud;Campania;AV;F693;0;14;10,86;11,79;13,17;49,82
Sud;Campania;AV;F694;2;3;7,75;6;7,5;26,25
Nord Est;Veneto;VI;F696;1;4;2;0;7,52;14,52
Centro;Marche;AP;F697;0;1;1;1;3;6
Isole;Sardegna;NU;F698;0;0;0;1;0;1
Nord Ovest;Lombardia;PV;F701;1;0;5;7;10,5;23,5
Nord Ovest;Lombardia;VA;F703;1;4;2;2;7;16
Nord Ovest;Lombardia;MI;F704;98,4;374,84;283,85;131,26;116,85;1005,2
Nord Ovest;Lombardia;MN;F705;2;5,5;5,5;4,5;4;21,5
Nord Est;Emilia-Romagna;BO;F706;2,5;13,28;10,11;3;10;38,89
Nord Ovest;Piemonte;AL;F707;0;0;2;3;2,33;7,33
Sud;Calabria;CS;F708;5,5;5;6;4,8;1;22,3
Nord Ovest;Piemonte;AT;F709;0;0;0;0;1,33;1,33
Nord Ovest;Lombardia;VA;F711;0;15;8;2;2,66;27,66
Nord Ovest;Lombardia;SO;F712;7,55;35,83;29,67;15,11;10,1;98,26
Nord Ovest;Piemonte;AL;F713;1;5;2;2;1;11
Nord Est;Emilia-Romagna;RN;F715;0;17,67;13,5;11;3,78;45,95
Sud;Puglia;LE;F716;6,33;9,33;2;1;4,67;23,33
Sud;Campania;BN;F717;1,05;3,5;5,02;5,8;2,34;17,71
Nord Est;Emilia-Romagna;BO;F718;0;2,5;8;8;9,38;27,88
Nord Ovest;Lombardia;BG;F720;1;4,8;5;3,3;1;15,1
Isole;Sardegna;SS;F721;2,94;2;2;5,5;0;12,44
Centro;Marche;AP;F722;0;0;0;1;2;3
Nord Ovest;Piemonte;CN;F723;1;7;10;1;12;31
Nord Est;Emilia-Romagna;PC;F724;2;0;3;3;5,11;13,11
Nord Est;Veneto;TV;F725;0;6;11;6,25;3,17;26,42
Nord Ovest;Valle d'Aosta;AO;F726;8,75;28,5;5;1;0;43,25
Isole;Sardegna;OR;F727;0;0;1;0;2,22;3,22
Nord Est;Veneto;TV;F729;0;0;3;1;2,5;6,5
Centro;Lazio;RM;F730;1;3,61;1,67;0;0;6,28
Sud;Campania;SA;F731;0;0;0;0;0;0
Sud;Abruzzo ;AQ;F732;1;1;2;1;1;6
Nord Ovest;Piemonte;TO;F733;0;0;2;1;2;5
Centro;Lazio;RM;F734;2;21,67;5;10;11;49,67
Sud;Calabria;CS;F735;2;1,22;2,5;3,17;3;11,89
Nord Ovest;Lombardia;VA;F736;1;17,1;17;10;3,5;48,6
Nord Ovest;Piemonte;AL;F737;0;1,5;2;1,25;0,5;5,25
Nord Ovest;Lombardia;BG;F738;2;5;6;2;0;15
Nord Ovest;Lombardia;PV;F739;0;0;0;1;0;1
Centro;Lazio;FR;F740;4;3;3,75;2,33;7,28;20,36
Nord Ovest;Piemonte;CN;F743;1;0;1;7;5,82;14,82
Sud;Campania;AV;F744;1;0;0;0;0;1
Centro;Marche;AN;F745;0;1;2;0;1,17;4,17
Centro;Lazio;RI;F746;0;0;0;1;0;1
Sud;Abruzzo ;TE;F747;0;2;3;0;1,4;6,4
Sud;Molise;CB;F748;1;3,5;0;0;0;4,5
Centro;Marche;MC;F749;1;7,28;3;6,35;10;27,63
Nord Est;Friuli- Venezia Giulia;PN;F750;1;1;3,58;0;8;13,58
Nord Ovest;Piemonte;AL;F751;0;0;1;1;3;5
Nord Ovest;Lombardia;PV;F754;1;40;30,33;17,67;12;101
Nord Est;Friuli- Venezia Giulia;UD;F756;3,83;8;6;2;8,46;28,29
Nord Ovest;Lombardia;LC;F758;0;1;0;0;0;1
Nord Est;Friuli- Venezia Giulia;UD;F760;0;0;3;3;6;12
Nord Ovest;Lombardia;CR;F761;0;0;0;0;1;1
Sud;Campania;AV;F762;2;2;0;2;3,27;9,27
Sud;Abruzzo ;TE;F764;1;5;10,5;5;8,33;29,83
Sud;Abruzzo ;PE;F765;1;1;1,3;2;2;7,3
Nord Est;Veneto;VI;F768;0;0;2;1;4;7
Nord Est;Veneto;TV;F770;3;12;10,67;11;8,2;44,87
Nord Ovest;Lombardia;CR;F771;0;0;0;2;2;4
Isole;Sicilia;ME;F772;1;1;1;0;0;3
Isole;Sicilia;ME;F773;0;0;1;0;0;1
Nord Ovest;Piemonte;VC;F774;0;0;0,5;1;1,33;2,83
Sud;Calabria;CS;F775;0;0;0;1;1,89;2,89
Nord Ovest;Piemonte;BI;F776;1;1;6;2;9;19
Sud;Puglia;FG;F777;5;3;0,33;1;0;9,33
Sud;Calabria;RC;F779;2;9;1;1;2,83;15,83
Sud;Calabria;CZ;F780;0;2;0;2,89;1;5,89
Isole;Sicilia;CT;F781;11,75;17,33;42,83;11;5;87,91
Nord Ovest;Lombardia;MI;F783;10,5;18,97;26;7;5,33;67,8
Sud;Puglia;TA;F784;20;16,31;16,83;12;4,5;69,64
Sud;Abruzzo ;CH;F785;0;3;5;5;0,06;13,06
Nord Ovest;Lombardia;BG;F786;3;7;10,5;4,5;6,13;31,13
Nord Ovest;Lombardia;CO;F788;1;8;28,11;3,78;6,33;47,22
Nord Est;Veneto;VR;F789;2;17,25;15,5;12;13;59,75
Nord Ovest;Lombardia;BG;F791;1;6,5;14;4;8,51;34,01
Centro;Marche;MC;F793;0;0;1,5;0;1,5;3
Nord Ovest;Lombardia;MI;F797;7,01;82,36;56,05;16,89;14,92;177,23
Sud;Campania;AV;F798;1,56;3,12;6;6,17;2;18,85
Sud;Campania;NA;F799;13;28,63;46,57;30,59;11,95;130,74
Nord Ovest;Lombardia;LO;F801;1,5;15,67;18;5,5;9,5;50,17
Centro;Toscana;MS;F802;6;5;2;3,38;2,67;19,05
Nord Ovest;Lombardia;MN;F804;1;2;1;2;4,5;10,5
Nord Ovest;Lombardia;BS;F806;0;0;0;1;0,75;1,75
Isole;Sardegna;CA;F808;16,96;24,38;17,75;4,94;3,21;67,24
Nord Ovest;Piemonte;CN;F809;0;2;0;1;0;3
Nord Est;Veneto;VI;F810;0;1;2;1;1;5
Nord Ovest;Piemonte;CN;F811;0;2;0;1;4;7
Nord Ovest;Liguria;SV;F813;0;0;1,5;0;0;1,5
Nord Ovest;Piemonte;AL;F814;0;4;1;2,25;6,54;13,79
Centro;Toscana;SI;F815;0;10;6,5;2;1;19,5
Sud;Puglia;LE;F816;7,56;3;3;2,67;6,63;22,86
Sud;Basilicata;PZ;F817;3,5;10,08;6,16;3,17;3,94;26,85
Isole;Sardegna;SS;F818;0;0;1;0;0;1
Nord Ovest;Lombardia;BS;F820;1;10;8;5;1,67;25,67
Isole;Sardegna;CA;F822;0;1;0;1;1,5;3,5
Nord Est;Veneto;VE;F826;0;24,33;22,86;9,95;7;64,14
Nord Ovest;Lombardia;CO;F828;1;4;5;1;3;14
Nord Est;Veneto;VI;F829;1;3;4,15;1;8,17;17,32
Isole;Sicilia;CL;F830;20,5;21,94;14,17;7,16;8,33;72,1
Sud;Abruzzo ;TE;F831;7,33;38,82;21;12,6;7;86,75
Nord Est;Friuli- Venezia Giulia;UD;F832;1;0;0;0;7;8
Nord Ovest;Piemonte;BI;F833;0;0;1;0;0;1
Nord Est;Veneto;VI;F838;1;3;3;0;6;13
Sud;Campania;NA;F839;844,78;1653,12;1690,82;824,67;508,62;5522,01
Isole;Sardegna;OR;F840;0;0,33;3;2;3;8,33
Isole;Sardegna;CA;F841;1;1;1;0,67;3;6,67
Sud;Puglia;LE;F842;46,89;88,27;57,69;48,87;33,24;274,96
Sud;Calabria;VV;F843;0;1;4;8;0;13
Centro;Umbria;TR;F844;11,86;26,61;26,75;11,4;23,26;99,88
Isole;Sicilia;AG;F845;9;18,67;11;8;14,5;61,17
Nord Ovest;Piemonte;CN;F846;1;3;5;2;8;19
Nord Ovest;Liguria;SV;F847;0;2;0,5;1;2;5,5
Isole;Sicilia;ME;F848;2;4,33;4;3;4;17,33
Nord Ovest;Lombardia;BS;F851;0,5;7,5;7;10,17;9,94;35,11
Sud;Abruzzo ;AQ;F852;0;1;0;1;0;2
Centro;Lazio;RM;F857;0;4;2;1;0;7
Nord Ovest;Liguria;GE;F858;3;3,28;5,7;3,28;4;19,26
Nord Ovest;Piemonte;NO;F859;3;2;0,5;5,87;4,34;15,71
Nord Est;Veneto;VR;F861;5;19,25;31,83;20,17;32,64;108,89
Nord Ovest;Liguria;GE;F862;1;3,17;2;3;2,25;11,42
Nord Ovest;Piemonte;CN;F863;1;2;4;5;6,33;18,33
Nord Ovest;Lombardia;BG;F864;5;32,59;25,89;8;8,5;79,98
Centro;Lazio;RM;F865;4;6;2,5;2,5;1;16
Sud;Basilicata;PZ;F866;0;0;3;0;0;3
Isole;Sardegna;OR;F867;0;0;0;0,5;2;2,5
Centro;Lazio;VT;F868;1;20;16,5;9;14,23;60,73
Sud;Abruzzo ;TE;F870;0,44;7;9;3,19;4,17;23,8
Centro;Lazio;RM;F871;1;8,5;12,5;0;3,5;25,5
Nord Est;Veneto;TV;F872;0;5,03;3,5;7,11;7,17;22,81
Nord Ovest;Lombardia;MI;F874;5;36,45;51,67;16;18;127,12
Centro;Lazio;RI;F876;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;F877;2;6;2;4,22;8;22,22
Nord Ovest;Piemonte;BI;F878;2;0;1;0,25;3,75;7
Centro;Lazio;RM;F880;36,51;122,43;72,88;43,98;22,28;298,08
Sud;Puglia;LE;F881;3,44;7,93;1,75;3;2;18,12
Nord Est;Emilia-Romagna;PR;F882;3;5,88;7;5;7;27,88
Nord Ovest;Piemonte;CN;F883;2;1;0;0;2;5
Nord Ovest;Lombardia;BS;F884;2,83;4,67;4;0,25;1,5;13,25
Nord Est;Emilia-Romagna;PC;F885;1;1;2;2;5;11
Nord Ovest;Piemonte;NO;F886;0;0;0;0;1;1
Nord Ovest;Lombardia;LC;F887;1;5;7,67;3;2;18,67
Nord Ovest;Piemonte;TO;F889;7;169,13;102,88;42,5;18,67;340,18
Isole;Sicilia;CT;F890;4;7,5;6,5;6,5;16,5;41
Nord Ovest;Lombardia;PV;F891;0;0;0,17;1;1;2,17
Isole;Sicilia;EN;F892;5,33;21,58;17,25;18,16;11,86;74,18
Sud;Calabria;VV;F893;3;6;7;2,5;1,71;20,21
Nord Ovest;Piemonte;CN;F894;0;0;1;1;2;4
Nord Ovest;Piemonte;CN;F895;1;1;0;4;3;9
Nord Est;Friuli- Venezia Giulia;UD;F898;1;1;3;1;4,5;10,5
Isole;Sicilia;CL;F899;22,68;15,85;30,99;18,67;11,84;100,03
Isole;Sicilia;EN;F900;2;3,45;4;0;2;11,45
Isole;Sicilia;ME;F901;0;9,33;5,17;6;1;21,5
Nord Ovest;Piemonte;AT;F902;4;25,5;23,17;9,84;14,33;76,84
Nord Est;Veneto;VE;F904;5;35,22;33;19,8;14,22;107,24
Nord Ovest;Piemonte;TO;F906;4;2,5;0;0;0;6,5
Sud;Calabria;CS;F907;1;0;0;0;0;1
Sud;Abruzzo ;PE;F908;0;2;0;0;3;5
Sud;Calabria;CZ;F910;20,66;14,5;9,83;2,78;1;48,77
Centro;Umbria;PG;F911;1;2,5;3,33;4,75;9,75;21,33
Sud;Campania;SA;F912;42,35;37,56;50,06;78;39,35;247,32
Sud;Campania;SA;F913;4,25;20,25;24,53;35,59;21,17;105,79
Nord Est;Emilia-Romagna;PR;F914;2;22,16;50,17;14,47;19,51;108,31
Sud;Puglia;BA;F915;25,5;17,73;23,19;18,58;10,22;95,22
Sud;Puglia;LE;F916;0;2;1;0;1;4
Sud;Basilicata;PZ;F917;4;0;0;0;0;4
Nord Est;Veneto;VR;F918;3;5;9;12;11;40
Nord Est;Veneto;VR;F921;0;1;1,5;5,5;2;10
Nord Est;Veneto;VI;F922;0;0;1;0;1;2
Sud;Puglia;BA;F923;12;46,5;72,27;27,5;50,5;208,77
Sud;Campania;NA;F924;4;13,5;27;27,35;40,05;111,9
Nord Ovest;Piemonte;TO;F925;1,78;4,17;9,88;4;7,5;27,33
Nord Ovest;Liguria;SV;F926;6;13,75;5,47;0;1;26,22
Nord Ovest;Piemonte;TO;F927;0;1;0;0;0,67;1,67
Nord Est;Emilia-Romagna;MO;F930;2;24,5;20,25;14,27;13,5;74,52
Nord Ovest;Piemonte;TO;F931;2;8;14,2;12;12;48,2
Nord Ovest;Piemonte;VB;F932;4;1;1;3;2,31;11,31
Isole;Sardegna;NU;F933;0;0;0;0;0;0
Isole;Sardegna;OR;F934;0;0;0;0;3;3
Centro;Umbria;PG;F935;0,65;4,8;4,5;5,5;10,63;26,08
Centro;Lazio;LT;F937;6;9,67;3;0;2;20,67
Nord Ovest;Lombardia;MI;F939;0;0;0;2;0;2
Nord Ovest;Lombardia;BG;F941;0;3,33;5,08;1;0,3;9,71
Sud;Abruzzo ;TE;F942;1;3;6;6,5;4,88;21,38
Isole;Sicilia;SR;F943;24;54,67;29,8;24,17;32,67;165,31
Nord Ovest;Lombardia;MI;F944;10;68,15;77,5;14,5;12;182,15
Nord Ovest;Piemonte;TO;F948;0;3;1;1;1;6
Isole;Sicilia;ME;F951;0,5;2,25;4,5;3;2,25;12,5
Nord Ovest;Piemonte;NO;F952;36;224,33;222,39;117,53;84,14;684,39
Nord Ovest;Lombardia;MI;F955;12;39,63;21;7;7;86,63
Nord Ovest;Lombardia;SO;F956;3,66;3,5;2,25;3;0;12,41
Nord Est;Veneto;VI;F957;0;7,5;0;1;2;10,5
Nord Ovest;Lombardia;CO;F958;1;2;7;2;1;13
Nord Est;Emilia-Romagna;RE;F960;0;15,06;25,61;11,89;19,88;72,44
Nord Ovest;Piemonte;CN;F961;1;0;2;4;4;11
Nord Est;Veneto;PD;F962;4;29,55;29,5;12,5;16,5;92,05
Nord Est;Veneto;VE;F963;1;9;16,33;10,84;5,5;42,67
Nord Est;Veneto;VI;F964;1;10;15,5;12,5;17,25;56,25
Nord Ovest;Piemonte;AL;F965;9,13;59;87,67;32,75;19;207,55
Nord Est;Emilia-Romagna;MO;F966;0;9;8,5;18,14;14,5;50,14
Sud;Campania;SA;F967;1;3;2;3;2,75;11,75
Nord Ovest;Lombardia;MI;F968;0;12,5;8,5;5;3,33;29,33
Sud;Puglia;LE;F970;2,75;4,75;12,05;4,75;8,5;32,8
Nord Ovest;Piemonte;CN;F972;0;0;1,5;2;3;6,5
Isole;Sardegna;OR;F974;0;0;0;0;0;0
Isole;Sardegna;SS;F975;0;1,58;0,75;0;1;3,33
Isole;Sardegna;SS;F976;0;0;2,75;0;7;9,75
Isole;Sardegna;SS;F977;3;2;5;2,9;1,9;14,8
Centro;Marche;AN;F978;17,5;47,67;10;8;4,33;87,5
Isole;Sardegna;NU;F979;13,39;37,24;48,56;37,77;31,59;168,55
Isole;Sardegna;OR;F980;0;0;2;1;4;7
Isole;Sardegna;NU;F981;0;0;1;0;3,29;4,29
Isole;Sardegna;NU;F982;0;0,9;0;0,33;0,9;2,13
Isole;Sardegna;CA;F983;0;0;0,83;1;5,21;7,04
Isole;Sardegna;OR;F985;0;0;0;0;0;0
Isole;Sardegna;NU;F986;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;F987;7;9;3;3;1;23
Sud;Campania;AV;F988;2;6,79;1,1;2;1;12,89
Nord Ovest;Lombardia;BS;F989;0;4,5;3;2;2;11,5
Nord Ovest;Lombardia;BS;F990;2;16,09;8,1;2,84;14,5;43,53
Isole;Sardegna;CA;F991;0;1;0;2;0;3
Nord Ovest;Piemonte;BI;F992;1;9,67;6,17;7;8,17;32,01
Nord Ovest;Piemonte;BI;F993;0;5;2,75;1;6;14,75
Nord Est;Veneto;RO;F994;4;31,5;39,75;32,42;14,58;122,25
Nord Ovest;Piemonte;AL;F995;0;0;1,5;0;5,25;6,75
Sud;Abruzzo ;AQ;F996;0;0,6;3;1;0;4,6
Nord Ovest;Piemonte;AL;F997;0;0;0;0;3;3
Nord Ovest;Piemonte;AL;F998;0;0;0;0;0;0
Nord Est;Veneto;TV;F999;6;24,27;30,12;20,6;30,79;111,78
Nord Ovest;Lombardia;BS;G001;0;0;0;3;0;3
Sud;Abruzzo ;AQ;G002;1;1,17;0;0;0;2,17
Centro;Marche;AN;G003;1;3;1;5,19;0;10,19
Nord Ovest;Lombardia;CR;G004;0;9,75;9;11,33;4,5;34,58
Centro;Marche;AP;G005;0;2;6;6;7,5;21,5
Nord Ovest;Lombardia;BS;G006;1;6,5;2;4;7,5;21
Nord Ovest;Piemonte;VB;G007;4,83;6,5;6;1,5;9,5;28,33
Nord Ovest;Lombardia;VA;G008;2,6;4,8;7;3;6;23,4
Nord Ovest;Lombardia;LC;G009;7,96;12,66;20;13,5;9,25;63,37
Nord Ovest;Piemonte;TO;G010;0;2;4;9;5,17;20,17
Sud;Campania;SA;G011;0;1,5;1;5,17;5;12,67
Nord Ovest;Valle d'Aosta;AO;G012;0;0;0;0;0;0
Isole;Sardegna;SS;G015;88,62;219,97;85,31;48,33;42,14;484,37
Nord Ovest;Piemonte;VC;G016;0;1;4;2;0;7
Nord Ovest;Piemonte;VC;G018;1;0;0;2;1;4
Nord Ovest;Piemonte;NO;G019;1;15,5;30,58;19,33;13,83;80,24
Nord Ovest;Piemonte;NO;G020;2;7,83;7;1;4,67;22,5
Nord Ovest;Lombardia;PV;G021;0;1;0;1;2;4
Centro;Lazio;RM;G022;6;22,5;14;4;6;52,5
Sud;Campania;SA;G023;3;3;4,72;5;4;19,72
Nord Ovest;Lombardia;CO;G025;4,06;31,42;24,98;11,34;14,5;86,3
Nord Ovest;Lombardia;LC;G026;0,83;9,75;8,5;13,75;10,5;43,33
Nord Ovest;Lombardia;VA;G028;4;20,28;26;5,83;19,22;75,33
Nord Ovest;Lombardia;LC;G030;2;6,61;13,5;6,5;2,5;31,11
Isole;Sardegna;NU;G031;0;0;2;1;1;4
Nord Ovest;Lombardia;PV;G032;0;1;0;0;2;3
Sud;Calabria;CZ;G034;0,5;3;0,33;0;0;3,83
Isole;Sicilia;ME;G036;4,85;13,01;1,17;3,5;1;23,53
Sud;Basilicata;MT;G037;0;1;0;0;0;1
Sud;Campania;SA;G039;1;2,75;2,72;3,67;5;15,14
Nord Ovest;Lombardia;LC;G040;3;9;1;0;2;15
Nord Ovest;Liguria;IM;G041;3;2;3;1;1;10
Nord Ovest;Piemonte;AL;G042;0;1;0;0;1,5;2,5
Isole;Sardegna;OR;G043;0;0;1;0;1,08;2,08
Isole;Sardegna;NU;G044;0;1;2;0;1;4
Nord Ovest;Valle d'Aosta;AO;G045;0;1;3,17;0;0;4,17
Isole;Sardegna;SS;G046;1;26,8;10;0;0;37,8
Nord Ovest;Lombardia;CR;G047;0;0;1;2,67;3,67;7,34
Nord Ovest;Piemonte;AT;G048;0;0;1;0;0;1
Nord Ovest;Lombardia;BG;G049;2;1;1;0;0;4
Nord Ovest;Lombardia;BG;G050;6,49;14,64;2,77;2;0,33;26,23
Nord Ovest;Lombardia;BG;G054;1;0;2,38;0;0;3,38
Nord Ovest;Lombardia;CO;G056;3;5;6,5;2;2;18,5
Isole;Sardegna;NU;G058;0;0;1;0;0;1
Nord Ovest;Lombardia;BS;G061;2;2;3,88;0,5;5,5;13,88
Nord Ovest;Piemonte;VB;G062;7;37,2;22,91;11,83;12,83;91,77
Sud;Campania;SA;G063;2;0;8;0;0;10
Isole;Sardegna;NU;G064;0;0;0,25;0;0;0,25
Centro;Lazio;VT;G065;4,33;0,8;0,67;0;0;5,8
Nord Ovest;Piemonte;CN;G066;0;0;0;0;2;2
Nord Ovest;Lombardia;BG;G068;4;3;0,83;0,5;0,75;9,08
Isole;Sardegna;NU;G070;0;0;0;0;0,06;0,06
Isole;Sardegna;NU;G071;2;3;0,67;0;0;5,67
Nord Ovest;Lombardia;BS;G074;0,13;2;0;0;1,67;3,8
Nord Ovest;Lombardia;BG;G075;10;20,5;5;0;0;35,5
Nord Ovest;Liguria;SV;G076;0;0;0;0;0,5;0,5
Nord Ovest;Lombardia;MI;G078;14;45,78;37,67;16,17;15;128,62
Sud;Abruzzo ;AQ;G079;2;3;0;2;1;8
Nord Est;Veneto;VR;G080;0;15,5;12,5;8,49;15,08;51,57
Sud;Basilicata;PZ;G081;2;5,3;1,5;2;3;13,8
Sud;Calabria;RC;G082;1;2;3;1;4;11
Isole;Sardegna;NU;G084;2;0;3,27;0;4,8;10,07
Sud;Molise;CB;G086;0;1;0;0;1,66;2,66
Nord Ovest;Piemonte;TO;G087;5,75;76,75;75;34,03;6;197,53
Centro;Toscana;GR;G088;20,46;51,9;43,49;19,5;6,5;141,85
Centro;Marche;PS;G089;0;1;5;3;4;13
Centro;Toscana;PI;G090;0;0;2;1;1;4
Nord Ovest;Liguria;GE;G093;0;1;0;1;0,8;2,8
Nord Est;Veneto;VI;G095;0;0;1;1;5;7
Nord Ovest;Lombardia;LO;G096;0;1;2;0,7;2,5;6,2
Isole;Sardegna;NU;G097;0;2,89;0;0;3,33;6,22
Sud;Puglia;BR;G098;9;18;18;17,67;3;65,67
Sud;Abruzzo ;AQ;G102;1;7,68;1;1;0,25;10,93
Nord Ovest;Lombardia;VA;G103;8,33;41,67;20,59;7,5;5,95;84,04
Nord Ovest;Lombardia;VA;G105;0;3;1;2,67;1,4;8,07
Nord Ovest;Lombardia;LO;G107;0;1;1;2;1,69;5,69
Nord Ovest;Lombardia;BG;G108;1;2;6;1;2;12
Nord Ovest;Piemonte;TO;G109;0;0;0;2;1;3
Sud;Calabria;CS;G110;1;4;3;1,25;0,25;9,5
Centro;Lazio;VT;G111;1,67;5;5;3;6,66;21,33
Isole;Sardegna;OR;G113;5,03;70,33;65;48,35;24,09;212,8
Nord Ovest;Piemonte;CN;G114;5;8;9,5;1;4;27,5
Nord Est;Veneto;TV;G115;0;3;3,61;4,5;9,67;20,78
Nord Ovest;Lombardia;MI;G116;3,5;22,61;13;4,11;2,25;45,47
Nord Ovest;Piemonte;VB;G117;2;6;11,17;4,82;5,51;29,5
Nord Ovest;Lombardia;BG;G118;0;1;0;0;0;1
Isole;Sardegna;NU;G119;5;18,5;3;3,97;3;33,47
Isole;Sardegna;NU;G120;0;1;0;0;2,83;3,83
Sud;Campania;SA;G121;1;2;0,78;0,78;1,5;6,06
Isole;Sardegna;NU;G122;0;0;0;0;3,92;3,92
Nord Est;Veneto;TV;G123;0;4;5;1;3;13
Nord Ovest;Piemonte;AL;G124;0;1;4;1,33;2;8,33
Sud;Puglia;FG;G125;2;4;0;1;0;7
Nord Ovest;Lombardia;CO;G126;0;8;2;2,33;1;13,33
Sud;Abruzzo ;CH;G128;0;4,25;7,17;2;5;18,42
Sud;Calabria;CS;G129;0;0;3;0;0;3
Sud;Campania;CE;G130;14;14,8;41;24;5;98,8
Sud;Puglia;FG;G131;5,67;11,54;35;28,11;4;84,32
Isole;Sardegna;CA;G133;0,78;0;1;0;1;2,78
Nord Ovest;Piemonte;NO;G134;0;1,22;2;1;2,26;6,48
Centro;Lazio;VT;G135;4,95;17,41;10,22;18,17;2,5;53,25
Sud;Puglia;LE;G136;0,5;3,5;0;1,67;3;8,67
Centro;Marche;AP;G137;0;0;0;0;0;0
Centro;Toscana;AR;G139;0;1;2;0,5;3;6,5
Sud;Abruzzo ;CH;G141;14,75;52,19;32,83;25,66;19,5;144,93
Sud;Abruzzo ;AQ;G142;2;1;1;1;2,5;7,5
Nord Ovest;Liguria;SP;G143;2;18,67;6,5;7,5;8,75;43,42
Nord Ovest;Liguria;SV;G144;1;3;2;0;1;7
Sud;Abruzzo ;AQ;G145;0;1;1,89;0;1,17;4,06
Isole;Sardegna;NU;G146;0;0;0,75;2;2,27;5,02
Isole;Sardegna;NU;G147;0;1;2;0;3,16;6,16
