AREA;Regione;prov;2013_CodCom;NTN 2013 fino a 50 mq;NTN 2013 50 -| 85 mq;NTN 2013 85 -| 115 mq;NTN 2013 115 -| 145 mq;NTN 2013 oltre 145 mq;NTN 2013
Nord Ovest;Piemonte;CN;B175;0;2,67;0;0;0;2,67
Nord Ovest;Piemonte;NO;B176;1;2;6;3;2,48;14,48
Nord Ovest;Lombardia;BG;B178;4;10;14,67;10,5;4,05;43,22
Nord Ovest;Piemonte;AL;B179;0;0;1,75;2;4;7,75
Sud;Puglia;BR;B180;36,71;127,06;209,53;118,41;79,62;571,33
Sud;Basilicata;PZ;B181;0;2;1;0;0;3
Nord Ovest;Lombardia;VA;B182;1;0;0;0;2,5;3,5
Nord Ovest;Piemonte;NO;B183;0;1;0;1;1,3;3,3
Nord Ovest;Lombardia;BS;B184;0;5,5;2;1;2,5;11
Nord Ovest;Lombardia;MI;B187;2;15,5;20,5;11,83;11,5;61,33
Nord Est;Emilia-Romagna;RA;B188;0;12,02;6,54;4;10,5;33,06
Nord Ovest;Lombardia;VA;B191;0;1;1;0;5;7
Nord Ovest;Valle d'Aosta;AO;B192;0;2,5;1;0;1;4,5
Sud;Abruzzo ;PE;B193;0;1;1;0;0;2
Nord Ovest;Lombardia;LC;B194;1;4;5,5;4;2,25;16,75
Centro;Lazio;FR;B195;0;0;1;0;3;4
Nord Est;Veneto;VI;B196;1;6,5;6;6;6,06;25,56
Sud;Calabria;VV;B197;0;0;0;0;0;0
Isole;Sicilia;ME;B198;6,83;10;8;10,83;7;42,66
Nord Ovest;Piemonte;CN;B200;2;3,93;1;0;0;6,93
Nord Ovest;Lombardia;PV;B201;0;16,5;22,7;7;8,5;54,7
Isole;Sicilia;CT;B202;12,7;17,25;16,33;13;13;72,28
Nord Ovest;Piemonte;CN;B204;2;4,5;3,33;1;4;14,83
Nord Ovest;Piemonte;TO;B205;0;1;1;0;0;2
Nord Ovest;Piemonte;VB;B207;0;4;2,33;0;1,33;7,66
Nord Ovest;Piemonte;TO;B209;0;1;3;0;1;5
Nord Ovest;Lombardia;MI;B212;28,5;120,01;94,64;23,67;12,08;278,9
Nord Est;Veneto;PD;B213;0;15,5;12,25;4,5;6,5;38,75
Nord Ovest;Liguria;SP;B214;0;2;1;1;1;5
Nord Est;Friuli- Venezia Giulia;PN;B215;0;10;12,42;16;15,74;54,16
Nord Ovest;Piemonte;TO;B216;1;11;20;16,5;17,5;66
Nord Ovest;Lombardia;BG;B217;0;1;0;0;0;1
Nord Ovest;Lombardia;CO;B218;0;5;0;2;3,18;10,18
Nord Ovest;Lombardia;VA;B219;0;1,5;0;1;0;2,5
Nord Ovest;Piemonte;AT;B221;0;0;0;0;4;4
Nord Ovest;Lombardia;BG;B223;1;11,5;16;8;9,5;46
Nord Ovest;Piemonte;TO;B225;1;2;1,5;5,17;3;12,67
Sud;Campania;NA;B227;7;14,67;12,1;8,78;12;54,55
Nord Ovest;Lombardia;VA;B228;1;6,53;1,5;2;0,7;11,73
Nord Ovest;Piemonte;BI;B229;0;0;1,83;1;4;6,83
Nord Ovest;Valle d'Aosta;AO;B230;12,33;10;9;1;1;33,33
Nord Ovest;Piemonte;TO;B232;0;4;2;3;0;9
Sud;Calabria;RC;B234;2,8;2,8;1;1;0;7,6
Nord Ovest;Lombardia;MI;B235;1;15;5,18;2;5;28,18
Nord Ovest;Piemonte;AT;B236;0;0;1;0;3;4
Isole;Sicilia;SR;B237;1;3,17;2;2;1,5;9,67
Sud;Abruzzo ;CH;B238;1;4,6;2;3,17;4;14,77
Sud;Campania;BN;B239;1,5;2;3;0;3;9,5
