Area;Regione;prov;COD_COM;NTN_2017_Uffici;NTN_2017_Negozi_Lab;NTN_2017_Depositi_Comm_Autorimesse;NTN_2017_TCO_B04;NTN_2017_TCO_D02;NTN_2017_TCO_D05;NTN_2017_TCO_D08;NTN_2017_PRO;NTN_2017_AGR
"Sud";"Campania";"BN";"A110";0,000000;4,250000;10,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Liguria";"IM";"A111";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"LC";"A112";0,000000;1,000000;2,000000;0,000000;0,000000;0,000000;0,000000;1,000000;0,000000
"Nord Ovest";"Piemonte";"CN";"A113";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Isole";"Sardegna";"SS";"A115";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,000000
"Nord Ovest";"Piemonte";"TO";"A117";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"PV";"A118";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Piemonte";"VC";"A119";0,000000;0,170000;0,170000;0,000000;5,000000;0,000000;0,000000;0,260000;0,000000
"Sud";"Abruzzo ";"PE";"A120";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;4,000000;0,000000
"Nord Est";"Veneto";"BL";"A121";0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;5,000000;0,000000
"Nord Ovest";"Liguria";"SV";"A122";5,000000;8,000000;9,170000;0,000000;8,000000;0,000000;0,000000;0,000000;0,000000
"Centro";"Lazio";"FR";"A123";1,000000;5,000000;9,800000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Piemonte";"CN";"A124";9,000000;12,000000;27,980000;0,000000;0,000000;1,000000;1,000000;8,000000;3,000000
"Sud";"Abruzzo ";"TE";"A125";3,000000;10,000000;18,610000;0,000000;0,000000;0,000000;1,000000;2,000000;0,000000
"Isole";"Sardegna";"OR";"A126";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"MI";"A127";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;1,000000;1,000000;0,000000
