Area;Regione;prov;2017_CodCom;NTN_2017_Box;NTN_2017_Depositi_Pert
"Sud";"Campania";"SA";"I089";0,000000;2,000000
"Nord Ovest";"Piemonte";"TO";"I090";9,000000;3,500000
"Nord Est";"Friuli- Venezia Giulia";"UD";"I092";3,000000;0,000000
"Sud";"Calabria";"CZ";"I093";1,000000;3,500000
"Sud";"Calabria";"CZ";"I095";0,000000;2,340000
"Sud";"Molise";"IS";"I096";1,000000;1,500000
"Isole";"Sicilia";"CT";"I098";57,500000;4,000000
"Sud";"Calabria";"RC";"I102";0,000000;0,000000
"Nord Est";"Veneto";"TV";"I103";21,500000;3,500000
"Nord Est";"Veneto";"VR";"I105";12,500000;0,000000
"Nord Est";"Veneto";"PD";"I107";12,500000;2,000000
"Sud";"Calabria";"CS";"I108";0,000000;2,000000
"Nord Est";"Veneto";"VR";"I109";96,790000;14,910000
"Nord Est";"Emilia-Romagna";"BO";"I110";143,670000;5,000000
"Sud";"Campania";"CE";"I113";0,000000;0,000000
"Sud";"Calabria";"CS";"I114";1,500000;2,000000
"Sud";"Puglia";"LE";"I115";2,000000;1,110000
"Nord Ovest";"Piemonte";"NO";"I116";8,500000;0,000000
"Nord Est";"Veneto";"VI";"I117";8,000000;1,210000
"Isole";"Sardegna";"CA";"I118";1,000000;1,000000
"Sud";"Puglia";"BR";"I119";14,500000;0,000000
"Nord Est";"Veneto";"PD";"I120";21,840000;2,000000
"Sud";"Abruzzo ";"AQ";"I121";0,000000;0,000000
"Sud";"Molise";"CB";"I122";0,000000;1,000000
"Nord Est";"Emilia-Romagna";"RE";"I123";57,500000;6,500000
"Nord Est";"Veneto";"TV";"I124";23,730000;5,500000
"Centro";"Lazio";"RM";"I125";9,890000;6,500000
"Nord Ovest";"Piemonte";"TO";"I126";1,000000;1,000000
"Nord Est";"Emilia-Romagna";"MO";"I128";15,750000;2,000000
"Sud";"Campania";"AV";"I129";0,500000;0,000000
"Sud";"Campania";"CE";"I130";1,000000;0,000000
"Sud";"Campania";"CE";"I131";48,000000;5,000000
"Sud";"Calabria";"RC";"I132";0,000000;0,000000
"Nord Est";"Emilia-Romagna";"MO";"I133";49,110000;3,000000
"Centro";"Toscana";"SI";"I135";13,000000;5,000000
"Nord Est";"Friuli- Venezia Giulia";"PN";"I136";13,500000;8,500000
"Nord Ovest";"Piemonte";"TO";"I137";31,000000;3,000000
"Nord Ovest";"Liguria";"IM";"I138";372,300000;174,820000
"Sud";"Calabria";"RC";"I139";1,000000;1,000000
"Nord Ovest";"Lombardia";"LO";"I140";27,330000;3,000000
"Centro";"Toscana";"LU";"I142";0,000000;1,000000
"Sud";"Campania";"SA";"I143";1,000000;1,000000
"Nord Ovest";"Piemonte";"AL";"I144";11,500000;3,000000
"Sud";"Campania";"BN";"I145";2,000000;1,000000
"Isole";"Sicilia";"ME";"I147";0,000000;1,000000
"Sud";"Abruzzo ";"CH";"I148";153,740000;19,400000
"Nord Ovest";"Piemonte";"AL";"I150";0,000000;0,000000
"Sud";"Campania";"NA";"I151";11,330000;7,980000
"Nord Ovest";"Piemonte";"TO";"I152";18,500000;4,500000
"Nord Est";"Emilia-Romagna";"PR";"I153";43,840000;0,690000
"Nord Ovest";"Piemonte";"TO";"I154";34,000000;8,000000
"Centro";"Toscana";"AR";"I155";70,630000;13,580000
"Centro";"Marche";"MC";"I156";40,160000;9,330000
"Sud";"Basilicata";"PZ";"I157";0,000000;0,000000
"Sud";"Puglia";"FG";"I158";187,730000;36,480000
"Nord Ovest";"Lombardia";"CO";"I162";16,500000;7,000000
"Sud";"Campania";"AV";"I163";0,000000;0,000000
"Sud";"Calabria";"CZ";"I164";0,000000;3,000000
"Sud";"Calabria";"CS";"I165";0,000000;2,000000
"Isole";"Sardegna";"CA";"I166";9,000000;5,200000
"Nord Ovest";"Lombardia";"BG";"I168";7,500000;4,720000
"Isole";"Sicilia";"CL";"I169";4,000000;5,500000
"Sud";"Calabria";"CZ";"I170";2,000000;2,000000
"Sud";"Calabria";"CS";"I171";0,000000;2,000000
"Sud";"Puglia";"LE";"I172";11,000000;1,000000
"Isole";"Sicilia";"PA";"I174";0,000000;2,670000
"Nord Ovest";"Lombardia";"PV";"I175";9,500000;1,000000
"Sud";"Calabria";"RC";"I176";0,000000;0,000000
"Centro";"Toscana";"PI";"I177";71,690000;6,000000
"Isole";"Sicilia";"RG";"I178";21,670000;4,000000
"Sud";"Campania";"BN";"I179";0,000000;0,000000
"Sud";"Molise";"CB";"I181";6,170000;1,000000
"Isole";"Sardegna";"CA";"I182";0,000000;0,000000
"Sud";"Calabria";"CS";"I183";2,000000;3,000000
"Isole";"Sicilia";"ME";"I184";0,000000;3,000000
"Isole";"Sicilia";"AG";"I185";1,000000;0,000000
"Centro";"Toscana";"GR";"I187";11,500000;4,500000
"Isole";"Sicilia";"PA";"I188";11,250000;5,600000
