Area;Regione;Provincia;2023_CodCom;Comune;Cod_Istat
Nord Ovest;Lombardia;PV;A171;ALBONESE;18003
Nord Ovest;Lombardia;SO;A172;ALBOSAGGIA;14002
Nord Ovest;Piemonte;AT;A173;ALBUGNANO;5002
Nord Ovest;Lombardia;PV;A175;ALBUZZANO;18004
Isole;Sicilia;TP;A176;ALCAMO;81001
Isole;Sicilia;ME;A177;ALCARA LI FUSI;83001
Isole;Sardegna;OR;A180;ALES;95004
Isole;Sicilia;AG;A181;ALESSANDRIA DELLA ROCCA;84002
Nord Ovest;Piemonte;AL;A182;ALESSANDRIA;6003
Sud;Calabria;CS;A183;ALESSANDRIA D CARRETTO;78007
Sud;Puglia;LE;A184;ALESSANO;75002
Sud;Puglia;LE;A185;ALEZIO;75003
Sud;Campania;SA;A186;ALFANO;65004
Sud;Abruzzo;AQ;A187;ALFEDENA;66003
Nord Ovest;Lombardia;BS;A188;ALFIANELLO;17004
Nord Ovest;Piemonte;AL;A189;ALFIANO NATTA;6004
Nord Est;Emilia-Romagna;RA;A191;ALFONSINE;39001
Isole;Sardegna;SS;A192;ALGHERO;90003
Nord Ovest;Lombardia;BG;A193;ALGUA;16248
Isole;Sicilia;ME;A194;ALI`;83002
Isole;Sicilia;PA;A195;ALIA;82001
Sud;Basilicata;MT;A196;ALIANO;77002
Nord Ovest;Piemonte;AL;A197;ALICE BEL COLLE;6005
Nord Ovest;Piemonte;VC;A198;ALICE CASTELLO;2004
Sud;Campania;CE;A200;ALIFE;61002
Isole;Sicilia;ME;A201;ALI` TERME;83003
Isole;Sicilia;PA;A202;ALIMENA;82002
Isole;Sicilia;PA;A203;ALIMINUSA;82003
Isole;Sardegna;OR;A204;ALLAI;95005
Nord Ovest;Valle d'Aosta;AO;A205;ALLEIN;7001
Nord Est;Veneto;BL;A206;ALLEGHE;25003
Centro;Umbria;TR;A207;ALLERONA;55002
Sud;Puglia;LE;A208;ALLISTE;75004
Centro;Lazio;RM;A210;ALLUMIERE;58004
Nord Ovest;Lombardia;BG;A214;ALME`;16005
Nord Ovest;Lombardia;BG;A215;VILLA D`ALME;16239
Nord Ovest;Lombardia;BG;A216;ALMENNO SAN BARTOLOMEO;16006
Nord Ovest;Lombardia;BG;A217;ALMENNO SAN SALVATORE;16007
Nord Ovest;Piemonte;TO;A218;ALMESE;1006
Nord Est;Veneto;VI;A220;ALONTE;24003
Nord Ovest;Piemonte;TO;A221;ALPETTE;1007
Nord Ovest;Piemonte;TO;A222;ALPIGNANO;1008
Nord Est;Emilia-Romagna;PC;A223;ALSENO;33002
Nord Ovest;Lombardia;CO;A224;ALSERIO;13006
Sud;Puglia;BA;A225;ALTAMURA;72004
Nord Ovest;Liguria;SV;A226;ALTARE;9005
Nord Ovest;Piemonte;AL;A227;ALTAVILLA MONFERRATO;6007
Sud;Campania;AV;A228;ALTAVILLA IRPINA;64002
Isole;Sicilia;PA;A229;ALTAVILLA MILICIA;82004
Sud;Campania;SA;A230;ALTAVILLA SILENTINA;65005
Nord Est;Veneto;VI;A231;ALTAVILLA VICENTINA;24004
Centro;Marche;AP;A233;ALTIDONA;109001
Sud;Calabria;CS;A234;ALTILIA;78008
Sud;Abruzzo;CH;A235;ALTINO;69001
Nord Est;Veneto;VI;A236;ALTISSIMO;24005
Nord Est;Veneto;TV;A237;ALTIVOLE;26001
Nord Ovest;Piemonte;CN;A238;ALTO;4005
Isole;Sicilia;PA;A239;ALTOFONTE;82005
Sud;Calabria;CS;A240;ALTOMONTE;78009
Centro;Toscana;LU;A241;ALTOPASCIO;46001
Centro;Umbria;TR;A242;ALVIANO;55003
Sud;Campania;CE;A243;ALVIGNANO;61003
Centro;Lazio;FR;A244;ALVITO;60004
Nord Ovest;Piemonte;AL;A245;ALZANO SCRIVIA;6008
Nord Ovest;Lombardia;BG;A246;ALZANO LOMBARDO;16008
Nord Ovest;Lombardia;CO;A249;ALZATE BRIANZA;13007
Sud;Campania;SA;A251;AMALFI;65006
Centro;Marche;AP;A252;AMANDOLA;109002
Sud;Calabria;CS;A253;AMANTEA;78010
Nord Est;Friuli- Venezia Giulia;UD;A254;AMARO;30002
Sud;Calabria;CZ;A255;AMARONI;79003
Centro;Lazio;FR;A256;AMASENO;60005
Sud;Calabria;CZ;A257;AMATO;79004
Centro;Lazio;RI;A258;AMATRICE;57002
Nord Ovest;Lombardia;BG;A259;AMBIVERE;16009
Nord Ovest;Liguria;SP;A261;AMEGLIA;11001
Centro;Umbria;TR;A262;AMELIA;55004
Sud;Calabria;CS;A263;AMENDOLARA;78011
Nord Ovest;Piemonte;NO;A264;AMENO;3002
Sud;Campania;BN;A265;AMOROSI;62002
Nord Est;Friuli- Venezia Giulia;UD;A267;AMPEZZO;30003
Sud;Campania;NA;A268;ANACAPRI;63004
Centro;Lazio;FR;A269;ANAGNI;60006
Sud;Abruzzo;TE;A270;ANCARANO;67002
Centro;Marche;AN;A271;ANCONA;42002
Sud;Calabria;CZ;A272;ANDALI;79005
Nord Ovest;Lombardia;SO;A273;ANDALO VALTELLINO;14003
Nord Ovest;Piemonte;TO;A275;ANDEZENO;1009
Nord Ovest;Liguria;SV;A278;ANDORA;9006
Nord Ovest;Piemonte;BI;A280;ANDORNO MICCA;96002
Sud;Puglia;LE;A281;ANDRANO;75005
Nord Ovest;Piemonte;TO;A282;ANDRATE;1010
Nord Est;Friuli- Venezia Giulia;PN;A283;ANDREIS;93001
Sud;Campania;AV;A284;ANDRETTA;64003
Sud;Puglia;BA;A285;ANDRIA;110001
Isole;Sardegna;SS;A287;ANELA;90004
Nord Ovest;Lombardia;BS;A288;ANFO;17005
Nord Ovest;Lombardia;VA;A290;ANGERA;12003
Centro;Toscana;AR;A291;ANGHIARI;51001
Nord Est;Veneto;VR;A292;ANGIARI;23003
Nord Ovest;Lombardia;BS;A293;ANGOLO TERME;17006
Sud;Campania;SA;A294;ANGRI;65007
Nord Ovest;Piemonte;TO;A295;ANGROGNA;1011
Nord Est;Veneto;PD;A296;ANGUILLARA VENETA;28004
Centro;Lazio;RM;A297;ANGUILLARA SABAZIA;58005
Nord Ovest;Lombardia;CR;A299;ANNICCO;19003
Nord Ovest;Piemonte;AT;A300;CASTELLO DI ANNONE;5028
Nord Ovest;Lombardia;LC;A301;ANNONE DI BRIANZA;97003
Nord Est;Veneto;VE;A302;ANNONE VENETO;27001
Sud;Calabria;RC;A303;ANOIA;80003
Nord Ovest;Lombardia;BG;A304;ANTEGNATE;16010
Nord Ovest;Valle d'Aosta;AO;A305;ANTEY SAINT ANDRE`;7002
Nord Ovest;Valle d'Aosta;AO;A308;LA MAGDELEINE;7039
Centro;Lazio;RM;A309;ANTICOLI CORRADO;58006
Centro;Lazio;FR;A310;FIUGGI;60035
Nord Ovest;Piemonte;AT;A312;ANTIGNANO;5003
Isole;Sicilia;ME;A313;ANTILLO;83004
Sud;Calabria;RC;A314;ANTONIMINA;80004
Centro;Lazio;RI;A315;ANTRODOCO;57003
Nord Ovest;Piemonte;VB;A317;ANTRONA SCHIERANCO;103001
Sud;Abruzzo;AQ;A318;ANVERSA DEGLI ABRUZZI;66004
Nord Ovest;Lombardia;CO;A319;ANZANO DEL PARCO;13009
Sud;Puglia;FG;A320;ANZANO DI PUGLIA;71003
Sud;Basilicata;PZ;A321;ANZI;76004
Centro;Lazio;RM;A323;ANZIO;58007
Nord Est;Emilia-Romagna;BO;A324;ANZOLA DELL`EMILIA;37001
Nord Ovest;Piemonte;VB;A325;ANZOLA D OSSOLA;103002
Nord Ovest;Valle d'Aosta;AO;A326;AOSTA;7003
Centro;Marche;PS;A327;APECCHIO;41002
Sud;Campania;BN;A328;APICE;62003
Centro;Marche;MC;A329;APIRO;43002
Sud;Campania;BN;A330;APOLLOSA;62004
Nord Ovest;Lombardia;CO;A333;APPIANO GENTILE;13010
Centro;Marche;MC;A334;APPIGNANO;43003
Centro;Marche;AP;A335;APPIGNANO DEL TRONTO;44005
Nord Ovest;Lombardia;SO;A337;APRICA;14004
Nord Ovest;Liguria;IM;A338;APRICALE;8002
Sud;Puglia;FG;A339;APRICENA;71004
Sud;Calabria;CS;A340;APRIGLIANO;78012
Centro;Lazio;LT;A341;APRILIA;59001
Sud;Campania;SA;A343;AQUARA;65008
Nord Ovest;Liguria;IM;A344;AQUILA D`ARROSCIA;8003
Sud;Abruzzo;AQ;A345;L`AQUILA;66049
Sud;Campania;AV;A347;AQUILONIA;64004
Centro;Lazio;FR;A348;AQUINO;60007
Sud;Puglia;LE;A350;ARADEO;75006
Isole;Sicilia;AG;A351;ARAGONA;84003
Nord Ovest;Piemonte;AT;A352;ARAMENGO;5004
Nord Est;Friuli- Venezia Giulia;PN;A354;ARBA;93002
Isole;Sardegna;NU;A355;TORTOLI`;91095
Isole;Sardegna;OR;A357;ARBOREA;95006
Nord Ovest;Piemonte;VC;A358;ARBORIO;2006
Isole;Sardegna;CA;A359;ARBUS;111001
Nord Est;Veneto;TV;A360;ARCADE;26002
Centro;Lazio;FR;A363;ARCE;60008
Nord Ovest;Lombardia;BG;A365;ARCENE;16011
Centro;Marche;AN;A366;ARCEVIA;42003
Sud;Abruzzo;CH;A367;ARCHI;69002
Isole;Sardegna;OR;A368;SAN NICOLO` D`ARCIDANO;95046
Centro;Toscana;GR;A369;ARCIDOSSO;53001
Centro;Lazio;RM;A370;ARCINAZZO ROMANO;58008
Nord Ovest;Lombardia;VA;A371;ARCISATE;12004
Nord Ovest;Liguria;SP;A373;ARCOLA;11002
Nord Est;Veneto;VR;A374;ARCOLE;23004
Nord Ovest;Lombardia;MI;A375;ARCONATE;15007
Nord Ovest;Lombardia;MI;A376;ARCORE;108004
Nord Est;Veneto;VI;A377;ARCUGNANO;24006
Isole;Sardegna;SS;A379;ARDARA;90005
Isole;Sardegna;OR;A380;ARDAULI;95007
Nord Ovest;Lombardia;SO;A382;ARDENNO;14005
Nord Ovest;Lombardia;BG;A383;ARDESIO;16012
Sud;Calabria;RC;A385;ARDORE;80005
Sud;Calabria;VV;A386;ARENA;102002
Nord Ovest;Lombardia;PV;A387;ARENA PO;18005
Nord Ovest;Liguria;GE;A388;ARENZANO;10001
Nord Ovest;Lombardia;MI;A389;ARESE;15009
Centro;Toscana;AR;A390;AREZZO;51002
Nord Ovest;Lombardia;CO;A391;ARGEGNO;13011
Nord Est;Emilia-Romagna;BO;A392;ARGELATO;37002
Nord Est;Emilia-Romagna;FE;A393;ARGENTA;38001
Nord Ovest;Piemonte;CN;A394;ARGENTERA;4006
Nord Ovest;Piemonte;CN;A396;ARGUELLO;4007
Sud;Calabria;CZ;A397;ARGUSTO;79007
Sud;Abruzzo;CH;A398;ARI;69003
Sud;Campania;AV;A399;ARIANO IRPINO;64005
Nord Est;Veneto;RO;A400;ARIANO NEL POLESINE;29002
Centro;Lazio;RM;A401;ARICCIA;58009
Sud;Abruzzo;CH;A402;ARIELLI;69004
Sud;Campania;CE;A403;ARIENZO;61004
Nord Ovest;Piemonte;TO;A405;ARIGNANO;1012
Isole;Sardegna;NU;A407;ARITZO;91001
Nord Ovest;Piemonte;VB;A409;ARIZZANO;103003
Centro;Lazio;VT;A412;ARLENA DI CASTRO;56002
Nord Ovest;Lombardia;MI;A413;ARLUNO;15010
Nord Ovest;Piemonte;NO;A414;ARMENO;3006
Sud;Basilicata;PZ;A415;ARMENTO;76005
Nord Ovest;Liguria;IM;A418;ARMO;8004
Isole;Sardegna;CA;A419;ARMUNGIA;111002
Centro;Lazio;FR;A421;ARNARA;60009
Nord Ovest;Liguria;SV;A422;ARNASCO;9007
Nord Ovest;Valle d'Aosta;AO;A424;ARNAD;7004
Sud;Puglia;LE;A425;ARNESANO;75007
Nord Ovest;Piemonte;VB;A427;AROLA;103004
Nord Ovest;Piemonte;NO;A429;ARONA;3008
Nord Ovest;Lombardia;CO;A430;AROSIO;13012
Sud;Campania;BN;A431;ARPAIA;62005
Sud;Campania;BN;A432;ARPAISE;62006
Centro;Lazio;FR;A433;ARPINO;60010
Nord Est;Veneto;PD;A434;ARQUA` PETRARCA;28005
Nord Est;Veneto;RO;A435;ARQUA` POLESINE;29003
Nord Ovest;Piemonte;AL;A436;ARQUATA SCRIVIA;6009
Centro;Marche;AP;A437;ARQUATA DEL TRONTO;44006
Nord Est;Veneto;PD;A438;ARRE;28006
Centro;Umbria;TR;A439;ARRONE;55005
Nord Ovest;Lombardia;BG;A440;ARZAGO D`ADDA;16013
Nord Ovest;Lombardia;VA;A441;ARSAGO SEPRIO;12005
Nord Est;Veneto;BL;A443;ARSIE`;25004
Nord Est;Veneto;VI;A444;ARSIERO;24007
Sud;Abruzzo;TE;A445;ARSITA;67003
Centro;Lazio;RM;A446;ARSOLI;58010
Nord Est;Friuli- Venezia Giulia;UD;A447;ARTA TERME;30005
Nord Est;Friuli- Venezia Giulia;UD;A448;ARTEGNA;30006
Centro;Lazio;RM;A449;ARTENA;58011
Nord Ovest;Lombardia;BS;A451;ARTOGNE;17007
Nord Ovest;Valle d'Aosta;AO;A452;ARVIER;7005
