Area;Regione;Provincia;2023_CodCom;Comune;Cod_Istat
Centro;Umbria;PG;E613;LISCIANO NICCONE;54025
Nord Ovest;Piemonte;CN;E615;LISIO;4111
Nord Ovest;Lombardia;MI;E617;LISSONE;108028
Isole;Sicilia;CL;E618;MILENA;85010
Sud;Campania;NA;E620;LIVERI;63040
Nord Ovest;Lombardia;SO;E621;LIVIGNO;14037
Nord Ovest;Lombardia;CO;E623;LIVO;13130
Centro;Toscana;LI;E625;LIVORNO;49009
Nord Ovest;Piemonte;VC;E626;LIVORNO FERRARIS;2071
Nord Ovest;Lombardia;LO;E627;LIVRAGA;98030
Sud;Puglia;LE;E629;LIZZANELLO;75038
Sud;Puglia;TA;E630;LIZZANO;73011
Nord Ovest;Liguria;SV;E632;LOANO;9034
Nord Ovest;Piemonte;AT;E633;LOAZZOLO;5060
Nord Ovest;Piemonte;TO;E635;LOCANA;1134
Nord Ovest;Lombardia;CO;E638;LOCATE VARESINO;13131
Nord Ovest;Lombardia;MI;E639;LOCATE DI TRIULZI;15125
Nord Ovest;Lombardia;BG;E640;LOCATELLO;16127
Isole;Sardegna;NU;E644;LOCERI;91039
Sud;Puglia;BA;E645;LOCOROTONDO;72025
Isole;Sardegna;NU;E646;LOCULI;91040
Isole;Sardegna;NU;E647;LODE`;91041
Nord Ovest;Lombardia;LO;E648;LODI;98031
Isole;Sardegna;NU;E649;LODINE;91104
Nord Ovest;Lombardia;LO;E651;LODI VECCHIO;98032
Nord Ovest;Lombardia;BS;E652;LODRINO;17090
Nord Ovest;Lombardia;BS;E654;LOGRATO;17091
Nord Est;Emilia-Romagna;BO;E655;LOIANO;37034
Nord Ovest;Lombardia;LC;E656;LOMAGNA;97044
Nord Ovest;Lombardia;CO;E659;LOMAZZO;13133
Nord Ovest;Piemonte;TO;E660;LOMBARDORE;1135
Nord Ovest;Piemonte;TO;E661;LOMBRIASCO;1136
Nord Ovest;Lombardia;PV;E662;LOMELLO;18083
Nord Ovest;Lombardia;VA;E665;LONATE CEPPINO;12089
Nord Ovest;Lombardia;VA;E666;LONATE POZZOLO;12090
Centro;Toscana;FI;E668;LONDA;48025
Sud;Molise;IS;E669;LONGANO;94024
Nord Est;Veneto;VI;E671;LONGARE;24051
Nord Ovest;Lombardia;BS;E673;LONGHENA;17093
Isole;Sicilia;ME;E674;LONGI;83042
Nord Est;Emilia-Romagna;FO;E675;LONGIANO;40018
Sud;Calabria;CS;E677;LONGOBARDI;78067
Sud;Calabria;CS;E678;LONGOBUCCO;78068
Nord Ovest;Lombardia;CO;E679;LONGONE AL SEGRINO;13134
Centro;Toscana;LI;E680;PORTO AZZURRO;49013
Centro;Lazio;RI;E681;LONGONE SABINO;57034
Nord Est;Veneto;VI;E682;LONIGO;24052
Nord Ovest;Piemonte;TO;E683;LORANZE`;1137
Nord Est;Veneto;PD;E684;LOREGGIA;28046
Nord Ovest;Piemonte;VB;E685;LOREGLIA;103038
Nord Est;Veneto;BL;E687;LORENZAGO DI CADORE;25032
Nord Est;Veneto;RO;E689;LOREO;29030
Centro;Marche;AN;E690;LORETO;42022
Sud;Abruzzo;PE;E691;LORETO APRUTINO;68021
Nord Est;Veneto;TV;E692;LORIA;26036
Centro;Toscana;AR;E693;LORO CIUFFENNA;51020
Centro;Marche;MC;E694;LORO PICENO;43022
Nord Ovest;Liguria;GE;E695;LORSICA;10030
Nord Ovest;Lombardia;BS;E698;LOSINE;17094
Isole;Sardegna;NU;E700;LOTZORAI;91042
Nord Ovest;Lombardia;BG;E704;LOVERE;16128
Nord Ovest;Lombardia;SO;E705;LOVERO VALTELLINO;14038
Nord Ovest;Lombardia;BS;E706;LOZIO;17095
Nord Ovest;Lombardia;VA;E707;LOZZA;12091
Nord Est;Veneto;BL;E708;LOZZO DI CADORE;25033
Nord Est;Veneto;PD;E709;LOZZO ATESTINO;28047
Nord Ovest;Piemonte;VC;E711;LOZZOLO;2072
Centro;Lazio;VT;E713;LUBRIANO;56033
Isole;Sicilia;AG;E714;LUCCA SICULA;84022
Centro;Toscana;LU;E715;LUCCA;46017
Sud;Puglia;FG;E716;LUCERA;71028
Centro;Toscana;AR;E718;LUCIGNANO;51021
Nord Ovest;Liguria;IM;E719;LUCINASCO;8033
Sud;Molise;CB;E722;LUCITO;70033
Sud;Abruzzo;AQ;E723;LUCO DEI MARSI;66051
Sud;Abruzzo;AQ;E724;LUCOLI;66052
Nord Est;Emilia-Romagna;PC;E726;LUGAGNANO VAL D`ARDA;33026
Centro;Umbria;TR;E729;LUGNANO IN TEVERINA;55016
Nord Est;Emilia-Romagna;RA;E730;LUGO;39012
Nord Est;Veneto;VI;E731;LUGO DI VICENZA;24053
Nord Ovest;Lombardia;VA;E734;LUINO;12092
Nord Ovest;Lombardia;CO;E735;LUISAGO;13135
Isole;Sardegna;NU;E736;LULA;91043
Nord Ovest;Liguria;GE;E737;LUMARZO;10031
Nord Ovest;Lombardia;BS;E738;LUMEZZANE;17096
Isole;Sardegna;CA;E742;LUNAMATRONA;111038
Centro;Marche;PS;E743;LUNANO;41022
Sud;Calabria;CS;E745;LUNGRO;78069
Sud;Campania;AV;E746;LUOGOSANO;64045
Isole;Sardegna;SS;E747;LUOGOSANTO;90036
Sud;Molise;CB;E748;LUPARA;70034
Nord Ovest;Lombardia;CO;E749;LURAGO D`ERBA;13136
Nord Ovest;Lombardia;CO;E750;LURAGO MARINONE;13137
Nord Ovest;Lombardia;BG;E751;LURANO;16129
Isole;Sardegna;SS;E752;LURAS;90037
Nord Ovest;Lombardia;CO;E753;LURATE CACCIVIO;13138
Sud;Campania;CE;E754;LUSCIANO;61046
Nord Ovest;Piemonte;TO;E758;LUSERNA SAN GIOVANNI;1139
Nord Ovest;Piemonte;TO;E759;LUSERNETTA;1140
Nord Est;Friuli- Venezia Giulia;UD;E760;LUSEVERA;30051
Nord Est;Veneto;RO;E761;LUSIA;29031
Nord Ovest;Piemonte;TO;E763;LUSIGLIE`;1141
Sud;Campania;SA;E767;LUSTRA;65064
Nord Ovest;Lombardia;VA;E769;LUVINATE;12093
Nord Ovest;Lombardia;BG;E770;LUZZANA;16130
Nord Est;Emilia-Romagna;RE;E772;LUZZARA;35026
Sud;Calabria;CS;E773;LUZZI;78070
Nord Ovest;Lombardia;LO;E777;MACCASTORNA;98033
Sud;Molise;IS;E778;MACCHIA D`ISERNIA;94025
Sud;Molise;IS;E779;MACCHIAGODENA;94026
Sud;Molise;CB;E780;MACCHIA VALFORTORE;70035
Nord Ovest;Piemonte;TO;E782;MACELLO;1142
Centro;Marche;MC;E783;MACERATA;43023
Sud;Campania;CE;E784;MACERATA CAMPANIA;61047
Centro;Marche;PS;E785;MACERATA FELTRIA;41023
Nord Ovest;Lombardia;MI;E786;MACHERIO;108029
Nord Ovest;Lombardia;BS;E787;MACLODIO;17097
Isole;Sardegna;NU;E788;MACOMER;91044
Nord Ovest;Piemonte;CN;E789;MACRA;4112
Nord Ovest;Piemonte;VB;E790;MACUGNAGA;103039
Sud;Campania;CE;E791;MADDALONI;61048
Nord Ovest;Lombardia;CR;E793;MADIGNANO;19055
Nord Ovest;Lombardia;BG;E794;MADONE;16131
Nord Ovest;Piemonte;VB;E795;MADONNA DEL SASSO;103040
Centro;Lazio;LT;E798;MAENZA;59013
Sud;Molise;CB;E799;MAFALDA;70036
Nord Ovest;Lombardia;MI;E801;MAGENTA;15130
Nord Ovest;Piemonte;NO;E803;MAGGIORA;3088
Nord Ovest;Lombardia;PV;E804;MAGHERNO;18085
Centro;Umbria;PG;E805;MAGIONE;54026
Sud;Calabria;CZ;E806;MAGISANO;79068
Centro;Marche;AP;E807;MAGLIANO DI TENNA;109010
Nord Ovest;Piemonte;CN;E808;MAGLIANO ALPI;4114
Nord Ovest;Piemonte;CN;E809;MAGLIANO ALFIERI;4113
Centro;Toscana;GR;E810;MAGLIANO IN TOSCANA;53013
Sud;Abruzzo;AQ;E811;MAGLIANO DE` MARSI;66053
Centro;Lazio;RI;E812;MAGLIANO SABINA;57035
Centro;Lazio;RM;E813;MAGLIANO ROMANO;58052
Sud;Campania;SA;E814;MAGLIANO VETERE;65065
Sud;Puglia;LE;E815;MAGLIE;75039
Nord Ovest;Liguria;SV;E816;MAGLIOLO;9035
Nord Ovest;Piemonte;TO;E817;MAGLIONE;1143
Nord Ovest;Lombardia;MN;E818;MAGNACAVALLO;20029
Nord Ovest;Lombardia;MI;E819;MAGNAGO;15131
Nord Est;Friuli- Venezia Giulia;UD;E820;MAGNANO IN RIVIERA;30052
Nord Ovest;Piemonte;BI;E821;MAGNANO;96030
Isole;Sardegna;NU;E825;MAGOMADAS;95083
Nord Ovest;Lombardia;CO;E830;MAGREGLIO;13139
Nord Est;Friuli- Venezia Giulia;UD;E833;MAJANO;30053
Sud;Calabria;CZ;E834;MAIDA;79069
Sud;Calabria;CS;E835;MAIERA`;78071
Sud;Calabria;VV;E836;MAIERATO;102020
Centro;Marche;AN;E837;MAIOLATI SPONTINI;42023
Nord Est;Emilia-Romagna;RN;E838;MAIOLO;99022
Sud;Campania;SA;E839;MAIORI;65066
Nord Ovest;Lombardia;LO;E840;MAIRAGO;98034
Nord Ovest;Lombardia;BS;E841;MAIRANO;17099
Nord Ovest;Liguria;SP;E842;MAISSANA;11018
Nord Ovest;Lombardia;CR;E843;MALAGNINO;19056
Nord Est;Emilia-Romagna;BO;E844;MALALBERGO;37035
Nord Est;Veneto;VR;E848;MALCESINE;23045
Nord Ovest;Lombardia;BS;E851;MALEGNO;17100
Nord Ovest;Lombardia;LO;E852;MALEO;98035
Nord Ovest;Piemonte;VB;E853;MALESCO;103041
Isole;Sicilia;CT;E854;MALETTO;87022
Isole;Sicilia;ME;E855;MALFA;83043
Nord Ovest;Lombardia;LC;E858;MALGRATE;97045
Sud;Calabria;CS;E859;MALITO;78072
Nord Ovest;Liguria;SV;E860;MALLARE;9036
Nord Ovest;Lombardia;VA;E863;MALNATE;12096
Nord Est;Veneto;VI;E864;MALO;24055
Nord Ovest;Lombardia;BS;E865;MALONNO;17101
Centro;Marche;AP;E868;MALTIGNANO;44027
Isole;Sicilia;ME;E869;MALVAGNA;83044
Nord Ovest;Piemonte;AL;E870;MALVICINO;6090
Sud;Calabria;CS;E872;MALVITO;78073
Sud;Calabria;RC;E873;MAMMOLA;80044
Isole;Sardegna;NU;E874;MAMOIADA;91046
Centro;Toscana;GR;E875;MANCIANO;53014
Isole;Sicilia;ME;E876;MANDANICI;83045
Isole;Sardegna;CA;E877;MANDAS;111039
Sud;Calabria;CS;E878;MANDATORICCIO;78074
Nord Ovest;Lombardia;LC;E879;MANDELLO DEL LARIO;97046
Nord Ovest;Piemonte;NO;E880;MANDELLO VITTA;3090
Sud;Puglia;TA;E882;MANDURIA;73012
Nord Ovest;Lombardia;BS;E883;MANERBA DEL GARDA;17102
Nord Ovest;Lombardia;BS;E884;MANERBIO;17103
Sud;Puglia;FG;E885;MANFREDONIA;71029
Nord Ovest;Piemonte;CN;E887;MANGO;4115
Sud;Calabria;CS;E888;MANGONE;78075
Nord Est;Friuli- Venezia Giulia;PN;E889;MANIAGO;93025
Sud;Campania;AV;E891;MANOCALZATI;64046
Sud;Abruzzo;PE;E892;MANOPPELLO;68022
Nord Est;Veneto;TV;E893;MANSUE`;26037
Nord Ovest;Piemonte;CN;E894;MANTA;4116
Nord Ovest;Lombardia;SO;E896;MANTELLO;14039
Nord Ovest;Lombardia;MN;E897;MANTOVA;20030
Nord Est;Friuli- Venezia Giulia;UD;E899;MANZANO;30055
Centro;Lazio;RM;E900;MANZIANA;58054
Nord Ovest;Lombardia;BG;E901;MAPELLO;16132
Isole;Sardegna;SS;E902;MARA;90038
Isole;Sardegna;CA;E903;MARACALAGONIS;92037
Nord Est;Emilia-Romagna;MO;E904;MARANELLO;36019
Nord Est;Emilia-Romagna;MO;E905;MARANO SUL PANARO;36020
Sud;Campania;NA;E906;MARANO DI NAPOLI;63041
Nord Ovest;Piemonte;NO;E907;MARANO TICINO;3091
Centro;Lazio;RM;E908;MARANO EQUO;58055
Nord Est;Friuli- Venezia Giulia;UD;E910;MARANO LAGUNARE;30056
Nord Est;Veneto;VR;E911;MARANO DI VALPOLICELLA;23046
Nord Est;Veneto;VI;E912;MARANO VICENTINO;24056
Sud;Calabria;CS;E914;MARANO MARCHESATO;78076
Sud;Calabria;CS;E915;MARANO PRINCIPATO;78077
Nord Ovest;Piemonte;AT;E917;MARANZANA;5061
Sud;Basilicata;PZ;E919;MARATEA;76044
Nord Ovest;Lombardia;MI;E921;MARCALLO CON CASONE;15134
Nord Ovest;Lombardia;MN;E922;MARCARIA;20031
Sud;Calabria;CZ;E923;MARCEDUSA;79071
Centro;Lazio;RM;E924;MARCELLINA;58056
Sud;Calabria;CZ;E925;MARCELLINARA;79072
Centro;Lazio;RI;E927;MARCETELLI;57036
Nord Ovest;Lombardia;BS;E928;MARCHENO;17104
Nord Ovest;Lombardia;VA;E929;MARCHIROLO;12097
Centro;Toscana;LI;E930;MARCIANA;49010
Centro;Toscana;LI;E931;MARCIANA MARINA;49011
Sud;Campania;CE;E932;MARCIANISE;61049
Centro;Toscana;AR;E933;MARCIANO DELLA CHIANA;51022
Nord Ovest;Lombardia;PV;E934;MARCIGNAGO;18086
Nord Est;Veneto;VE;E936;MARCON;27020
Nord Ovest;Piemonte;CN;E939;MARENE;4117
Nord Est;Veneto;TV;E940;MARENO DI PIAVE;26038
Nord Ovest;Piemonte;TO;E941;MARENTINO;1144
Nord Ovest;Piemonte;AT;E944;MARETTO;5062
Nord Ovest;Piemonte;CN;E945;MARGARITA;4118
Sud;Puglia;FG;E946;MARGHERITA DI SAVOIA;110005
Nord Ovest;Lombardia;LC;E947;MARGNO;97047
Nord Ovest;Lombardia;MN;E949;MARIANA MANTOVANA;20032
Nord Ovest;Lombardia;CO;E951;MARIANO COMENSE;13143
Isole;Sicilia;CL;E953;MARIANOPOLI;85008
Sud;Campania;NA;E954;MARIGLIANELLA;63042
Sud;Campania;NA;E955;MARIGLIANO;63043
Sud;Calabria;RC;E956;MARINA D GIOIOSA IONICA;80045
Isole;Sicilia;PA;E957;MARINEO;82046
Centro;Lazio;RM;E958;MARINO;58057
Centro;Toscana;PT;E960;MARLIANA;47007
Nord Ovest;Lombardia;BS;E961;MARMENTINO;17105
Nord Ovest;Lombardia;MN;E962;MARMIROLO;20033
Nord Ovest;Piemonte;CN;E963;MARMORA;4119
Nord Ovest;Lombardia;VA;E965;MARNATE;12098
Nord Ovest;Lombardia;BS;E967;MARONE;17106
Sud;Calabria;RC;E968;MAROPATI;80046
Nord Est;Veneto;VI;E970;MAROSTICA;24057
Centro;Toscana;FI;E971;MARRADI;48026
Isole;Sardegna;OR;E972;MARRUBIU;95025
Nord Ovest;Piemonte;CN;E973;MARSAGLIA;4120
Isole;Sicilia;TP;E974;MARSALA;81011
Centro;Umbria;PG;E975;MARSCIANO;54027
Sud;Basilicata;PZ;E976;MARSICO NUOVO;76045
Sud;Basilicata;PZ;E977;MARSICOVETERE;76046
Centro;Lazio;VT;E978;MARTA;56034
Sud;Puglia;LE;E979;MARTANO;75040
Nord Est;Veneto;VE;E980;MARTELLAGO;27021
Nord Est;Friuli- Venezia Giulia;UD;E982;MARTIGNACCO;30057
Nord Ovest;Lombardia;CR;E983;MARTIGNANA DI PO;19057
Sud;Puglia;LE;E984;MARTIGNANO;75041
Sud;Puglia;TA;E986;MARTINA FRANCA;73013
Nord Ovest;Lombardia;BG;E987;MARTINENGO;16133
Nord Ovest;Piemonte;CN;E988;MARTINIANA PO;4121
Sud;Abruzzo;TE;E989;MARTINSICURO;67047
Sud;Calabria;CZ;E991;MARTIRANO LOMBARDO;79074
Isole;Sardegna;SS;E992;MARTIS;90039
Sud;Calabria;RC;E993;MARTONE;80047
Nord Ovest;Lombardia;LO;E994;MARUDO;98036
Sud;Puglia;TA;E995;MARUGGIO;73014
Sud;Campania;AV;E997;MARZANO DI NOLA;64047
Sud;Campania;CE;E998;MARZANO APPIO;61050
Nord Ovest;Lombardia;PV;E999;MARZANO;18087
Sud;Calabria;CS;F001;MARZI;78078
Nord Ovest;Lombardia;VA;F002;MARZIO;12099
Nord Ovest;Lombardia;MI;F003;MASATE;15136
Isole;Sicilia;CT;F004;MASCALI;87023
Isole;Sicilia;CT;F005;MASCALUCIA;87024
Sud;Basilicata;PZ;F006;MASCHITO;76047
Nord Ovest;Lombardia;VA;F007;MASCIAGO PRIMO;12100
Nord Est;Veneto;TV;F009;MASER;26039
Nord Ovest;Piemonte;VB;F010;MASERA;103042
Nord Est;Veneto;PD;F011;MASERA` DI PADOVA;28048
Nord Est;Veneto;TV;F012;MASERADA SUL PIAVE;26040
Nord Est;Veneto;PD;F013;MASI;28049
Nord Ovest;Piemonte;AL;F015;MASIO;6091
Nord Est;Emilia-Romagna;FE;F016;MASI TORELLO;38012
Nord Ovest;Lombardia;CO;F017;MASLIANICO;13144
Nord Ovest;Liguria;GE;F020;MASONE;10032
Centro;Marche;AP;F021;MASSA FERMANA;109011
Sud;Abruzzo;AQ;F022;MASSA D`ALBE;66054
Centro;Toscana;MS;F023;MASSA;45010
Centro;Umbria;PG;F024;MASSA MARTANA;54028
Centro;Toscana;PT;F025;MASSA E COZZILE;47008
Sud;Puglia;TA;F027;MASSAFRA;73015
Nord Ovest;Lombardia;LO;F028;MASSALENGO;98037
Nord Est;Emilia-Romagna;RA;F029;MASSA LOMBARDA;39013
Sud;Campania;NA;F030;MASSA LUBRENSE;63044
Centro;Toscana;GR;F032;MASSA MARITTIMA;53015
Nord Est;Veneto;PD;F033;MASSANZAGO;28050
Centro;Toscana;LU;F035;MASSAROSA;46018
Nord Ovest;Piemonte;BI;F037;MASSAZZA;96031
Nord Ovest;Piemonte;TO;F041;MASSELLO;1145
Nord Ovest;Piemonte;BI;F042;MASSERANO;96032
Sud;Campania;CE;F043;SAN MARCO EVANGELISTA;61104
Centro;Marche;AP;F044;MASSIGNANO;44029
Nord Ovest;Liguria;SV;F046;MASSIMINO;9037
Nord Ovest;Piemonte;NO;F047;MASSINO VISCONTI;3093
Nord Ovest;Piemonte;VB;F048;MASSIOLA;103043
Isole;Sardegna;OR;F050;MASULLAS;95026
Centro;Marche;MC;F051;MATELICA;43024
Sud;Basilicata;MT;F052;MATERA;77014
Nord Ovest;Piemonte;TO;F053;MATHI;1146
Sud;Puglia;LE;F054;MATINO;75042
Sud;Molise;CB;F055;MATRICE;70037
Nord Ovest;Piemonte;TO;F058;MATTIE;1147
Sud;Puglia;FG;F059;MATTINATA;71031
Isole;Sicilia;TP;F061;MAZARA DEL VALLO;81012
Nord Ovest;Lombardia;BS;F063;MAZZANO;17107
Centro;Lazio;RM;F064;MAZZANO ROMANO;58058
Isole;Sicilia;CL;F065;MAZZARINO;85009
Isole;Sicilia;ME;F066;MAZZARRA` SANT`ANDREA;83046
Nord Ovest;Piemonte;TO;F067;MAZZE`;1148
Nord Ovest;Lombardia;SO;F070;MAZZO DI VALTELLINA;14040
Isole;Sardegna;NU;F073;MEANA SARDO;91047
Nord Ovest;Piemonte;TO;F074;MEANA DI SUSA;1149
Nord Ovest;Lombardia;MI;F078;MEDA;108030
Nord Ovest;Lombardia;PV;F080;MEDE;18088
Nord Est;Emilia-Romagna;PR;F082;MEDESANO;34020
Nord Est;Emilia-Romagna;BO;F083;MEDICINA;37037
Nord Ovest;Lombardia;MI;F084;MEDIGLIA;15139
Nord Ovest;Lombardia;BG;F085;MEDOLAGO;16250
Nord Ovest;Lombardia;MN;F086;MEDOLE;20034
Nord Est;Emilia-Romagna;MO;F087;MEDOLLA;36021
Nord Est;Veneto;TV;F088;MEDUNA DI LIVENZA;26041
Nord Est;Friuli- Venezia Giulia;PN;F089;MEDUNO;93026
Nord Est;Veneto;PD;F092;MEGLIADINO SAN VITALE;28052
Nord Ovest;Piemonte;NO;F093;MEINA;3095
Nord Est;Veneto;RO;F095;MELARA;29032
Nord Ovest;Piemonte;AL;F096;MELAZZO;6092
Nord Est;Emilia-Romagna;FO;F097;MELDOLA;40019
Nord Ovest;Liguria;GE;F098;MELE;10033
Nord Ovest;Lombardia;MI;F100;MELEGNANO;15140
Sud;Puglia;LE;F101;MELENDUGNO;75043
Nord Ovest;Lombardia;LO;F102;MELETI;98038
Sud;Basilicata;PZ;F104;MELFI;76048
Sud;Calabria;RC;F105;MELICUCCA`;80048
Sud;Calabria;RC;F106;MELICUCCO;80049
Isole;Sicilia;SR;F107;MELILLI;89012
Sud;Calabria;KR;F108;MELISSA;101014
Sud;Puglia;LE;F109;MELISSANO;75044
Sud;Campania;AV;F110;MELITO IRPINO;64048
Sud;Campania;NA;F111;MELITO DI NAPOLI;63045
Sud;Calabria;RC;F112;MELITO DI PORTO SALVO;80050
Sud;Campania;BN;F113;MELIZZANO;62039
Nord Ovest;Piemonte;CN;F114;MELLE;4122
Nord Ovest;Lombardia;SO;F115;MELLO;14041
Nord Est;Veneto;TV;F116;SILEA;26081
Sud;Puglia;LE;F117;MELPIGNANO;75045
Nord Ovest;Lombardia;MI;F119;MELZO;15142
Nord Ovest;Lombardia;CO;F120;MENAGGIO;13145
Nord Ovest;Lombardia;PV;F122;MENCONICO;18089
Nord Ovest;Liguria;IM;F123;MENDATICA;8034
Sud;Calabria;CS;F125;MENDICINO;78079
Isole;Sicilia;AG;F126;MENFI;84023
Centro;Lazio;RM;F127;MENTANA;58059
Nord Est;Veneto;VE;F130;MEOLO;27022
Nord Ovest;Piemonte;AL;F131;MERANA;6093
Nord Ovest;Lombardia;LC;F133;MERATE;97048
Nord Ovest;Lombardia;VA;F134;MERCALLO;12101
Centro;Marche;PS;F135;MERCATELLO SUL METAURO;41025
Centro;Marche;PS;F136;MERCATINO CONCA;41026
Nord Est;Emilia-Romagna;RN;F137;NOVAFELTRIA;99023
Sud;Campania;SA;F138;MERCATO SAN SEVERINO;65067
Nord Est;Emilia-Romagna;FO;F139;MERCATO SARACENO;40020
Nord Ovest;Piemonte;TO;F140;MERCENASCO;1150
Sud;Campania;AV;F141;MERCOGLIANO;64049
Nord Est;Friuli- Venezia Giulia;UD;F144;MERETO DI TOMBA;30058
Centro;Marche;AN;F145;MERGO;42024
Nord Ovest;Piemonte;VB;F146;MERGOZZO;103044
Isole;Sicilia;ME;F147;MERI`;83047
Nord Est;Veneto;PD;F148;MERLARA;28053
Nord Ovest;Lombardia;LO;F149;MERLINO;98039
Nord Ovest;Lombardia;CO;F151;MERONE;13147
Sud;Puglia;BR;F152;MESAGNE;74010
Nord Ovest;Lombardia;SO;F153;MESE;14043
Nord Ovest;Lombardia;VA;F154;MESENZANA;12102
Nord Ovest;Lombardia;MI;F155;MESERO;15144
Nord Est;Emilia-Romagna;FE;F156;MESOLA;38014
Sud;Calabria;KR;F157;MESORACA;101015
Isole;Sicilia;ME;F158;MESSINA;83048
Nord Est;Veneto;PD;F161;MESTRINO;28054
Sud;Campania;NA;F162;META;63046
Nord Ovest;Lombardia;MI;F165;MEZZAGO;108031
Nord Ovest;Piemonte;BI;F167;MEZZANA MORTIGLIENGO;96033
Nord Ovest;Lombardia;PV;F170;MEZZANA BIGLI;18090
Nord Ovest;Lombardia;PV;F171;MEZZANA RABATTONE;18091
Nord Est;Veneto;VR;F172;MEZZANE DI SOTTO;23047
Nord Ovest;Liguria;GE;F173;MEZZANEGO;10034
Nord Ovest;Lombardia;PV;F175;MEZZANINO;18092
Nord Ovest;Piemonte;TO;F182;MEZZENILE;1152
Isole;Sicilia;PA;F184;MEZZOJUSO;82047
Nord Ovest;Lombardia;BG;F186;MEZZOLDO;16134
Nord Ovest;Piemonte;NO;F188;MEZZOMERICO;3097
Nord Ovest;Piemonte;BI;F189;MIAGLIANO;96034
Nord Est;Veneto;TV;F190;MIANE;26042
Nord Ovest;Piemonte;NO;F191;MIASINO;3098
Nord Ovest;Piemonte;VB;F192;MIAZZINA;103045
Centro;Lazio;RI;F193;MICIGLIANO;57037
Sud;Puglia;LE;F194;MIGGIANO;75046
Sud;Abruzzo;CH;F196;MIGLIANICO;69050
Sud;Calabria;CZ;F200;MIGLIERINA;79077
Sud;Basilicata;MT;F201;MIGLIONICO;77015
Nord Ovest;Liguria;GE;F202;MIGNANEGO;10035
Sud;Campania;CE;F203;MIGNANO MONTE LUNGO;61051
Nord Ovest;Lombardia;MI;F205;MILANO;15146
Isole;Sicilia;ME;F206;MILAZZO;83049
Sud;Calabria;VV;F207;MILETO;102021
Isole;Sardegna;OR;F208;MILIS;95027
Isole;Sicilia;CT;F209;MILITELLO I V D CATANIA;87025
Isole;Sicilia;ME;F210;MILITELLO ROSMARINO;83050
Nord Ovest;Liguria;SV;F213;MILLESIMO;9038
Isole;Sicilia;CT;F214;MILO;87026
Nord Ovest;Lombardia;BS;F216;MILZANO;17108
Isole;Sicilia;CT;F217;MINEO;87027
Nord Est;Veneto;VR;F218;MINERBE;23048
Nord Est;Emilia-Romagna;BO;F219;MINERBIO;37038
Sud;Puglia;BA;F220;MINERVINO MURGE;110006
Sud;Puglia;LE;F221;MINERVINO DI LECCE;75047
Sud;Campania;SA;F223;MINORI;65068
Centro;Lazio;LT;F224;MINTURNO;59014
Centro;Toscana;LU;F225;MINUCCIANO;46019
Nord Ovest;Liguria;SV;F226;MIOGLIA;9039
Nord Est;Veneto;VE;F229;MIRA;27023
Sud;Campania;AV;F230;MIRABELLA ECLANO;64050
Isole;Sicilia;CT;F231;MIRABELLA IMBACCARI;87028
Nord Ovest;Piemonte;AL;F232;MIRABELLO MONFERRATO;6094
Sud;Molise;CB;F233;MIRABELLO SANNITICO;70038
Nord Ovest;Lombardia;PV;F238;MIRADOLO TERME;18093
Sud;Molise;IS;F239;MIRANDA;94027
Nord Est;Emilia-Romagna;MO;F240;MIRANDOLA;36022
Nord Est;Veneto;VE;F241;MIRANO;27024
Isole;Sicilia;ME;F242;MIRTO;83051
Nord Ovest;Lombardia;BG;F243;MISANO DI GERA D`ADDA;16135
Nord Est;Emilia-Romagna;RN;F244;MISANO ADRIATICO;99005
Isole;Sicilia;PA;F246;MISILMERI;82048
Nord Ovest;Lombardia;MI;F247;MISINTO;108032
Nord Ovest;Lombardia;LC;F248;MISSAGLIA;97049
Sud;Basilicata;PZ;F249;MISSANELLO;76049
Isole;Sicilia;CT;F250;MISTERBIANCO;87029
Isole;Sicilia;ME;F251;MISTRETTA;83052
Nord Ovest;Piemonte;AT;F254;MOASCA;5063
Nord Ovest;Liguria;GE;F256;MOCONESI;10036
Nord Est;Emilia-Romagna;MO;F257;MODENA;36023
Isole;Sicilia;RG;F258;MODICA;88006
Nord Est;Emilia-Romagna;FO;F259;MODIGLIANA;40022
Nord Ovest;Lombardia;LO;F260;TAVAZZANO VILLAVESCO;98056
Isole;Sardegna;NU;F261;MODOLO;95084
Sud;Puglia;BA;F262;MODUGNO;72027
Nord Ovest;Lombardia;LC;F265;MOGGIO;97050
Nord Est;Friuli- Venezia Giulia;UD;F266;MOGGIO UDINESE;30059
Nord Ovest;Lombardia;MN;F267;MOGLIA;20035
Centro;Marche;MC;F268;MOGLIANO;43025
Nord Est;Veneto;TV;F269;MOGLIANO VENETO;26043
Isole;Sardegna;OR;F270;MOGORELLA;95028
Isole;Sardegna;OR;F271;RUINAS;95044
Isole;Sardegna;OR;F272;MOGORO;95029
Sud;Campania;BN;F274;MOIANO;62040
Nord Est;Friuli- Venezia Giulia;UD;F275;MOIMACCO;30060
Nord Ovest;Lombardia;BG;F276;MOIO DE` CALVI;16136
Isole;Sicilia;ME;F277;MOIO ALCANTARA;83053
Sud;Campania;SA;F278;MOIO DELLA CIVITELLA;65069
Nord Ovest;Piemonte;CN;F279;MOIOLA;4123
Sud;Puglia;BA;F280;MOLA DI BARI;72028
Nord Ovest;Piemonte;AL;F281;MOLARE;6095
