Area;Regione;Provincia;2022_CodCom;NTN 2022 fino a 50 mq;NTN  2022 50 -| 85 mq;NTN 2022 85 -| 115 mq;NTN  2022 115 -| 145 mq;NTN  2022 oltre 145 mq;NTN_2022
Nord Ovest;Lombardia;BG;A528;7;42,47;54,42;31,75;31,8;167,44
Nord Ovest;Lombardia;BS;A529;1;18;17,5;10;12;58,5
Nord Est;Friuli- Venezia Giulia;PN;A530;1;37,5;53,5;28,5;54,07;174,57
Nord Ovest;Lombardia;VA;A531;1;19,25;11;16;12,5;59,75
Nord Ovest;Lombardia;VA;A532;1;6;2;1;1;11
Nord Ovest;Lombardia;BG;A533;1;0;2,5;1;0;4,5
Nord Ovest;Piemonte;VB;A534;1;3;5;1;0;10
Sud;Campania;NA;A535;14,5;52,5;33,33;23,92;7,83;132,08
Nord Ovest;Liguria;IM;A536;7,5;7;7;3;2;26,5
Nord Ovest;Lombardia;PV;A538;0;0;3;3;3;9
Nord Est;Veneto;RO;A539;4,5;29,34;36,5;23,84;44,17;138,35
Nord Est;Veneto;VR;A540;3;8,28;7,5;9,17;11;38,95
Centro;Toscana;AR;A541;0,33;1;0;0;1,67;3
Sud;Calabria;CZ;A542;7;10,33;5,44;7,33;4;34,1
Sud;Calabria;RC;A544;0;1;0;0;1,67;2,67
Isole;Sicilia;PA;A546;34,9;113,87;111,79;111,17;77,97;449,7
Nord Est;Emilia-Romagna;RA;A547;5;54,17;33,88;31,67;74,76;199,48
Nord Ovest;Lombardia;PV;A550;0;3;0;1;6;10
Nord Est;Emilia-Romagna;RA;A551;0;12;7,5;6;4,5;30
Sud;Calabria;RC;A552;7,22;19,62;19,25;10,01;7,42;63,52
Nord Est;Friuli- Venezia Giulia;UD;A553;1;4;7,67;7;17;36,67
Nord Ovest;Piemonte;CN;A555;0;3;0;1;3,38;7,38
Nord Ovest;Lombardia;BG;A557;4;9;21;15,11;15,94;65,05
Centro;Toscana;LU;A560;6,05;24;24;22,83;38,89;115,77
Centro;Toscana;PT;A561;33,9;95,87;86,01;69,08;81,33;366,19
Centro;Toscana;PI;A562;12,67;48,32;113,8;91,92;107,71;374,42
Centro;Toscana;FI;A564;8;56,19;48,39;47,17;62,05;221,8
Nord Est;Emilia-Romagna;FO;A565;4;27,5;22,16;16;24,34;94
Sud;Campania;AV;A566;7;8,08;1;5;11,31;32,39
Sud;Molise;IS;A567;6;3;4,33;2;3;18,33
Nord Est;Veneto;PD;A568;0;4;11;3;14;32
Nord Ovest;Lombardia;BS;A569;5;38;30,67;36,78;39,25;149,7
Nord Ovest;Lombardia;CR;A570;2;26;22,5;17;15;82,5
Nord Ovest;Piemonte;CN;A571;27,04;41,58;23,5;13,44;30,5;136,06
Sud;Puglia;LE;A572;1;5;3;1;2;12
Nord Est;Emilia-Romagna;RE;A573;4,5;17;52,01;24,33;29,5;127,34
Nord Est;Veneto;RO;A574;2;2;3,5;3,5;7,17;18,17
Nord Ovest;Lombardia;MN;A575;5,67;24,75;24;11,46;31,33;97,21
Centro;Toscana;MS;A576;8;11,17;18;9;11,83;58
Centro;Lazio;VT;A577;9;6,5;7,5;11;13,2;47,2
Nord Ovest;Lombardia;BS;A578;4;17;12;6,67;12,5;52,17
Sud;Campania;CE;A579;0;0;3;0;6;9
Sud;Campania;AV;A580;1;1;5;4;7,2;18,2
Nord Ovest;Liguria;IM;A581;6,17;9,67;7;4;4;30,84
