AREA;Regione;prov;2016_CodCom;NTN 2016 fino a 50_mq;NTN 2016 50 -| 85 mq;NTN 2016 85 -| 115 mq;NTN 2016 115 -| 145 mq;NTN 2016 oltre 145 mq;NTN 2016_TOTALE
Nord Ovest;Lombardia;BG;I437;6,03;28,69;32,75;9,45;11;87,92
Nord Ovest;Lombardia;BG;I506;7;37,14;44,66;15,58;20,38;124,76
Nord Ovest;Lombardia;BG;I530;1,84;7,5;1,25;3,67;1;15,26
Nord Ovest;Lombardia;BG;I567;0;2;0;3,34;6,33;11,67
Nord Ovest;Lombardia;BG;I597;5;29,5;11;3;6;54,5
Nord Ovest;Lombardia;BG;I628;16,92;137,96;113,1;45;41,55;354,53
Nord Ovest;Lombardia;BG;I629;1,88;16,17;7,2;2,88;5,63;33,76
Nord Ovest;Lombardia;BG;I812;2,08;9,5;4,5;1;3,33;20,41
Nord Ovest;Lombardia;BG;I813;0;11;5;1;1,08;18,08
Nord Ovest;Lombardia;BG;I830;5;8,36;5;1;0;19,36
Nord Ovest;Lombardia;BG;I858;5;12,09;27,83;8,97;10,22;64,11
Nord Ovest;Lombardia;BG;I869;1;12;13,39;12,17;13,17;51,73
Nord Ovest;Lombardia;BG;I873;1;10,39;7;8,67;5,34;32,4
Nord Ovest;Lombardia;BG;I916;0;4,5;3;0,5;1;9
Nord Ovest;Lombardia;BG;I919;0;10,17;17;15;3;45,17
Nord Ovest;Lombardia;BG;I951;10;64,17;82,17;29;23,5;208,84
Nord Ovest;Lombardia;BG;I986;0;2;2;0;1;5
Nord Ovest;Lombardia;BG;I997;1;7;6;12;9,8;35,8
Nord Ovest;Lombardia;BG;L037;1;7;2,4;2,33;1;13,73
Nord Ovest;Lombardia;BG;L073;3;8;7;2;0;20
Nord Ovest;Lombardia;BG;L087;5;3,64;14,47;4,17;3;30,28
Nord Ovest;Lombardia;BG;L118;9,5;24,31;35,75;26,5;3;99,06
Nord Ovest;Lombardia;BG;L251;2;27,67;37,16;20,99;19,66;107,48
Nord Ovest;Lombardia;BG;L265;0;6;8,5;5,18;3,67;23,35
Nord Ovest;Lombardia;BG;L276;0;1;3;1,5;1,25;6,75
Nord Ovest;Lombardia;BG;L388;1;20;24,75;19,5;13;78,25
Nord Ovest;Lombardia;BG;L400;25;101,26;99,2;62,53;39,51;327,5
Nord Ovest;Lombardia;BG;L404;6;14,33;46;19,49;28,33;114,15
Nord Ovest;Lombardia;BG;L502;6;17,58;28,08;17,5;18,5;87,66
Nord Ovest;Lombardia;BG;L544;10,5;10,57;2;0,88;0;23,95
Nord Ovest;Lombardia;BG;L545;2,5;7,5;31,22;10;8,5;59,72
Nord Ovest;Lombardia;BG;L579;5;4;1;1;0,5;11,5
Nord Ovest;Lombardia;BG;L623;4;1,5;0;0;0,03;5,53
Nord Ovest;Lombardia;BG;L642;1,78;3;0;2;0;6,78
Nord Ovest;Lombardia;BG;L655;4;2;1,5;0;0;7,5
Nord Ovest;Lombardia;BG;L707;0;2;1;0;1;4
Nord Ovest;Lombardia;BG;L752;0;10;17;11,5;9,54;48,04
Nord Ovest;Lombardia;BG;L753;4,25;28,25;27;14,5;8,94;82,94
Nord Ovest;Lombardia;BG;L795;0,33;5;10,99;10,5;6,78;33,6
Nord Ovest;Lombardia;BG;L827;1;0;1;3;0;5
Nord Ovest;Lombardia;BG;L865;0;3;2;2;3;10
Nord Ovest;Lombardia;BG;L894;1;0,33;1;0,5;2,33;5,16
Nord Ovest;Lombardia;BG;L929;5;11,33;12;10;11,06;49,39
Nord Ovest;Lombardia;BG;L936;2;13,83;35,92;19,11;12;82,86
Nord Ovest;Lombardia;BG;L938;1;3;5,31;0,83;0;10,14
