AREA;REGIONE;PROVINCIA;2020_CodCom;NTN 2020 fino a 50 mq;NTN  2020 50 -| 85 mq;NTN 2020 85 -| 115 mq;NTN  2020 115 -| 145 mq;NTN  2020 oltre 145 mq;NTN 2020
Sud;Campania;SA;A484;0;1;1;1;3;6
Sud;Abruzzo;CH;A485;2;7,5;8,33;10;10,22;38,05
Centro;Lazio;FR;A486;2;5;4;4,2;11,5;26,7
Sud;Campania;SA;A487;0;1;0;0;0;1
Sud;Abruzzo;TE;A488;2;8,97;12,83;13,5;10,03;47,33
Sud;Campania;AV;A489;3,5;13;19,25;19;14;68,75
Centro;Umbria;TR;A490;0;1;2;4,5;5;12,5
Nord Est;Friuli- Venezia Giulia;UD;A491;0;2;2;6,86;10;20,86
Isole;Sardegna;NU;A492;0;0;0;1;2;3
Isole;Sicilia;SR;A494;16,33;136,56;98,69;122,17;63,66;437,41
Sud;Campania;SA;A495;0;0;2;1,5;2,5;6
Centro;Toscana;MS;A496;7;16,75;19,83;13,33;10,5;67,41
Nord Ovest;Piemonte;VB;A497;5,67;3,5;2,92;0;0;12,09
Nord Ovest;Liguria;IM;A499;1;2;3;0;1;7
