AREA;Regione;prov;2019_CodCom;NTN 2019 fino a 50 mq;NTN  2019 50 -| 85 mq;NTN 2019 85 -| 115 mq;NTN  2019 115 -| 145 mq;NTN  2019 oltre 145 mq;NTN 2019
Sud;Calabria;RC;B098;4;10,27;7,06;7;7;35,33
Sud;Calabria;RC;B099;7;7,39;5,33;5;3,33;28,05
Nord Ovest;Lombardia;BS;B100;1;6,63;6,51;2,43;6,5;23,07
Nord Ovest;Piemonte;CN;B101;4;18,9;15;8,5;20;66,4
Nord Ovest;Lombardia;BS;B102;2,5;24,16;34,16;10,83;15;86,65
Sud;Puglia;FG;B104;5;6;10;15,5;2;38,5
Nord Ovest;Lombardia;MI;B105;21,41;75,32;63;32,44;12,66;204,83
Nord Est;Veneto;PD;B106;0;11,5;5;6;13,5;36
Nord Est;Veneto;VR;B107;6;19,5;33,78;29,5;40,84;129,62
Nord Ovest;Piemonte;AL;B109;0;1;1;1;2;5
Nord Ovest;Lombardia;MN;B110;1;4;11;7,33;13,5;36,83
Nord Ovest;Piemonte;CN;B111;2,09;54,5;98,68;55,15;86,33;296,75
Nord Ovest;Lombardia;BG;B112;2;1;3,8;0;2,1;8,9
Centro;Lazio;RM;B114;19,1;74,02;52,47;28,73;30,07;204,39
Sud;Campania;SA;B115;2;2;6,5;4;6;20,5
Nord Ovest;Lombardia;PV;B117;0;3,5;1;3;3;10,5
Sud;Calabria;RC;B118;2;6;1,89;4;3;16,89
Nord Ovest;Lombardia;BS;B120;0;6;1;0;3,9;10,9
Nord Ovest;Piemonte;TO;B121;3,5;43,5;30,39;23;20;120,39
Nord Ovest;Lombardia;BG;B123;11;10,45;1;1,67;3;27,12
Nord Ovest;Lombardia;BS;B124;0;1;2;6,38;3;12,38
Nord Ovest;Lombardia;VA;B126;4;9,17;10;8;5,33;36,5
Nord Est;Veneto;TV;B128;0;14;19,39;17,17;21,5;72,06
Nord Ovest;Lombardia;CR;B129;1;9;12;7,5;21,5;51
Nord Ovest;Lombardia;VA;B131;0;1,01;2;2;1;6,01
Nord Est;Veneto;VI;B132;3;11;11;12;21,83;58,83
Nord Ovest;Lombardia;CO;B134;4;20,67;15,17;10;15,67;65,51
Nord Ovest;Lombardia;BG;B137;5;25,53;38,23;13;19,83;101,59
Nord Ovest;Lombardia;BG;B138;2;35,12;31,23;22,29;26,22;116,86
Nord Ovest;Lombardia;LO;B141;1;5,5;10;7,78;1;25,28
Nord Ovest;Lombardia;PV;B142;0;0;0;0;5,5;5,5
Nord Est;Veneto;VI;B143;2;13,75;19,79;12,67;26,17;74,38
Nord Ovest;Lombardia;CO;B144;0;7;8,5;3;2;20,5
Nord Ovest;Lombardia;BS;B149;6;5,5;7;4;5,17;27,67
Nord Ovest;Lombardia;VA;B150;0;2;3;6;3;14
Nord Est;Veneto;VR;B152;0;1;2;1;2,27;6,27
Nord Est;Veneto;VR;B154;14;19;14;8,5;11,3;66,8
Nord Est;Emilia-Romagna;RE;B156;2;8;12;6;13,17;41,17
Nord Ovest;Lombardia;BS;B157;193,79;829,56;820,25;456,71;427,4;2727,71
Nord Ovest;Lombardia;PV;B159;2;5;7,5;4;7,33;25,83
Nord Est;Veneto;VI;B161;2;8;9;0;3,1;22,1
Nord Ovest;Lombardia;MI;B162;33;188,03;106,29;26,42;13,92;367,66
Nord Ovest;Lombardia;VA;B166;3,33;24;6;7;7,83;48,16
Nord Ovest;Piemonte;CN;B167;0;1;1;0;1;3
Sud;Calabria;VV;B169;6;7,5;3;2;4;22,5
Nord Ovest;Piemonte;TO;B171;5;9,5;12;5,5;22,47;54,47
Nord Ovest;Lombardia;CO;B172;0;2;0,11;0;5;7,11
Sud;Basilicata;PZ;B173;0,5;2;2,67;2;1;8,17
Nord Ovest;Piemonte;CN;B175;0;1;2;0;0;3
Nord Ovest;Piemonte;NO;B176;1;5;7,17;6;7;26,17
Nord Ovest;Lombardia;BG;B178;5;22;20,83;9;10;66,83
Nord Ovest;Piemonte;AL;B179;0;0;0,5;1;4;5,5
Sud;Puglia;BR;B180;45;178,01;257,26;187,11;108,44;775,82
Sud;Basilicata;PZ;B181;1,5;2;1;0;0;4,5
Nord Ovest;Lombardia;VA;B182;1;4;2;0;1;8
Nord Ovest;Piemonte;NO;B183;0;1;1,25;1;11;14,25
Nord Ovest;Lombardia;BS;B184;0;3;1;2;2;8
Nord Ovest;Lombardia;MI;B187;0,33;10,5;19;8,5;7,5;45,83
Nord Est;Emilia-Romagna;RA;B188;1;20,33;9,3;12;21,5;64,13
Nord Ovest;Lombardia;VA;B191;2;3;1;0;11;17
Nord Ovest;Valle d'Aosta;AO;B192;0;0;4;3;2;9
Sud;Abruzzo;PE;B193;0;0;0;0;1;1
Nord Ovest;Lombardia;LC;B194;1;9;10,5;8;8;36,5
Centro;Lazio;FR;B195;0;1;1;2;4;8
Nord Est;Veneto;VI;B196;0;4,3;15,6;7;12,33;39,23
Sud;Calabria;VV;B197;0;0;0;0;2;2
Isole;Sicilia;ME;B198;6,5;17,87;11,33;4,05;1;40,75
Nord Ovest;Piemonte;CN;B200;1;1;3;1;0;6
Nord Ovest;Lombardia;PV;B201;6,04;31,04;39,5;16,33;14,5;107,41
Isole;Sicilia;CT;B202;12;33,82;17,37;14,78;16,3;94,27
Nord Ovest;Piemonte;CN;B204;4;6,5;1,25;1,17;2,34;15,26
Nord Ovest;Piemonte;TO;B205;4;2;3;0;3,5;12,5
Nord Ovest;Piemonte;VB;B207;1;3;3;1;0;8
Nord Ovest;Piemonte;TO;B209;1;0;0;4;4,33;9,33
