AREA;Regione;prov;2018_CodCom;NTN_2018_Box;NTN_2018_Depositi_Pert
Nord Est;Emilia-Romagna;PC;D611;191,6;64,12
Centro;Toscana;FI;D612;2015,57;595,57
Centro;Toscana;FI;D613;26,34;3,08
Sud;Calabria;CS;D614;2;1
Sud;Campania;SA;D615;66;32,41
Nord Est;Emilia-Romagna;MO;D617;14,5;9
Sud;Calabria;RC;D619;0;0
Nord Est;Friuli- Venezia Giulia;PN;D621;102,84;11,66
Isole;Sicilia;ME;D622;1;0
Isole;Sicilia;CT;D623;36,89;7
Sud;Calabria;CS;D624;3;2
Centro;Marche;MC;D628;1;2
Centro;Toscana;MS;D629;6;18,83
Nord Est;Friuli- Venezia Giulia;UD;D630;3;1
Nord Ovest;Lombardia;BS;D634;87,5;3
Isole;Sicilia;ME;D635;2;1
Isole;Sicilia;SR;D636;58,17;9
Isole;Sardegna;SS;D637;0;1,83
Sud;Campania;AV;D638;4;1
Isole;Sardegna;CA;D639;0;0
Isole;Sardegna;NU;D640;2;1
Nord Ovest;Piemonte;VC;D641;0;0
Sud;Puglia;FG;D643;736,77;143,3
Sud;Campania;BN;D644;0;0
Nord Ovest;Piemonte;TO;D646;8;0
Centro;Toscana;AR;D649;23,37;3
Sud;Campania;BN;D650;2;1
Centro;Marche;AP;D652;51,67;9,5
Centro;Umbria;PG;D653;356,33;57,56
Nord Est;Veneto;TV;D654;15,75;0,5
Nord Ovest;Liguria;SP;D655;22;13,01
Centro;Toscana;GR;D656;181,77;27,66
Nord Ovest;Lombardia;LO;D660;12;1,13
Isole;Sicilia;ME;D661;0;2
Centro;Lazio;LT;D662;32,41;34,83
Isole;Sardegna;NU;D665;3;0
Nord Ovest;Valle d'Aosta;AO;D666;2;5
Centro;Lazio;FR;D667;1;1
Nord Est;Emilia-Romagna;BO;D668;10,67;2
Nord Est;Friuli- Venezia Giulia;PN;D670;132,76;22,67
Sud;Campania;AV;D671;1,67;3
Nord Ovest;Lombardia;BG;D672;35,08;2
Nord Est;Emilia-Romagna;PR;D673;56,58;6,5
Nord Est;Veneto;TV;D674;40;7
Nord Ovest;Piemonte;NO;D675;10;3
Nord Ovest;Piemonte;VC;D676;6;1
