AREA;Regione;prov;2018_CodCom;NTN_2018_Uffici;NTN_2018_Negozi_Lab;NTN_2018_Depositi_Comm_Autorimesse;NTN_2018_TCO_B04;NTN_2018_TCO_D02;NTN_2018_TCO_D05;NTN_2018_TCO_D08;NTN_2018_PRO;NTN_2018_AGR
Nord Ovest;Piemonte;BI;F833;0;0;1;0;0;0;0;0;1
Nord Est;Veneto;VI;F838;0;0;1,33;0;0;0;0;0;0
Sud;Campania;NA;F839;174,45;606,46;354,92;1;2,5;2;34,05;32,75;1,5
Isole;Sardegna;OR;F840;0;0;3;0;0;0;0;0;0
Isole;Sardegna;CA;F841;0;0,8;1;0;0;0;0;0;0
Sud;Puglia;LE;F842;3;14,47;26,83;0;1,29;1;0;14;0
Sud;Calabria;VV;F843;0;0;0;0;0;0;0;0;0
Centro;Umbria;TR;F844;4,39;0,54;28,37;0;0;0;1;14,5;1
Isole;Sicilia;AG;F845;0;2;48,84;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;F846;0;0;10;0;0;0;0;1;0
Nord Ovest;Liguria;SV;F847;0;1;1,5;0;0;0;0;0;0
Isole;Sicilia;ME;F848;0;1,9;4;0;0;0;0;1;0
Nord Ovest;Lombardia;BS;F851;1;1;8,33;0;0;0;0;4;0
Sud;Abruzzo;AQ;F852;0;0;4;0;0;0;0;0;0
Centro;Lazio;RM;F857;0;0;4;0;0;0;0;1;0
Nord Ovest;Liguria;GE;F858;0;0;6;0;0;0;0;0;0
Nord Ovest;Piemonte;NO;F859;0;0;4;0;0;0;0;0;0
Nord Est;Veneto;VR;F861;1;7;34,5;0;0;0;0,5;2;0,62
Nord Ovest;Liguria;GE;F862;0;1;9;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;F863;0;4;1,13;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;F864;1;4;15,92;0;0;0;2;8;0
Centro;Lazio;RM;F865;1;1,17;5;0;0;0;0;0;0
Sud;Basilicata;PZ;F866;0;0;2;0;0;0;0;0;0
Isole;Sardegna;OR;F867;0;0;0;0;0;0;0;0;0
Centro;Lazio;VT;F868;0;6;13,26;0;0;0;0;0;1
Sud;Abruzzo;TE;F870;0;0,5;0,33;0;0;0;1;1;0
Centro;Lazio;RM;F871;0;0;3;0;0;0;0;1;0
Nord Est;Veneto;TV;F872;0;1;7,67;0;0;0;0;5;0
Nord Ovest;Lombardia;MI;F874;3;8,14;14,67;0;0;0;0;6,02;0
Centro;Lazio;RI;F876;0;0;1,67;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;F877;0;1;0;0;0;0;0;0;1
Nord Ovest;Piemonte;BI;F878;0;1;4;0;0;0;0;0;0
Centro;Lazio;RM;F880;5,5;20;34,31;0;0;1;0;6;1
Sud;Puglia;LE;F881;0;2;8;0;0;0;0;0;0
Nord Est;Emilia-Romagna;PR;F882;0;0;13,67;0;0;0;0;3,17;1
Nord Ovest;Piemonte;CN;F883;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;F884;0;0;1,25;0;0;0;0;0;0
Nord Ovest;Piemonte;NO;F886;0;1;3,5;0;0;0;0;0;0,19
Nord Ovest;Lombardia;LC;F887;1;1;3,5;0;0;0;0;1;0
Nord Ovest;Piemonte;TO;F889;8;19,25;25,75;0;0;0;0;19,33;1
Isole;Sicilia;CT;F890;0,5;4;5;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;F891;0;0;2;0;0;0;0;0;0
Isole;Sicilia;EN;F892;1;6;13;0;0;0;0;0;0,17
Sud;Calabria;VV;F893;0;2;5;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;F894;0;0;0;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;F895;0;0;3;0;0;0;0;6;0
Nord Est;Friuli- Venezia Giulia;UD;F898;0;0;2;1;0;0;0;0;0
Isole;Sicilia;CL;F899;1;6;11,8;0;0;0;0;0;0
Isole;Sicilia;EN;F900;0;2;5,6;0;0;0;0;0;0
Isole;Sicilia;ME;F901;0;5;3,63;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;F902;1;10;19,11;0;0;0;0;8,25;3
Nord Est;Veneto;VE;F904;2;7;17,44;0;0;0;1;5;1
Nord Ovest;Piemonte;TO;F906;0;0;2;0;0;0;0;0;0
Sud;Calabria;CS;F907;0;0;0;0;0;0;0;0;0
Sud;Abruzzo;PE;F908;0;1;3;0;0;0;0;0;0
Sud;Calabria;CZ;F910;0;5;7;0;0;0;0;0;0
Centro;Umbria;PG;F911;0;3;9,45;0;0;0;0;0;0
Sud;Campania;SA;F912;6,17;31,93;23,88;0;0;1;0,5;3;0
Sud;Campania;SA;F913;0;17;15,16;0;0;0;6;0;0
Nord Est;Emilia-Romagna;PR;F914;3;4;8;0;0;0;2;3;4
Sud;Puglia;BA;F915;6;7;38,8;0;0;0;3;4;5
Sud;Puglia;LE;F916;0;1;4;0;0;0;0;2;0
Sud;Basilicata;PZ;F917;0;0;0;0;0;0;0;0;0
Nord Est;Veneto;VR;F918;0,84;2,67;9,84;1;0;0;0;2;3
Nord Est;Veneto;VR;F921;0;2,83;7,05;0;0;0;2;14,72;2,44
Nord Est;Veneto;VI;F922;0;0;4,19;0;0;0;0;0;0
Sud;Puglia;BA;F923;2;14;36,88;0;0;0;0;3;0
Sud;Campania;NA;F924;6;18,99;26,97;0;0;0;16;5;0
Nord Ovest;Piemonte;TO;F925;0;1,33;8,17;0;0;0;0;1;0
Nord Ovest;Liguria;SV;F926;1;3;2,5;0;2;0;0;0;0
Nord Ovest;Piemonte;TO;F927;0;0;0,5;0;0;0;0;0;0
Nord Est;Emilia-Romagna;MO;F930;1;1,33;15,45;0;0;0;1,33;8;2,51
Nord Ovest;Piemonte;TO;F931;0;1;9,5;0;0;0;0;7;2,5
Nord Ovest;Piemonte;VB;F932;0;0,5;2;0;0;0;0;0;0
Isole;Sardegna;NU;F933;0;0;0;0;0;0;0;0;1,6
Isole;Sardegna;OR;F934;0;0;1;0;0;0;0;0;0
Centro;Umbria;PG;F935;0;0;11;0;0;0;0;0;0
Centro;Lazio;LT;F937;0;1;4;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;F939;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;F941;1;0;1;0;0;0;0;0;0
Sud;Abruzzo;TE;F942;0;9;8,5;0;0;0;0;2;0
Isole;Sicilia;SR;F943;0;12,97;66,77;0;0;0;1;9;13,5
Nord Ovest;Lombardia;MI;F944;5;10;10,67;0;0;0;2;11,59;0
Nord Ovest;Piemonte;TO;F948;0;0;2;0;0;0;0;0;0
Isole;Sicilia;ME;F951;0;1;0,67;0;0;0;0;0;0
Nord Ovest;Piemonte;NO;F952;27,5;63,19;56,25;0;1;1;7;3,33;1,25
Nord Ovest;Lombardia;MI;F955;1;90,33;9,13;0;0;0;3;10;0
Nord Ovest;Lombardia;SO;F956;0;0;8,34;0;0;0;0;0;0
Nord Est;Veneto;VI;F957;1;2;4;0;0;0;0;1;0
Nord Ovest;Lombardia;CO;F958;0;1;2;0;0;0;0;2;0
Nord Est;Emilia-Romagna;RE;F960;1;2,6;16,5;0;0;0;2;3,3;2,2
Nord Ovest;Piemonte;CN;F961;0;0;6,5;0;0;0;0;6;1
Nord Est;Veneto;PD;F962;7,55;7,33;5,63;0;0;0;1;4;0
Nord Est;Veneto;VE;F963;1;5;7,83;0;0;0;4;8;1,5
Nord Est;Veneto;VI;F964;0;6,17;8;0;0;0;0;2;1
Nord Ovest;Piemonte;AL;F965;2;4;18;0;0;0;1;13;0
Nord Est;Emilia-Romagna;MO;F966;1;7,33;6,66;0;0;0;1;3;2
Sud;Campania;SA;F967;0;0;0;0;1;0;0;0;0
Nord Ovest;Lombardia;MI;F968;0;0;1;0;0;0;1;0;0
Sud;Puglia;LE;F970;0;0;2,5;0;0;0;0;2;0
Nord Ovest;Piemonte;CN;F972;0;0;2;0;0;0;0;0;0
Isole;Sardegna;OR;F974;0;0;0;0;0;0;0;0;0
Isole;Sardegna;SS;F975;0;1;2;0;0;0;0;0,08;1
Isole;Sardegna;SS;F976;0;1;1;0;0;0;0;0;0
Isole;Sardegna;SS;F977;0;0;5;0;0;0;0;0;0
Centro;Marche;AN;F978;0;5,03;3,67;0;0;0;1;0;0
