AREA;Regione;prov;2011_CodCom;NTN 2011 fino a 50 mq;NTN 2011  50 -| 85 mq;NTN 2011  85 -| 115 mq;NTN 2011 115 -| 145 mq;NTN 2011 oltre 145 mq;NTN 2011
Nord Est;Emilia-Romagna;BO;G972;13;46,75;36,46;29,5;27;152,71
Nord Est;Emilia-Romagna;BO;H678;5;20,6;22,5;8;14,8;70,9
Nord Est;Emilia-Romagna;BO;H896;2;29,5;31,5;19,1;15;97,1
Nord Est;Emilia-Romagna;BO;H945;20,5;139,4;147,75;42,87;39,93;390,45
Nord Est;Emilia-Romagna;BO;I110;7;63,38;42,89;17;13,13;143,4
Nord Est;Emilia-Romagna;BO;I191;5,5;48,17;17,42;9,72;6,44;87,25
Nord Est;Emilia-Romagna;BO;I474;1;15,5;6,5;4;10,33;37,33
Nord Est;Emilia-Romagna;BO;L762;5,18;36,91;25,75;12;3,12;82,96
Nord Est;Emilia-Romagna;BO;M185;11,17;89,5;86,4;35,93;14;237
Nord Est;Emilia-Romagna;FE;A393;5;46,75;54,16;30,44;50,2;186,55
Nord Est;Emilia-Romagna;FE;A806;1;5,5;7;2,5;10,33;26,33
Nord Est;Emilia-Romagna;FE;A965;1,01;25;27,72;19,59;14,17;87,49
Nord Est;Emilia-Romagna;FE;C469;16,02;140,39;102,93;64,42;60,48;384,24
Nord Est;Emilia-Romagna;FE;C814;1,17;20,2;18,5;30,83;14,13;84,83
Nord Est;Emilia-Romagna;FE;C912;304,29;540,36;106,89;35,57;25,5;1012,61
Nord Est;Emilia-Romagna;FE;C980;9;40,5;38,38;22,27;34,52;144,67
Nord Est;Emilia-Romagna;FE;D548;144,49;485,03;452,86;216,21;240,09;1538,68
Nord Est;Emilia-Romagna;FE;D713;2;11;5,5;4;5,83;28,33
Nord Est;Emilia-Romagna;FE;E107;2;9,28;10,51;4;6,5;32,29
Nord Est;Emilia-Romagna;FE;E320;1;1,67;8,63;3;11,17;25,47
Nord Est;Emilia-Romagna;FE;E410;4;7,05;18,39;20,83;7,5;57,77
Nord Est;Emilia-Romagna;FE;F016;0,25;1,5;4,17;1,4;3,58;10,9
Nord Est;Emilia-Romagna;FE;F026;1;11,66;8,17;12;4;36,83
Nord Est;Emilia-Romagna;FE;F156;3;12;10,11;12;15,17;52,28
Nord Est;Emilia-Romagna;FE;F198;1;17;9,5;2;9;38,5
Nord Est;Emilia-Romagna;FE;F199;1;2;2;3;4,1;12,1
Nord Est;Emilia-Romagna;FE;F235;0,17;3,17;6,5;4,5;5,67;20,01
Nord Est;Emilia-Romagna;FE;G184;3;10,5;13,12;7;9,65;43,27
Nord Est;Emilia-Romagna;FE;G768;1,17;48,25;46,24;33,39;12,47;141,52
Nord Est;Emilia-Romagna;FE;G916;0,67;14;25,5;32,3;16,75;89,22
Nord Est;Emilia-Romagna;FE;H360;1;2;6,5;2,33;12,67;24,5
Nord Est;Emilia-Romagna;FE;I209;1,5;10,7;17,79;15,75;8;53,74
Nord Est;Emilia-Romagna;FE;L390;2;14;21,4;13;15;65,4
Nord Est;Emilia-Romagna;FE;L868;2;12;28,5;31,69;14,3;88,49
Nord Est;Emilia-Romagna;FE;M110;1;1,5;4;7,8;4,77;19,07
Nord Est;Emilia-Romagna;FO;A565;2,75;21;12;13;17,21;65,96
Nord Est;Emilia-Romagna;FO;A809;7;38,3;19,58;11;10,75;86,63
Nord Est;Emilia-Romagna;FO;B001;1;20;6;1;4;32
Nord Est;Emilia-Romagna;FO;C339;3;11;12;8;10,5;44,5
Nord Est;Emilia-Romagna;FO;C573;77,34;303;258,89;101,36;143,02;883,61
Nord Est;Emilia-Romagna;FO;C574;82,01;151,98;63;32,25;44,75;373,99
Nord Est;Emilia-Romagna;FO;C777;3;6,66;8,44;5;8,86;31,96
Nord Est;Emilia-Romagna;FO;D357;0;5,17;3,33;1;1,76;11,26
Nord Est;Emilia-Romagna;FO;D704;77;358,41;302,52;185,45;141,74;1065,12
Nord Est;Emilia-Romagna;FO;D705;10;44,25;34,5;18;12,75;119,5
Nord Est;Emilia-Romagna;FO;D867;2;6,67;6,17;7,75;1;23,59
Nord Est;Emilia-Romagna;FO;D899;5;29,75;29,17;15,17;12,32;91,41
Nord Est;Emilia-Romagna;FO;D935;6,02;67,66;30,5;16,14;10,47;130,79
Nord Est;Emilia-Romagna;FO;E675;1;10;16,8;10,5;16,37;54,67
Nord Est;Emilia-Romagna;FO;F097;6;27,33;29,33;17,89;15,37;95,92
Nord Est;Emilia-Romagna;FO;F139;7;21,92;25,17;10,17;13,42;77,68
Nord Est;Emilia-Romagna;FO;F259;5;9;4,48;4,33;5,83;28,64
Nord Est;Emilia-Romagna;FO;F668;2;1;3,18;2;1,94;10,12
Nord Est;Emilia-Romagna;FO;G904;1;3,5;3,19;0;3,72;11,41
Nord Est;Emilia-Romagna;FO;H017;4;12,25;9;9;8,5;42,75
Nord Est;Emilia-Romagna;FO;H034;1;3,67;1;2;4;11,67
Nord Est;Emilia-Romagna;FO;H437;3,6;5;4;1;3,44;17,04
Nord Est;Emilia-Romagna;FO;H542;0;2;3,28;1;7;13,28
Nord Est;Emilia-Romagna;FO;I027;9;56;59,5;22,02;14,34;160,86
Nord Est;Emilia-Romagna;FO;I310;1;9,33;12;3;4,83;30,16
Nord Est;Emilia-Romagna;FO;I444;1;3,5;6;3;4,23;17,73
Nord Est;Emilia-Romagna;FO;I472;17,59;80,21;43,57;12,17;9,97;163,51
Nord Est;Emilia-Romagna;FO;I779;1;9;6,25;3,75;3,64;23,64
Nord Est;Emilia-Romagna;FO;L361;1;6;2;0;3;12
Nord Est;Emilia-Romagna;FO;L764;2;8,23;5,5;1,5;6,65;23,88
Nord Est;Emilia-Romagna;MO;A713;0;19,5;15,5;4;2;41
Nord Est;Emilia-Romagna;MO;A959;1;45,5;37;24;23;130,5
Nord Est;Emilia-Romagna;MO;B539;2,83;19;25,22;6,5;8,22;61,77
Nord Est;Emilia-Romagna;MO;B566;0;14;8;6,33;5;33,33
Nord Est;Emilia-Romagna;MO;B819;26,5;180,15;206,95;113,69;109,57;636,86
Nord Est;Emilia-Romagna;MO;C107;19;147,66;90,14;38,72;44,5;340,02
Nord Est;Emilia-Romagna;MO;C242;3;40,42;56,5;36,5;25,15;161,57
Nord Est;Emilia-Romagna;MO;C287;7;30,33;35;13,1;24,67;110,1
Nord Est;Emilia-Romagna;MO;C398;2;8,33;19,83;12,5;17,5;60,16
Nord Est;Emilia-Romagna;MO;C951;1;19;9,67;6,88;18,06;54,61
Nord Est;Emilia-Romagna;MO;D486;12,5;16,5;15,5;4,5;5,33;54,33
Nord Est;Emilia-Romagna;MO;D599;7,66;40,5;32,78;26,01;33,38;140,33
Nord Est;Emilia-Romagna;MO;D607;3,72;63,22;64,72;22,83;24,97;179,46
Nord Est;Emilia-Romagna;MO;D617;10;18,5;13,5;2;0,63;44,63
Nord Est;Emilia-Romagna;MO;D711;14;148,05;107,99;50,67;52,63;373,34
Nord Est;Emilia-Romagna;MO;D783;4,5;10,5;4,67;6,58;7,17;33,42
Nord Est;Emilia-Romagna;MO;E264;1;9,33;8;5,22;10,53;34,08
Nord Est;Emilia-Romagna;MO;E426;4;4,83;7,66;4;9,08;29,57
Nord Est;Emilia-Romagna;MO;E904;2;42,5;55,42;29,67;16,36;145,95
Nord Est;Emilia-Romagna;MO;E905;1;15,5;23,5;11,5;10,25;61,75
Nord Est;Emilia-Romagna;MO;F087;0;8,5;17,67;10;15,83;52
Nord Est;Emilia-Romagna;MO;F240;4;76,32;82,68;39,5;44,06;246,56
Nord Est;Emilia-Romagna;MO;F257;128,66;500,83;546,82;360,08;260,74;1797,13
Nord Est;Emilia-Romagna;MO;F357;11,25;30,99;19,57;16,77;31,69;110,27
Nord Est;Emilia-Romagna;MO;F484;6;9;3,3;4;3;25,3
Nord Est;Emilia-Romagna;MO;F503;2;7;6;2,75;5,67;23,42
Nord Est;Emilia-Romagna;MO;F642;4,5;5;3;6,25;3,67;22,42
Nord Est;Emilia-Romagna;MO;F930;6;73;54,44;19,78;20,3;173,52
Nord Est;Emilia-Romagna;MO;F966;1,5;9;15,33;16,84;17,27;59,94
Nord Est;Emilia-Romagna;MO;G250;1;4;2;3,66;6,98;17,64
Nord Est;Emilia-Romagna;MO;G393;13,33;55,33;47,64;31,05;25,51;172,86
Nord Est;Emilia-Romagna;MO;G649;5,5;22,5;8;4;5;45
Nord Est;Emilia-Romagna;MO;G789;2,5;1;3,72;1;3,5;11,72
Nord Est;Emilia-Romagna;MO;H061;3;9;9,92;14,16;7,6;43,68
Nord Est;Emilia-Romagna;MO;H195;3;19,5;12;4,17;7,33;46
Nord Est;Emilia-Romagna;MO;H303;5,67;9,76;4,67;0;0,5;20,6
Nord Est;Emilia-Romagna;MO;H794;2;28,35;35,83;7;12;85,18
Nord Est;Emilia-Romagna;MO;H835;3;27,34;26,7;24;15,32;96,36
Nord Est;Emilia-Romagna;MO;I128;0;4;4;3,97;2,5;14,47
Nord Est;Emilia-Romagna;MO;I133;0;27,2;33,36;14,17;18,07;92,8
Nord Est;Emilia-Romagna;MO;I462;13;88,7;132,66;68,42;40,21;342,99
Nord Est;Emilia-Romagna;MO;I473;0;16;19,95;13,17;6,6;55,72
Nord Est;Emilia-Romagna;MO;I689;9,83;24,17;12,22;2,33;4,17;52,72
Nord Est;Emilia-Romagna;MO;I802;3;55,67;29,5;24,58;25,42;138,17
Nord Est;Emilia-Romagna;MO;I903;4,4;34;26,51;11,67;20,64;97,22
Nord Est;Emilia-Romagna;MO;L885;7,5;60,52;76,59;34,39;22,34;201,34
Nord Est;Emilia-Romagna;MO;M183;9;17,34;14,33;9;9;58,67
Nord Est;Emilia-Romagna;PC;A067;0;8;1;3;8,5;20,5
Nord Est;Emilia-Romagna;PC;A223;1;10;14;12,5;9,65;47,15
Nord Est;Emilia-Romagna;PC;A823;0;1;1;0;0,92;2,92
Nord Est;Emilia-Romagna;PC;A831;6,17;15,23;6,56;8;10,55;46,51
Nord Est;Emilia-Romagna;PC;A909;5;20,03;15,39;10,83;8,73;59,98
Nord Est;Emilia-Romagna;PC;B025;1;11,5;17,29;14;21,5;65,29
Nord Est;Emilia-Romagna;PC;B332;0;9;10;10,17;8,16;37,33
Nord Est;Emilia-Romagna;PC;B405;1;2,5;5;5,67;9,69;23,86
Nord Est;Emilia-Romagna;PC;B479;0;1;0;1;0;2
Nord Est;Emilia-Romagna;PC;B643;0;6;18,5;5,4;18,51;48,41
Nord Est;Emilia-Romagna;PC;B812;1;14,79;20,46;11,17;40,17;87,59
Nord Est;Emilia-Romagna;PC;C145;0;8;9,86;14,5;15,5;47,86
Nord Est;Emilia-Romagna;PC;C261;3;34,5;50,92;20,55;46,72;155,69
Nord Est;Emilia-Romagna;PC;C288;3;7,11;19,81;14,5;25;69,42
Nord Est;Emilia-Romagna;PC;C513;1;3,8;1;0;0;5,8
Nord Est;Emilia-Romagna;PC;C838;2;5,5;4;4;1,75;17,25
Nord Est;Emilia-Romagna;PC;D054;1,89;1;3,75;0;0,5;7,14
Nord Est;Emilia-Romagna;PC;D061;2;8;10,93;14;7,92;42,85
Nord Est;Emilia-Romagna;PC;D502;1,67;7,5;9,1;0,22;2,8;21,29
Nord Est;Emilia-Romagna;PC;D555;6;17,83;7,34;5,76;2,34;39,27
Nord Est;Emilia-Romagna;PC;D611;6;34,14;51,11;35,87;32,38;159,5
Nord Est;Emilia-Romagna;PC;D958;1;13;6;7,83;13,5;41,33
Nord Est;Emilia-Romagna;PC;E114;4;25;17;20;18,75;84,75
Nord Est;Emilia-Romagna;PC;E132;1,38;20;13,5;9;10,9;54,78
Nord Est;Emilia-Romagna;PC;E196;6,5;5,5;6,86;5;14;37,86
Nord Est;Emilia-Romagna;PC;E726;0,5;10,84;11;6;8,83;37,17
Nord Est;Emilia-Romagna;PC;F671;2;11,34;17;11,17;22,38;63,89
Nord Est;Emilia-Romagna;PC;F724;3;3,71;2;0,5;8,59;17,8
Nord Est;Emilia-Romagna;PC;F885;0;5;4;4,87;7,5;21,37
Nord Est;Emilia-Romagna;PC;G195;0;3,5;6;2,5;0;12
Nord Est;Emilia-Romagna;PC;G399;1,75;4,75;6,75;3;0,5;16,75
Nord Est;Emilia-Romagna;PC;G535;112,86;359,33;365,87;193,23;148,23;1179,52
Nord Est;Emilia-Romagna;PC;G557;0;5;8;4;10,17;27,17
Nord Est;Emilia-Romagna;PC;G696;0;0;2;2;6;10
Nord Est;Emilia-Romagna;PC;G747;0;22;35,75;14,67;25,67;98,09
Nord Est;Emilia-Romagna;PC;G788;1;0;0;1,25;4,24;6,49
Nord Est;Emilia-Romagna;PC;G842;2;8;11;6;10,89;37,89
Nord Est;Emilia-Romagna;PC;G852;1;19,75;31,5;12,25;17,5;82
Nord Est;Emilia-Romagna;PC;H350;0;23,92;29,01;24,4;18;95,33
Nord Est;Emilia-Romagna;PC;H593;11;40;54;26,25;26,75;158
Nord Est;Emilia-Romagna;PC;H887;3,33;7;11,08;13,33;18,92;53,66
Nord Est;Emilia-Romagna;PC;I434;2;2,5;9,26;6;7;26,76
Nord Est;Emilia-Romagna;PC;L348;7,49;13,67;17,5;7,12;11,54;57,32
Nord Est;Emilia-Romagna;PC;L772;3,34;11,42;1,75;4;4,14;24,65
Nord Est;Emilia-Romagna;PC;L848;2;2;8,17;3,17;11,01;26,35
Nord Est;Emilia-Romagna;PC;L897;0;6,53;16,6;4,67;13,5;41,3
Nord Est;Emilia-Romagna;PC;L980;0;1;1;3;4;9
Nord Est;Emilia-Romagna;PC;M165;0;2;0;0;0;2
Nord Est;Emilia-Romagna;PR;A138;1,5;6;5,17;6;12,22;30,89
Nord Est;Emilia-Romagna;PR;A646;2;3,5;7,75;8,58;13,58;35,41
Nord Est;Emilia-Romagna;PR;A731;7;6,5;6;7,67;5;32,17
Nord Est;Emilia-Romagna;PR;A788;6,5;14,17;16,75;8,5;10,25;56,17
Nord Est;Emilia-Romagna;PR;A987;1;0;0,33;2;5,14;8,47
Nord Est;Emilia-Romagna;PR;B034;11;89,24;106,05;51,16;45,46;302,91
Nord Est;Emilia-Romagna;PR;B042;5,1;25,33;24,34;22,5;20,5;97,77
Nord Est;Emilia-Romagna;PR;B293;2;15;8,75;12;15,25;53
Nord Est;Emilia-Romagna;PR;B408;0;5;3,17;2;3;13,17
Nord Est;Emilia-Romagna;PR;C852;9;52,28;42,93;31,54;24,59;160,34
Nord Est;Emilia-Romagna;PR;C904;4;27,5;19;8;18,57;77,07
Nord Est;Emilia-Romagna;PR;C934;0;2;4,03;3,2;1;10,23
Nord Est;Emilia-Romagna;PR;D026;7;10;12;6,84;6,5;42,34
Nord Est;Emilia-Romagna;PR;D526;1;23;24,08;22,17;23,17;93,42
Nord Est;Emilia-Romagna;PR;D673;6;16;21,83;7;7,24;58,07
Nord Est;Emilia-Romagna;PR;D685;2;18,01;14,64;8,2;10,03;52,88
Nord Est;Emilia-Romagna;PR;D728;2,83;9;18;7,33;8,42;45,58
Nord Est;Emilia-Romagna;PR;E438;3;27,5;38,5;13,5;19;101,5
Nord Est;Emilia-Romagna;PR;E547;3;28;31,5;16,5;25;104
Nord Est;Emilia-Romagna;PR;E548;0;1;0;1;4;6
Nord Est;Emilia-Romagna;PR;F082;1;20,3;47,52;18,25;17,5;104,57
Nord Est;Emilia-Romagna;PR;F174;2;16;12,5;8;11,67;50,17
Nord Est;Emilia-Romagna;PR;F340;2,5;7,72;3,33;2,5;1;17,05
Nord Est;Emilia-Romagna;PR;F473;7;58,17;38,75;20;20;143,92
Nord Est;Emilia-Romagna;PR;F882;2,25;11;8,07;7,5;23,5;52,32
Nord Est;Emilia-Romagna;PR;F914;8;55,61;52,94;26,5;29,17;172,22
Nord Est;Emilia-Romagna;PR;G255;2;1;2;1;4,22;10,22
Nord Est;Emilia-Romagna;PR;G337;287,86;923,58;872,17;309,19;253,95;2646,75
Nord Est;Emilia-Romagna;PR;G424;0;7;2,5;4,66;9,5;23,66
Nord Est;Emilia-Romagna;PR;G783;1;1;1;3;6,34;12,34
Nord Est;Emilia-Romagna;PR;H384;0;5;3;0;13,65;21,65
Nord Est;Emilia-Romagna;PR;H682;6;26,5;32;9;23;96,5
Nord Est;Emilia-Romagna;PR;H720;20;58,92;72,5;24,5;46,35;222,27
Nord Est;Emilia-Romagna;PR;I153;2;14;14,08;2;20,42;52,5
Nord Est;Emilia-Romagna;PR;I763;3,67;4;2;6,5;18,08;34,25
Nord Est;Emilia-Romagna;PR;I803;2;7,1;11,67;5,3;7,32;33,39
Nord Est;Emilia-Romagna;PR;I840;1;9,38;11,5;9,32;14,2;45,4
Nord Est;Emilia-Romagna;PR;I845;2;35,5;46;16,5;16;116
Nord Est;Emilia-Romagna;PR;L183;3;6,84;7,5;5;4;26,34
Nord Est;Emilia-Romagna;PR;L229;1,2;5;5,36;4;1,2;16,76
Nord Est;Emilia-Romagna;PR;L299;6;26;37,07;10,86;17;96,93
Nord Est;Emilia-Romagna;PR;L346;5;23;36;9,34;14,5;87,84
Nord Est;Emilia-Romagna;PR;L354;1;21,5;10,6;4,5;11,5;49,1
Nord Est;Emilia-Romagna;PR;L641;1;0;0;2;3;6
Nord Est;Emilia-Romagna;PR;L672;3;6;8,25;3;7,25;27,5
Nord Est;Emilia-Romagna;PR;L689;1;2;6,17;3,85;3;16,02
Nord Est;Emilia-Romagna;PR;L870;0;0;0;0;0;0
Nord Est;Emilia-Romagna;PR;M174;0;0;1;1,17;1;3,17
Nord Est;Emilia-Romagna;RA;A191;2,5;27,07;27,72;22,85;21,67;101,81
Nord Est;Emilia-Romagna;RA;A547;5;54,3;37,33;28;41,17;165,8
Nord Est;Emilia-Romagna;RA;A551;0;13,5;8,5;4;5;31
Nord Est;Emilia-Romagna;RA;B188;1;11,67;19;7,17;25,51;64,35
Nord Est;Emilia-Romagna;RA;B982;0;4,25;8,67;7;6,11;26,03
Nord Est;Emilia-Romagna;RA;C065;6,5;35,96;34,5;14,67;13,91;105,54
Nord Est;Emilia-Romagna;RA;C553;47,39;311,1;108,64;23,73;31,8;522,66
Nord Est;Emilia-Romagna;RA;C963;2;13,5;20,83;17,91;18,76;73
Nord Est;Emilia-Romagna;RA;D121;6;25,94;15,67;15,25;12,89;75,75
Nord Est;Emilia-Romagna;RA;D458;33,5;219,03;158,65;87,84;111,1;610,12
Nord Est;Emilia-Romagna;RA;D829;0;15;24,5;9,72;13,17;62,39
Nord Est;Emilia-Romagna;RA;E730;12,75;80,48;52,09;53,58;80,25;279,15
Nord Est;Emilia-Romagna;RA;F029;5;36,83;38,95;20;22,15;122,93
Nord Est;Emilia-Romagna;RA;H199;250,38;1005,44;512,64;229,12;227,27;2224,85
Nord Est;Emilia-Romagna;RA;H302;1;9;10;8;5,5;33,5
Nord Est;Emilia-Romagna;RA;H642;9;60;45;16,5;22,83;153,33
Nord Est;Emilia-Romagna;RA;I196;1;11;11;2;12,83;37,83
Nord Est;Emilia-Romagna;RA;I787;1;8,75;10,33;2,5;6,45;29,03
Nord Est;Emilia-Romagna;RE;A162;2,63;22;27,5;14;16,57;82,7
Nord Est;Emilia-Romagna;RE;A573;1;14,5;30,5;11,67;8,65;66,32
Nord Est;Emilia-Romagna;RE;A586;1;3,67;7,89;2,89;5,46;20,91
Nord Est;Emilia-Romagna;RE;A850;1;23,05;30,5;14,88;23,86;93,29
Nord Est;Emilia-Romagna;RE;A988;0;10;16,67;8,83;19,11;54,61
Nord Est;Emilia-Romagna;RE;B156;0;14,17;25,08;12,5;14,5;66,25
Nord Est;Emilia-Romagna;RE;B283;3,5;4,5;2;0;4;14
Nord Est;Emilia-Romagna;RE;B328;2;27,5;18,5;12;17,5;77,5
Nord Est;Emilia-Romagna;RE;B499;1;4;23,25;10;14;52,25
Nord Est;Emilia-Romagna;RE;B502;0;11,5;7;5;6,42;29,92
Nord Est;Emilia-Romagna;RE;B825;3;9;2,68;7;9,5;31,18
Nord Est;Emilia-Romagna;RE;B893;8;80,75;46;16,46;15,11;166,32
Nord Est;Emilia-Romagna;RE;B967;2;11,5;13,5;7,33;11;45,33
Nord Est;Emilia-Romagna;RE;C141;8,33;60;45,45;21,11;28,67;163,56
Nord Est;Emilia-Romagna;RE;C218;0;6;17,25;2,5;14;39,75
Nord Est;Emilia-Romagna;RE;C219;7,5;20,85;18,37;13,03;9,14;68,89
Nord Est;Emilia-Romagna;RE;C405;2;15;27,5;10,8;8;63,3
Nord Est;Emilia-Romagna;RE;C669;3;13;10;4,5;11,17;41,67
Nord Est;Emilia-Romagna;RE;C840;32,89;24,1;2,5;0,5;1;60,99
Nord Est;Emilia-Romagna;RE;D037;3,88;55;68,84;35,3;50,46;213,48
Nord Est;Emilia-Romagna;RE;D450;0;21;23,33;6,75;15,67;66,75
Nord Est;Emilia-Romagna;RE;D934;7,5;9,5;13,05;3,5;9,75;43,3
Nord Est;Emilia-Romagna;RE;E232;0;7;11;6;10,66;34,66
Nord Est;Emilia-Romagna;RE;E253;0;31;37,5;17,01;42,2;127,71
Nord Est;Emilia-Romagna;RE;E585;1;4,5;1,5;6;1;14
Nord Est;Emilia-Romagna;RE;E772;2,44;5,75;10;9,22;15,56;42,97
Nord Est;Emilia-Romagna;RE;F463;1;28,84;40,63;28,6;36,5;135,57
Nord Est;Emilia-Romagna;RE;F960;1,17;19,17;40,5;8;29,13;97,97
Nord Est;Emilia-Romagna;RE;G654;1,67;7,67;2;2;1,32;14,66
Nord Est;Emilia-Romagna;RE;G947;0;12;12;8,67;17;49,67
Nord Est;Emilia-Romagna;RE;H122;2;47,17;34,75;28,35;32,33;144,6
Nord Est;Emilia-Romagna;RE;H223;103,4;596,43;562,47;245,63;212,77;1720,7
Nord Est;Emilia-Romagna;RE;H225;1;13,5;26,33;18;15,64;74,47
Nord Est;Emilia-Romagna;RE;H298;0;20;24;12;7,17;63,17
Nord Est;Emilia-Romagna;RE;H500;2;6;7,5;4,5;16;36
Nord Est;Emilia-Romagna;RE;H628;9;51,57;48,24;20,6;22,88;152,29
Nord Est;Emilia-Romagna;RE;I011;4;29;19,25;9,75;17,25;79,25
Nord Est;Emilia-Romagna;RE;I123;2;35,5;27,5;6;6,05;77,05
Nord Est;Emilia-Romagna;RE;I342;1,04;28;48,19;21,39;13,12;111,74
Nord Est;Emilia-Romagna;RE;I496;7;48,17;84,25;41,16;30,34;210,92
Nord Est;Emilia-Romagna;RE;L184;2,5;5;16;6,94;10,03;40,47
Nord Est;Emilia-Romagna;RE;L815;2,5;5;7,5;0;8,83;23,83
Nord Est;Emilia-Romagna;RE;L820;0;7,45;10,28;11,88;8,57;38,18
Nord Est;Emilia-Romagna;RE;L831;2;5,5;5,73;0;8,5;21,73
Nord Est;Emilia-Romagna;RE;L969;8,77;15,67;8,65;6,33;6,33;45,75
Nord Est;Emilia-Romagna;RN;A747;52,17;114,61;31,58;19,5;11,33;229,19
Nord Est;Emilia-Romagna;RN;C357;26,25;112,61;51,16;12,42;11,17;213,61
Nord Est;Emilia-Romagna;RN;D004;7;59,5;23,2;8,25;8,33;106,28
Nord Est;Emilia-Romagna;RN;D961;0;5;4;0;1,28;10,28
Nord Est;Emilia-Romagna;RN;F244;26,63;115,79;45,83;15,75;10,67;214,67
Nord Est;Emilia-Romagna;RN;F346;0;1,67;0;1,5;2;5,17
Nord Est;Emilia-Romagna;RN;F476;4,5;25;25;7,5;3,5;65,5
Nord Est;Emilia-Romagna;RN;F502;0;7,5;9,67;1,25;3;21,42
Nord Est;Emilia-Romagna;RN;F523;0;0,5;1;2;0,78;4,28
Nord Est;Emilia-Romagna;RN;F641;0;5,67;5;2,5;6,5;19,67
Nord Est;Emilia-Romagna;RN;F715;4,5;26,83;24,1;10,17;7,83;73,43
Nord Est;Emilia-Romagna;RN;G755;1;16;12;4;4;37
Nord Est;Emilia-Romagna;RN;H274;29,06;227,91;110,72;31,26;17,48;416,43
Nord Est;Emilia-Romagna;RN;H294;177,61;659,42;449,76;152,61;76,96;1516,36
Nord Est;Emilia-Romagna;RN;H724;3;21;12;2,72;2;40,72
Nord Est;Emilia-Romagna;RN;H801;4;59,57;29,84;5;9,5;107,91
Nord Est;Emilia-Romagna;RN;H921;3;22,33;23,16;8,67;7,85;65,01
Nord Est;Emilia-Romagna;RN;I304;9;105,95;70,2;32,37;19,67;237,19
Nord Est;Emilia-Romagna;RN;I550;0;3;2,5;1;4;10,5
Nord Est;Emilia-Romagna;RN;L797;1;24;31,92;18,99;14,91;90,82
Nord Est;Friuli- Venezia Giulia;PN;A283;0;2;2;0;1;5
Nord Est;Friuli- Venezia Giulia;PN;A354;2;0;2;3;2,67;9,67
Nord Est;Friuli- Venezia Giulia;PN;A456;0;2;0;1;3;6
Nord Est;Friuli- Venezia Giulia;PN;A516;20,17;26,55;19,33;12,17;28,14;106,36
Nord Est;Friuli- Venezia Giulia;PN;A530;3;33,75;44;30,75;37,3;148,8
Nord Est;Friuli- Venezia Giulia;PN;A640;0;0;2;0;2;4
Nord Est;Friuli- Venezia Giulia;PN;B215;0;10;20,5;20;19,17;69,67
Nord Est;Friuli- Venezia Giulia;PN;B247;2;4;6,92;11;6,89;30,81
Nord Est;Friuli- Venezia Giulia;PN;B598;1;4;11,83;4;13,5;34,33
Nord Est;Friuli- Venezia Giulia;PN;B940;2;7,5;27,11;7,68;22,46;66,75
Nord Est;Friuli- Venezia Giulia;PN;C217;0;2;2;1,5;2;7,5
Nord Est;Friuli- Venezia Giulia;PN;C385;1;0;4;2;4,16;11,16
Nord Est;Friuli- Venezia Giulia;PN;C640;0;10;20;5;6,67;41,67
Nord Est;Friuli- Venezia Giulia;PN;C699;0;0;0,83;0;2;2,83
Nord Est;Friuli- Venezia Giulia;PN;C790;0;0;0;1,81;1;2,81
Nord Est;Friuli- Venezia Giulia;PN;C791;0;2;1;1;1;5
Nord Est;Friuli- Venezia Giulia;PN;C991;6;36;39,67;31,5;61,78;174,95
Nord Est;Friuli- Venezia Giulia;PN;C993;1;7;8;4;7,6;27,6
Nord Est;Friuli- Venezia Giulia;PN;D426;0;0;2;5;2;9
Nord Est;Friuli- Venezia Giulia;PN;D487;1;3;2;0;7,83;13,83
Nord Est;Friuli- Venezia Giulia;PN;D621;2,5;26;28,43;37,5;16,89;111,32
Nord Est;Friuli- Venezia Giulia;PN;D670;1;46;17,5;26;33;123,5
Nord Est;Friuli- Venezia Giulia;PN;D804;0;2,75;1;1;0,5;5,25
Nord Est;Friuli- Venezia Giulia;PN;E889;3;21,67;33,17;12,5;30,5;100,84
Nord Est;Friuli- Venezia Giulia;PN;F089;1;1;1,83;2;6;11,83
Nord Est;Friuli- Venezia Giulia;PN;F596;0;2,5;5;8,67;16;32,17
Nord Est;Friuli- Venezia Giulia;PN;F750;0;2,5;3;1,8;8;15,3
Nord Est;Friuli- Venezia Giulia;PN;G353;0,67;6,5;7,1;7;15,4;36,67
Nord Est;Friuli- Venezia Giulia;PN;G680;2;4;4,86;3;5;18,86
Nord Est;Friuli- Venezia Giulia;PN;G780;2;11,09;10,66;10,22;14,25;48,22
Nord Est;Friuli- Venezia Giulia;PN;G886;6,08;33;45,95;25,07;35,5;145,6
Nord Est;Friuli- Venezia Giulia;PN;G888;24,72;151,74;170,13;104,43;120,45;571,47
Nord Est;Friuli- Venezia Giulia;PN;G994;0;15;16,5;9,5;28,06;69,06
Nord Est;Friuli- Venezia Giulia;PN;H010;2;10,5;7;4,5;7,5;31,5
Nord Est;Friuli- Venezia Giulia;PN;H609;1;19;15,5;13,8;29,5;78,8
Nord Est;Friuli- Venezia Giulia;PN;H657;4;43;64,83;51,75;41,83;205,41
Nord Est;Friuli- Venezia Giulia;PN;H891;0;0;2;4;12,19;18,19
Nord Est;Friuli- Venezia Giulia;PN;H999;1;0;1;0;5;7
